word analysis, grammar gutenberg, text mining, word frequency, trends english, grammar books, keyword analysis, mining word, english words, mining english
microblogging, information twitter, twitter relation, pairs twitter, twitter text, microblogging social, twitter microblogging, war twitter, twitter messages, text similarity
chronic illnesses, diabetes patient, diabetic, management diabetic, diabetic patients, diabetes, followed diabetic, type diabetes, detection diabetic, diabetic patient
documents similarity, results extraction, case description, text mining, step extraction, mining process, service application, processing document, similarity documents, sequence diagrams
automating, automated, automated healthcare, automating medical, approach automated, text mining, monitoring diagnosis, automating healthcare, mining approach, diagnosis using
unmanned retailing, roadmapping applications, technologies roadmapping, roadmapping widely, technologies retailing, unmanned retail, technologies retail, technology roadmapping, retailing industry, roadmapping using
content mining, kansei words, logistics, feelings customers, text mining, commerce kansei, customers affective, mining techniques, customers service, logistics service
data mining, educational data, educational questions, text mining, learning techniques, classroom questions, feature selection, mining techniques, classification teacher, questions collected
classifier, emotions detection, classify sentences, texts emotional, bayes classifiers, classifier emotion, bayes classifier, text mining, classifiers method, classifiers
investigating text, forums experiments, forums, discussion forums, text mining, forums paper, online forums, analysis messages, messages discussion, relevance messages
researcher word, search research, research authorities, expertise list, search expertise, expertise search, expertise research, researchers expertise, expertise researchers, expertise researcher
teaching methods, teaching behavior, teaching characteristics, behavior classification, teaching implementation, text mining, simulated teaching, teaching rules, teaching videos, video teaching
traffic crash, mining network, mining analysis, involved crashes, network text, rule mining, text mining, identified crash, mining techniques, crash reports
entity extraction, alliances news, extracts alliances, text mining, discovery alliances, alliances automatic, relation extraction, extracted alliance, alliances case, alliance discovery
trend activities, tweets, text mining, travel activities, content tweets, tweets clustered, tweets using, twitter, surveys twitter, twitter data
impairments mental, disability genetics, genetics ai, disabilities study, impairment text, intellectual disability, disability ai, intellectual disabilities, intellectual impairment, diagnosing intellectual
datasets turkish, texts preprocessing, text classification, stemming stopword, methods stemming, text mining, classification turkish, turkish texts, turkish text, turkish datasets
japan earthquake, markets tohoku, companies stock, headquartered yamagata, yamaya stock, company stock, text mining, yamazawa headquartered, japan stock, mining company
provide classification, text classification, classification task, wolf optimization, classification, web search, search multi, text mining, information retrieval, feature selection
identifying research, literature reviews, literature review, se research, text mining, conducting systematic, systematic literature, se researchers, reviews systematic, tools systematic
knowledge extraction, semantic enrichment, text mining, semantic dictionary, indexing information, dictionary based, information retrieval, automatic knowledge, automatically indexing, retrieval semantics
dialogues clustering, customer satisfaction, incidents customers, text mining, incident text, service satisfaction, text analysis, consumer dialogues, opinions service, incident dialogues
missiles korean, demand forecasting, aircraft missile, series forecasting, forecasting compared, forecasting spare, forecasting anti, forecasting method, machine learning, forecasting
syllabus faculty, dirichlet allocation, analysis syllabus, topics syllabi, engineering japanese, faculties engineering, topics, describes topics, latent dirichlet, topic analysis
annotation, annotation technique, annotated feedback, feedback annotation, mining text, text mining, requirements feedback, categorise annotate, annotate feedback, crowd annotated
handling clinical, pathway, knowledge clinical, pathway overview, research variance, pathway management, pathway variance, variance research, clinical pathway, pathway multi
text classification, mining medical, medical text, text mining, text categorization, classification algorithms, categorization documents, documents categorization, weighted clustering, classification algorithm
sentiment dictionary, lstm recurrent, sentiment analysis, learning sentiment, memory lstm, deep learning, model sentiment, word mouth, lstm, accuracy sentiment
corpus text, categorize data, classification, retrieval text, text mining, knowledge corpus, unstructured text, known text, information retrieval, machine learning
agile, intelligent text, collaboration agile, mining application, agile text, text mining, development agile, text miners, mining applications, experts text
user satisfaction, experience evaluating, clothing research, text mining, online shopping, user experience, experience online, user emotions, shopping clothing, product experience
efficiently clustering, document mining, mining clustering, affinity clustering, clustering widely, affinity algorithm, text mining, clustering easy, clustering algorithm, clustering
forums android, android based, mainstream android, android forums, android quality, popularity android, android, android evaluation, android intelligent, evaluate android
customising geoparsing, geoparsing, text mining, travel literature, representing geographical, georeferencing historical, geographical information, corpus information, geoparsing georeferencing, place names
text cleaning, dataset cleaning, effective cleaning, techniques cleaning, text mining, text documents, documents structured, cleaning techniques, documents text, newsgroups dataset
text classification, news classification, headlines existing, text mining, classification news, short texts, known text, length texts, texts prominent, texts news
experiments authorship, books quran, quran written, text mining, authorship classification, authorship, authorship discrimination, automatic authorship, author quran, classification quran
content learning, learning activities, learning effectiveness, text mining, mining ontology, personalization learning, learning content, learning personalization, personalization using, learning material
information extraction, extract information, job descriptions, extraction fields, text mining, features extracted, unemployment job, mining information, job advertising, boosting classification
embeddings, learning similarity, embedding sources, embeds words, word embeddings, trained embedding, embeddings rich, meta embeddings, meta embedding, embedding word
computing emotion, texts examined, sentiment analysis, text mining, emotion recognition, emotion labelled, study emotions, concerns emotion, emotions text, emotion detection
identify crime, analyze crime, crime analyst, formulating crime, trends crime, crime mapping, crime online, mapping crime, crime crime, crime analysis
pattern detection, pattern mining, text mining, linguistic patterns, patterns statistical, pattern compared, pattern effectively, discovering pattern, pattern based, pattern taxonomy
extracted knowledge, approach extraction, extraction recognizes, extraction approaches, extraction incremental, processing text, extract meaningful, extraction approach, information extraction, language processing
user product, users products, review product, knowledge user, related products, annotated text, representing semantic, data annotator, knowledge graph, semantic knowledge
data mining, like covid, keyword search, virus research, pandemic, 19 pandemic, covid, mining tool, covid 19, answers covid
cardiology medical, processing medical, anonymized data, text processing, cardiology, medical data, processing cardiology, records cardiological, cardiovascular disease, medical records
brain injuries, patterns cognitive, knowledge extraction, knowledge discovery, brain injury, cognitive rehabilitation, rehabilitation traumatic, rehabilitation, discovery databases, rehabilitation cr
culinary experience, culinary tourism, international tourists, services tourists, dimensions tourists, tourists culinary, tourists experience, determine culinary, culinary literature, tourists experiencing
vision image, vision application, big data, image mining, image processing, acquisition image, computer vision, mining computer, vision research, image acquisition
text deep, opinion sentiments, sentiment analysis, deep learning, text mining, learning text, using deep, text opinion, opinion mined, sentiment
data mining, mining algorithms, skin cancer, clusterization, detect skin, cancer prediction, data clustering, discover skin, mining techniques, clustering
categorization, text classification, arabic text, words features, features text, text categorization, methods arabic, feature selection, arabic, categorization feature
based sentiment, sentiment analysis, sentiment score, text mining, budget 2016, budget document, lexicon based, budget official, analysis indian, corresponding sentiment
film reviews, film promotion, evaluation movie, viewer vocabulary, text mining, word mouth, market movie, evaluating movie, movie market, consumers think
classifier, classification text, text classification, meaning classifier, text mining, traditional classifiers, classifier textual, classification document, classifiers, classifiers multinomial
process cv, resume parsing, text analytics, cv parser, text data, cv parsing, extraction cv, parsing extraction, unstructured text, parsing text
topic models, review research, topic mining, review texts, latent topics, including review, generated reviews, reviews identifying, learning review, review topic
automation software, python automation, software integration, integration testing, automation using, analysis automation, integration test, test reports, python tool, software testing
report developers, bug configuration, bug report, bugs given, report prediction, text mining, bug reports, reports prediction, mining configuration, configuration bugs
mining research, authorities europe, source intelligence, text mining, criminal, open source, enforcement authorities, mining tool, information extraction, extraction text
institutes technology, technical colleges, institute technology, technology information, technology japan, technology science, differences technical, information technology, technical, technology group
processing abstracts, phosphorylation information, reported corpus, abstracts text, corpus 2013, abstract corpus, corpus, extraction literature, text corpus, information extraction
sentiment sentiment, analysis bengali, sentiment analysis, using nlp, text mining, comments bengali, bengali, bengali language, nlp applying, apply sentiment
opinion vaccine, vaccines, sinovac vaccine, vaccines using, sinovac vaccines, astrazeneca vaccine, covid vaccine, network vaccine, vaccine, vaccine topic
parkinson, parkinson disease, data mining, disease summarization, diagnosis parkinson, text mining, mining approach, recently parkinson, related parkinson, gait parkinson
herb analyzing, herb mutual, chinese medicine, herb, herb hot, cold herb, medicine text, text mining, herb framework, hot herb
determined patents, patents, patents using, triz trend, approach patent, value patents, text mining, semantic similarity, patent, patent evaluation
opinion mining, classification twitter, classifying stance, classify stance, text mining, classify tweet, entity recognition, stance classification, infer twitter, stance twitter
investor sentiment, opinions texts, text classification, deep embedding, contexts financial, text mining, financial text, opinions mining, sentiment, sentiment recognition
document categorization, classification, text mining, text documents, categorization using, automatic classification, classifiers, based classifiers, classification tasks, document classification
ability cnn, cnn used, unit textcnn, attention layer, cnn, textcnn bigru, softmax, cnn bigru, text convolutional, using softmax
delpredictor combines, delpredictor improves, deleted questions, questions deleted, delpredictor, predicting deleted, results delpredictor, approach delpredictor, question prediction, predict deleted
topic modeling, thai slangs, slangs posts, thai text, thai facebook, thai words, dirichlet allocation, text topic, latent dirichlet, interests facebook
reliability, modern reliability, reliability cover, performance text, reliability data, reliability increasing, reliability maintainability, reliability professionals, maintainability models, traditional reliability
eliciting requirements, software models, requirements making, requirements elicitation, similarity software, software requirements, requirements development, requirements software, elicitation software, software modeling
spark nlp, analytics big, processing nlp, text analytics, big data, analytics, text mining, data financial, nlp application, analytics discipline
ide tool, text mining, debt detection, comments management, code comments, term software, java apis, satd comments, java, java library
neighbor drug, text classification, classification, classification process, classification drug, text mining, selection drugs, analysis drug, effectiveness drug, drug effectiveness
teamwork chat, online discussions, analysis teamwork, dialogue students, chat study, text mining, chat dialogue, teamwork dialogue, dialogue data, analyzing teamwork
mining twitter, classes positive, sentiment analysis, public sentiment, text mining, positive prediction, twitter, sentiment topic, sentiment, mining sentiment
link biomedical, ehr clinical, associations clinical, knowledge discovery, knowledge clinical, discovery clinical, biomedical literature, text mining, clinical entities, clinical notes
tools corpus, learning corpus, analysis corpus, corpus tools, visual text, corpus tool, supports corpus, corpus, corpus based, writing corpus
web usage, usage mining, recommender systems, mining text, text mining, recommender use, semantic web, recommender website, web personalization, personalization ontology
approach recommender, mining contextual, recommender agent, recommender systems, aware recommendations, contextual knowledge, text mining, recommendation contexts, aware recommender, recommender agents
sentiment classification, sentiment analysis, sentiments classified, topic modelling, detection sentiment, aspects sentiments, oriented sentiment, sentiments analysis, sentiments label, aspect detection
sinomed hypertension, study acupuncture, acupuncture technology, therapy hypertension, acupuncture therapy, practices acupuncture, treatment acupuncture, acupuncture, acupuncture results, acupuncture important
opinion mining, urdu dataset, urdu dominant, language pakistan, text mining, media pakistan, urdu, text processing, mining english, opinion event
means clustering, database parasites, diagnosis parasites, similarities parasites, groups parasites, algorithm clustering, diagnosing parasites, parasites results, clustering, clustering analysis
multiple keywords, keywords, word associations, keywords collect, text mining, keywords cyberspace, mining inspiration, words network, idea generation, word groups
domain digital, digital, digital transformation, healthcare domain, healthcare digital, medical informatics, informatics, transformation healthcare, transformation literature, information scientists
news label, news categories, news classification, news based, news type, news using, text mining, indonesian news, classifying news, type news
character segmentation, intelligent text, segment chinese, segmentation chinese, intelligent input, qin literature, svm pca, extraction analysis, text extraction, input analysis
consulting company, consulting, taken consulting, consulting service, mining data, consultant expertise, text mining, client companies, method consulting, consultant
services web, text mining, analyzes website, laundering assist, semantic indexing, laundering, transaction services, laundering activities, web mining, money laundering
based text, years text, text mining, elderly care, care policy, integrated elderly, elderly, policy documents, policy china, natural language
extract propositions, tokenizer approach, proposition extractor, proposition extraction, text mining, propositions tokenized, proposition abstraction, tokenized text, deep tokenizer, natural language
buildings text, disturbance vulnerability, vulnerability urban, vulnerability index, disaster response, vulnerability evaluation, physical vulnerability, resilience disaster, structural vulnerability, vulnerability analysis
students industrial, bigse project, industry academia, text mining, students bigse, data miners, mining businesses, industrial text, academic industrial, industrial data
classifier, classification labels, classification, generated keywords, classifiers generated, summaries classifier, summaries morphological, example classifiers, classifiers, construction classifiers
textual clinical, clinical information, framework minerdoc, clinical texts, detection clinical, feature minerdoc, text mining, minerdoc semantically, clinical text, sense minerdoc
classification text, nlp feature, nlp features, ensembles naive, text mining, classifiers ensemble, classifiers, summarization classification, classifiers ensembles, base classifiers
summarized text, phrase extraction, text summarized, extractive text, text mining, summarization effective, text summarization, text summary, summarization, extraction text
operations maintenance, data mining, production schedule, production planning, machine production, text mining, maintenance, estimating production, maintenance activities, machine learning
texts based, identification arabic, arabic texts, similarity texts, identify texts, idf identify, texts topics, topic identification, tf idf, noisy texts
twitter social, developing microblogging, microblogging, network twitter, mining text, text mining, evaluate twitter, text social, microblogging sites, twitter
certificates, certificates using, courses using, web scraping, web based, student web, proofs certificates, students submit, submitted certificates, recognition ocr
severity prediction, severity bugs, reported bugs, bugs crucial, text mining, bug reports, severity predicting, bugs performance, software bugs, predicting severity
neighbors text, categorization clustering, computing similarity, paragraphs classified, text mining, text categorization, feature similarity, similarity measure, text segmentation, similarity feature
texting mining, quantification financial, financial risks, corpus financial, financial field, financial corpus, financial risk, text mining, risk prediction, financial domain
annotation, identifies plots, extracting, annotation additionally, extraction engine, extracts semantic, relation extraction, extracted semantic, information extraction, intuitive annotation
sentiment analysis, sentiments output, text mining, airport customer, sentimental analysis, classifier classification, techniques sentiment, analyzing sentiments, sentiment, customer reviews
mining method, sentiment analysis, rules defined, aspect classification, text mining, automatic rule, rules effective, classification sentiment, mining techniques, meaningful rules
document grouping, grouping comparing, documents hadith, group fuzzy, islamic documents, mining fuzzy, hadith grouping, grouping documents, grouping technique, grouping using
classifier, text classification, entropy classifier, learning classifiers, classifier outperforms, mining text, classifiers text, text mining, classifiers, based classifiers
sentiment abnormal, trend detection, financial news, lstm neural, text mining, stock market, abnormal market, stocks 2010, market trend, abnormal trend
result clustering, clustering investigates, clustering methodology, text mining, wikipedia search, grouping search, enhancing wikipedia, mining wikipedia, clustering, document clustering
reuters, data mining, stock markets, classifying companies, analyze news, news analysis, text mining, stock market, net reuters, news indicators
news data, introduces topic, including topic, topic model, topic distributions, finlda text, prediction news, dirichlet allocation, prediction financial, latent dirichlet
opinion mining, feedback students, student feedback, course evaluations, topics sentiments, comments topics, educational comments, analyzing student, feedback mining, comments quantitative
data mining, mining fields, knowledge discovery, image mining, mining image, mining analyze, visualization technology, text mining, environmental management, mining intelligent
medical texts, focused textual, textual data, text classification, texts dependency, medical text, texts heterogeneous, textual content, dependency modeling, dependencies patients
neighbor text, text classification, feature similarity, summarization using, summarization task, summarization algorithm, similarity feature, summarization viewed, text summarization, summarization
text similarity, compared similarity, paper similarity, similarity, similarity metric, algorithms similarity, similarity measures, similarity performed, similarity evaluation, similarity metrics
extract causal, causal network, knowledge corpus, corpuses discover, corpus, text corpuses, discovering causal, corpus propose, text corpus, problem corpus
text classification, classification power, classification, deep learning, power outage, intelligent distribution, distribution network, automatic classification, classification method, power grid
content mining, microbloggers contents, labels microbloggers, microblogs, bots classification, microbloggers contributions, microblogs emergence, mining microblogs, microbloggers, results bots
robotics research, path planning, robots study, robots 20, robotics, robots, robots forefront, mobile robots, guided vehicles, robots comparative
policy initiates, stakeholders new, policy implementation, stakeholder response, companies policy, ev policy, policy text, various stakeholders, firms policy, analyzing stakeholder
topic modeling, biomedical text, topic modelling, learn topics, text mining, similarity learn, learned topics, topics, mining pubmed, disease text
news html, news corpus, news content, web news, content extraction, text mining, html parsing, identify content, recognizing news, content recognition
extracting content, information extraction, biomarkers, analyzed biomarker, text mining, cancer biomarker, biomarker detection, pubmed extracted, biomarker, extraction text
cryptocurrencies notable, sentiments cryptocurrency, sentiments cryptocurrencies, cryptocurrencies, prominent cryptocurrencies, coin twitter, cryptocurrency market, topics bitcoin, various cryptocurrencies, cryptocurrency investors
sentiment dictionary, review texts, product feature, text mining, similarity forest, calculate sentiment, sentiment tendency, review text, online review, classify review
mining prediction, gene interaction, biomedical text, network yeast, yeast genome, text mining, yeast genetic, genes biomedical, genetic networks, gene interactions
mining model, data mining, mining distance, mining algorithm, mining results, distance education, construct mining, distance learning, apriori algorithm, web mining
situations tweets, tweet classification, tweets tweets, tweets related, twitter classifying, informative tweet, classifying tweets, data tweets, tweets informative, classification based
retrieval twitter, sentiment analysis, twitter, effective sentiment, classified tweets, tweets related, perform sentiment, text mining, people sentiments, twitter data
patient race, ehr sharing, screen ehr, patient communication, electronic health, communication sentiment, ehr impacts, preference ehr, ehr screen, impact ehr
data mining, classification techniques, arabic texts, corpuses arabic, arabic textual, based classification, text categorisation, mining corpuses, arabic text, classifying arabic
microblog text, sentiment analysis, tibetan text, features microblog, text mining, tibetan microblog, text categorization, blog text, tibetan language, parsing tibetan
apps compared, compared banks, quality mobile, competitor analysis, review mobile, banking apps, mobile banking, apps korean, mobile app, korean banks
word2vec, text classification, word embeddings, clustering sentiment, classifiers text, categorization text, text mining, text categorization, classifiers, word embedding
extract biomedical, information breast, biomedical text, biomedical information, biomedical informtion, breast cancer, text mining, cancer biomedical, information corpus, researchers breast
news text, news texts, text classification, research softmax, topic model, classification news, news dataset, classification model, dirichlet allocation, latent dirichlet
slovak language, language slovak, documents similarity, similarity estimation, similarity results, similarity search, text mining, similarity analysis, similarity, document similarity
texts determined, similarity texts, mining feature, maintenance data, text data, text mining, maintenance text, similarity important, equipment text, text similarity
defines event, text streams, events, event, event graph, graph model, mining trends, events relationships, trends text, massive texts
classifier, classifier efficiently, classifier based, text classification, efficiently categorizes, classification, concept mining, text classifier, classification approaches, classifier classifier
graph words, documents probabilistic, text retrieval, words automatically, topic model, text mining, words representation, weighted words, probabilistic topic, bag words
engineering manufacturing, systems engineering, engineering mbse, systems development, systems model, production engineering, production systems, engineering domain, industry systems, model based
thai medical, medical text, thai knowledge, data k4thaihealth, k4thaihealth implemented, text mining, k4thaihealth used, medical corpus, health thai, thai research
nlp medical, processing nlp, text clinical, text mining, processing nlps, nlps cancer, medical data, nlp examples, ml nlp, natural language
categorization scientific, categorize, terms categorization, english algorithms, identification categorization, terms identification, word terms, identify categorize, scientific terms, natural language
text clustering, data mining, job seekers, requirements recruitment, text mining, recruitment, online recruitment, text vectoization, recruitment information, crawler text
medical database, analysis diseases, data mining, medicine big, big data, chinese medicine, diseases large, mining complex, diseases study, complex diseases
similarity product, string similarity, product names, market information, size estimation, products matched, market size, similarity measuring, estimating market, market sizes
automated text, managed summarize, method summarize, application summarization, text indonesia, articles summarization, summarization text, summarization, text summarization, summarization application
removal bengali, stop words, dataset bengali, sentence detection, retrieval text, text mining, bengali stop, stop word, word detection, language processing
mining research, machine learning, data mining, mining algorithms, selection methods, data sets, data smart, algorithms selection, techniques dataset, algorithm selection
song indonesia, categorize indonesian, indonesia songs, bayes classifier, classify song, lyrics indonesian, indonesian song, song study, classify lyrics, categorize lyrics
twitter collected, boosting algorithm, data imbalance, users twitter, bagging boosting, boosting, classifier, users popularity, text mining, classifier bagging
study word2vec, security corpus, term extraction, detect terms, corpus, determine semantic, word2vec approach, phrases term, words determined, automatic term
plagiarism detection, code project, students code, identify programmers, code attribution, programmers social, code detection, code similarity, source code, mining code
text clustering, mining algorithms, clustering algorithms, knowledge discovery, medical text, clinical data, text mining, clinical text, clustering, natural language
credit reports, credit evaluation, credit effectively, micro enterprises, credit indexes, micro enterprise, credit evaluated, compare credit, mining credit, enterprise credit
trends words, housing prices, opinion dictionary, trend words, text mining, words calculated, opinion index, beijing housing, sentiment words, score sentiment
terms classification, classification user, classification methods, nlp methods, text classification, processing nlp, classification, text mining, text processing, classification performance
review classifiers, classification methods, classifiers based, text classification, categories texts, classification, existing classification, text mining, classifiers, classifiers comparison
trends research, phrases research, research trend, text mining, phrases field, analysis bibliographic, phrase mining, trend analysis, analyzing trends, keywords calculated
success crowdfunding, sentiment reviews, vector machines, mining text, text mining, reviews success, projects crowdfunding, crowdfunding projects, svm, machines svm
coronavirus, coronavirus resulted, regarding covid, 19 outbreak, pubmed abstracts, related covid, text mining, outbreak virus, covid 19, novel coronavirus
documents search, text classification, arabic data, semantic indexing, information retrieval, engines arabic, arabic language, arabic, search arabic, using arabic
web information, information filtering, retrieval text, text mining, features text, reuters corpus, information retrieval, relevant features, text features, mining relevant
classification techniques, text classification, web content, content blocking, classification, text mining, classifiers analyzed, categorization textual, automated categorization, classification certain
minitrack introduction, introduction data, business analytics, mini, analytics, analytics minitrack, analytics mini, minitrack, mining business, web mining
classifier, documents classifier, classification, automatic assignment, automatic classifier, text mining, classifier undergraduate, automatic classification, assignment reviewers, classification academic
mooc platform, mooc online, factors mooc, online learners, review texts, learners online, online courses, texts mooc, mooc learners, mining mooc
code criminal, law texts, text classification, law, thai law, law criminal, thai codes, intelligence machine, criminal code, detection thai
mining patient, data mining, experiences web, mining data, text mining, online health, mining approach, knowledge pharmaceutical, experiences drugs, health data
mobile messaging, message emotion, mining emotions, recognition emotion, emotion extraction, messaging application, emotional text, emotional content, mining emotional, emotional data
association fifa, social media, sports match, soccer match, text mining, mining soccer, media mining, crowds social, opinions sports, opportunity mining
keyword extraction, based keyword, topic modeling, topics changes, extraction topic, text mining, site inspection, hot topics, topics, construction projects
analyze logs, outage analysis, service analysis, logs related, unstructured customer, unstructured data, logs, error logs, natural language, language processing
classification text, dcdistance feature, text classification, classification, classification tasks, text mining, feature extractions, feature selection, extracted features, feature extraction
tourist information, tourist perception, worldwide tourists, perception tourists, tourists bali, tourists, tourism stakeholders, bali tourism, tourism, tourist cognitive
topic modelling, undergraduate studies, text mining, main topics, clusters topic, topics clusters, dirichlet allocation, topics, latent dirichlet, contents undergraduate
text clustering, documents swarm, documents cluster, clustering approach, swarm intelligence, clustering methods, clustering clusters, bacterial colony, clustering strategy, clustering
analyze fraud, fraud group, use weibo, group weibo, fraud fraud, weibo fraud, identify fraud, platform weibo, fraud groups, using weibo
projects automatic, github, requirements elicitation, reusing github, mining github, text mining, documents projects, projects content, github content, information tool
classification tweets, classifier, tweets events, using tweets, traffic event, tweets related, 000 tweets, twitter, twitter apache, twitter spark
classification studies, text classification, deep learning, lstm widely, lstm, classification research, cnn long, shallow learning, term memory, classification shallow
topic modeling, product environment, topic modelling, identifies innovation, company innovation, innovation capacity, innovation potentials, product analysis, influences product, innovation
topic modeling, fintech application, topics identified, keywords fintech, fintech user, comments fintech, text mining, comments using, topic fintech, fintech users
effectiveness arabic, text mining, sense stemming, improve search, stemming common, methods arabic, arabic text, arabic language, arabic, stemming
regression methods, data mining, tools regression, regression algorithms, data management, mining tools, recommendation smes, comparison dimension, regression, comparison study
topic similarities, topic modeling, topic mining, topic dynamics, topics analyze, text mining, topic meaning, identify topics, topics, analyze topic
emotion mining, emotion relations, emotions paper, emotions learning, mining emotion, dealing emotions, learning analytics, mining moodle, learner emotions, emotion detection
similarity methods, similarity similarity, measures similarity, compare semantic, similarity higher, semantically compare, similarity metric, text mining, similarity, text similarity
databases analyze, data mining, databases, mining data, mining overview, data data, data, mining number, knowledge analyze, analyze data
data mining, reviews data, database, knowledge discovery, 2017 categorization, discovery database, review data, categorization specifically, mining techniques, database kdd
gnt companies, description data, enterprises, enterprises management, niche companies, companies various, companies using, text mining, companies analysis, company globally
selection text, attributes subset, biography text, text data, mining text, text mining, unstructured text, data sets, feature selection, rough set
classifier, using clustering, advantages clustering, problem clustering, text mining, clustering method, clustering algorithm, feature selection, clustering, extract features
sentiment analysis, article sentiments, text mining, aviation themes, stakeholders aviation, extracting aviation, aviation industry, article sentiment, sentiment trends, industry text
paralleled pagerank, intelligence service, source intelligence, software osia, intelligence analysis, text intelligence, textual intelligence, pagerank algorithm, parser cluster, pagerank
shopping reviews, consumer evaluation, consumer behavior, online shopping, reviews evolution, shopping commentary, sales evaluation, social network, shopping consumer, shopping attitude
elicited requirements, identifying requirement, requirement engineering, requirements elicitation, requirement specification, requirements extracted, software requirements, requirements using, requirements software, extracted requirements
enterprise intelligence, analytics enterprise, stakeholders mining, structured data, analytics, text driven, text data, enterprise data, data analytics, data text
marketing using, marketing, data mining, effective marketing, online marketing, marketing social, trends online, marketing effective, predict marketing, marketing strategies
text clustering, semantic graph, similarity text, clustering improve, semantic similarity, clustering algorithm, graph structure, similarity semantic, clustering, text similarity
software, mining tools, digital twin, digital twins, text mining, dt software, twins, mining techniques, twin software, twins dt
review sentiment, sentiment analysis, perform sentiment, text mining, post reviews, analysis sentiment, applications sentiment, sentiment, reviews paper, natural language
questions exam, exam activities, bayes classifier, text mining, questions classification, bayes classification, classifying exam, taxonomic cognitive, classification exam, exams
accident reports, accidents study, rail accidents, accidents rail, accidents results, text mining, mining narratives, mining predictive, accident narratives, accidents represent
fuzzy motivation, learner motivation, motivation indicator, mining fuzzy, motivation vague, trace motivation, learner browsing, motivation web, web mining, motivation construction
relation extracted, entities biomedical, pages extraction, extraction biomedical, text mining, biomedical literature, extraction rules, biomedical relations, relations entities, relation extraction
wearable medical, information textmining, medical devices, text mining, devices health, smart wearable, text, textmining, wearable, wearable devices
statements fraud, fraudulent financial, fraud identifying, fraud analyzing, detection fraudulent, financial statements, detecting fraud, statement fraud, fraud using, fraud detection
improving biomedicai, text mining, simplification biomedicail, abstracts biomedicai, biomedicai text, summarize sentences, biomedicai literature, encountered biomedicai, sentences abstracts, biomedicail text
text classification, k0 category, categorization text, text mining, text categorization, knn classification, knn method, classification method, classification performance, classification algorithm
descriptors based, descriptors arabic, arabic word, fuzzy measure, text mining, arabic text, lexical information, arabic, similarity distances, pattern arabic
literature mining, biomedical articles, mining concept, biomedical text, entities biomedical, biomedical literature, text mining, medicine literature, entity recognition, terms identified
inaccurate crash, crashes study, narratives crash, crash causing, causes crash, crash narratives, crash cause, accident reporting, cause crash, crash data
idf analysis, knowledge items, topic trend, text mining, knowledge map, clustering applied, hierarchical clustering, knowledge topics, clustering, relatedness knowledge
texts clustered, summarization clusters, clusterization language, text clusterization, text mining, clustered texts, texts clustering, clusterization texts, summarization process, clustering
innovation attempts, crowdfunding, innovations crowdfunding, innovation developments, features projects, crowdfunding platforms, innovation product, crowdfunding projects, product ideas, projects innovation
government complaint, complaint, data mining, techniques complaint, service analyse, service data, complaint reports, complaint service, mining techniques, data techniques
intelligent manufacturing, rule data, data mining, mining algorithms, association rules, association rule, manufacturing association, algorithm association, pattern recognition, mining intelligent
classification text, text classification, categorized punjabi, mining text, text mining, punjabi document, text categorization, categories punjabi, punjabi text, punjabi documents
plagiarism field, plagiarism plagiarism, plagiarism prevented, similarity text, detect plagiarism, similarities plagiarism, plagiarism, plagiarism method, data similarity, document similarity
customer services, sales, customers sales, customers, voice customers, enhancing customer, text mining, segmentation, vocs sales, customers coming
ranks files, mining code, bug reports, bug tracking, locate buggy, rank files, buggy files, bug fixers, code mining, code repository
user comments, topic modeling, comments fintech, topics used, text mining, mining processing, applications indonesia, topic coherence, dirichlet allocation, latent dirichlet
similarity propose, text classification, measure similarity, precision categorization, knn choquet, classification, expert text, text mining, similarity measure, classification algorithm
compression computing, compressibility strings, computing similarity, compression, similarity, similarity text, data compression, using compression, text summarization, compression data
positive sentences, positive country, positive countries, words positive, australians positive, text mining, positive words, negative countries, words negative, negative words
tourism websites, features villages, topic mining, tourism china, online tourism, text mining, rural tourism, tourism key, tourism, mining knowledge
articles visualize, articles networks, news articles, visualize similar, classify news, visualization similar, text mining, tf idf, similar articles, articles network
proactive personality, text personality, proactive personalities, text mining, personality classification, classification weibo, predicting self, predicting proactive, text predicting, personality assessments
compare embedding, patents knowledge, patent documents, word embeddings, patent text, embedding approaches, patent classification, embedding techniques, similar patents, word embedding
patterns crime, crime india, crime information, crime induces, mining crime, text mining, information mining, crime approach, solve crime, crime analysis
chinese tourism, chinese tourists, chinese tourist, tourists various, tourist behavior, tourist density, tourists data, tourists different, density tourists, analysis tourist
stemming dataset, stemming, arabic stemmers, summarization stemming, stemmers stemming, applying stemming, arabic text, stemming process, impact stemming, stemming arabic
phrase weight, phrase identification, text mining, relevance phrases, phrases occur, phrases text, phrases, phrase weights, texts phrase, computing phrase
opinion mining, review sentiment, sentiment analysis, text opinions, researches sentiment, text mining, opinion study, analyzing text, text analysis, sentiment
parameterized retrieval, matching text, direct relevance, relevance matching, relevance word, text mining, text meaning, matrix word, word relevance, vectors extraction
legislative news, legislative documents, content analysis, framing text, organized information, text mining, news documents, media framing, automatic content, information sources
data mining, employability, techniques employability, scientific databases, text mining, decision trees, employability studies, employability systematic, mining techniques, students employable
use social, social media, customer engagement, using social, social channels, customer social, services social, social network, enable social, based customer
sgrank idf, textrank modified, personalized search, search engines, keyterms extraction, idf textrank, text mining, mining queries, extraction keyterms, textrank
