books named, Grammar Books, important materials, Gutenberg Project, Text Mining, English, English Grammar, unstructured data, Century English, Books
Record, Support Vector, Medical, Text Mining, EMR, Electronic Medical, Medical Record, important element, Vector Machine, Machine Electronic
social media, Systematic Literature, increasing activity, Literature Review, Speech Detection, Hate Speech, Text Mining, Hate, mining technology, Text
clustering Turkish, important step, texts, impact, text mining, texts Preprocessing, information retrieval, Turkish, step, stemming
learning algorithms, student feedback, learning, supervised learning, student, explores opinion, feedback data, Middle East, East College, Opinion mining
University emphasized, learning activities, Text Mining, caring characters, Service Learning, Harvard University, Learning, mining technology, Service, educational system
Relation Extraction, Knowledge Automatic, entities occurring, support precision, Heterogeneous Knowledge, Mutation-Cancer Relation, Automated Approach, Knowledge, Incorporating Heterogeneous, Relation
Cancer, Mining Algorithms, accurate algorithm, Text Mining, years, diagnosis, Cancer Diagnostics, Text, recent years, existing text
based safety, accidents, steel plant, occupational accidents, safety risk, plant Occupational, risk assessment, Bayesian Network, Text mining, mining based
network platforms, online social, trust, Enhancing trust, data, users, rapid growth, social network, utilizing data, data transfer
study, study program, accreditation document, Terms, National Board, mining Algorithm, English Terms, Profiling Based, document, Documents Profiling
Classification Scheme, Scheme Social, based Classification, content communities, Enhanced Framework, Social media, media platform, valuable resource, Social, Sentiment Analysis
Power Equipment, Semantic Framework, Text Mining, text data, Defect, relevant rules, framework technology, data, unstructured data, Text
recent diverge, research studies, Scoring, Science research, Sentiment Scoring, Data Science, Text Analytics, Text, Geoinformatics, Data
Develop D-Matrix, D-Matrix, Text, Text Mining, Ontology-Based Text, Unstructured Text, diagnostic model, hierarchical system-level, systematic diagnostic, failure modes
Train, Kansei, Service Excellence, Text Mining, Kansei Engineering, Kansei words, Excellence Customer, train services, Kano Model, Service
System, Big Data, Recommendation System, important forms, text mining, Places, tremendous extension, Tourist Places, tourism, Internet
knowledge extraction, Text Mining, Independent knowledge, process unstructured, online text, text accessible, text, extracting meaningful, words contained, machine learning
Training Institutions, Development, Double Reduction, Mining Technology, Xuzhou City, Transformation, Policy based, Reduction Policy, Education, Data Mining
objective analysis, Subjects Decision, Categorizing Bibliographic, Bibliographic Data, universities calls, reliable data, Academic Subjects, Data, Detection, Decision making
Urdu language, large amount, Text Mining, Urdu, Miner, Urdu Miner, Indian states, Urdu words, words, Text
vehicle, Issues, Exploring, Aloud Data, Text Mining, mining qualitive, study aims, electric vehicle, Aloud, Sound
Breast Cancer, Cell-type, Biomedical Literature, molecular information, Text Mining, categories entities, Searching Platform, mining technology, DNA, Virus
Public Emergency, K-means Algorithm, Text Mining, China, Mining Based, K-means, recent years, developed rapidly, Internet users, increasing popularity
scientific papers, Decision Support, Multicriteria Assessment, Reviewer, Text Mining, publishing process, Reviewer Assignment, Assignment Decision, papers, Academic Journal
emotion mining, Hijab Classification, important issues, user sentiments, opinions analysis, recent times, Persian, analysis, mining techniques, Hijab
data inside, system model, electronic products, social networking, Ontology-based text-mining, unstructured data, text-mining model, social, paper aims, networking websites
architecture works, time spent, text mining, Searching research, search engine, works purposes, research papers, knowledge, papers, database knowledge
economic stimulus, stimulus plans, policy texts, Text Mining, enforce specific, frequently release, Policy Recommendation, Text, specific rules, Policy
Rules Extraction, Text Mining, Mining Technique, Association Rules, automatically extracting, Rules, Text, extracting association, Knowledge Discovery, describes text
software, paper presents, research project, automatically processing, project concerned, software engineering, papers published, text mining, Engineering field, Current research
Power Plant, Entity Extraction, large amount, Mining based, Text Mining, Plant Fault, Fault, Entity, Power, fault diagnosis
social networks, Mining System, Taking, Sentiment Mining, Chinese Sentiment, Taking TripAdvisor, Self-Expanding Dictionary, Mining, Rule-Based Chinese, wide adoption
rheumatoid arthritis, medicine, arthritis, Chinese, Chinese medicine, deficiency pattern, rheumatoid, pattern, biological basis, traditional Chinese
Incorporating Social, Network Thai, Analysis Due, Thai Text, Social Network, mobile Internet, Internet usage, Text Mining, Segmentation Analysis, daily basis
tourism competitiveness, Quality, competitiveness report, Text Mining, Investigation, Global, Global tourism, Indian Hotels, Service Quality, India
Explore, Medical Device, Medical, regulations, basic step, Device Guidelines, Technologies Regulation, Explore Classification, Device, essential element
Documents Nowadays, long studied, Pre-Processing Techniques, scientist explore, vast amount, Text Documents, text mining, made scientist, Text, studied field
complaints, planning processes, geographic information, text clustering, Urban, proposals, enhance citizens', citizens' participation, information system, Urban planners
Poetry, Display Spatiality, Text Mining, paper studies, Mining Algorithm, Artistic Conception, Environmental Perception, Poetry Literature, classical poetry, Intertextual Artistic
mining practitioner, cross correlation, correlation approach, Toyota Accidents, text mining, mining cross, text, task, knowledge-intensive task, approach Text
query based, events taking, brings critical, critical effects, taking place, information systems, recent years, important field, Similar vulnerability, security events
Management control, IoT Systems, intelligent environments, agents, subway mines, Text Analytics, Text, production activities, Systems Management, Analytics Architecture
text clustering, clustering based, traditional text, Mahout, VSM model, improved VSM, text, VSM, Text representation, Term Frequency
discuss knowledge, event dating, Technologies domain, scientific annual, CISTI, annual event, dating back, Systems, Information Systems, Iberian Conference
System, Online Examination, answers, descriptive answers, objective type, Examination System, type questions, Online, short text, traditional Online
KDD, Mining-Supported Information, Developing Information, textual corpora, knowledge discovery, Information, Extraction, Text Mining-Supported, Information Extraction, Extended Methodology
innovation ideas, meet customer, economically competitive, data, Idea Mining, text, Idea, unstructured text, Concept, organizations strive
Contests, expert committees, Text Mining, Mining Approach, survey deals, Evaluate, increasing rapidly, Submissions, Text, Crowdsourcing Contests
Accessing Accurate, Bayes, Information Earlier, SVM, Earlier techniques, Naïve Bayes, Naïve, auxiliary information, Mining, Accurate Documents
Capture Facts, Processing Digital, Data Processing, Cloud Computing, Big Data, conference proceedings, Text Mining, proceedings repositories, Digital libraries, Mining Techniques
important platform, social networks, Analysis Based, chronic diseases, Text Mining, Chronic, rapid development, Web Text, Internet technology, Sentiment Analysis
Selection Based, Text, Feature Selection, Based, Class, dimension reduction, learning algorithm, Class Subspace, Feature, enhancing computation
fundamental objective, text classification, Optimization Based, Text Mining, Feature Selection, popular data, Based Two-Stage, Swarm Optimization, Text, mining topic
transportation solution, smartphone application, Case Study, service providers, Ride-Hailing Service, Service, Modeling Purpose, Purpose, Case, Topic Modeling
Classification Misclassification, Bug, inevitably sacrifices, Text Mining, bug reports, reports inevitably, Report Classification, Data, mining techniques, prediction models
publications related, detailed analysis, Text Mining, mining approach, Data Science, latest research, information retrieval, Identifying Trends, Data, Science Articles
Social Media, Characters Based, online information, Media Analysis, Text Mining, rapid development, network technology, Based, Wuthering Heights, increased reliance
pattern discovery, PTM, interesting knowledge, PDM Text, pattern, text documents, knowledge, Text mining, Text, Effective pattern
intensive vacancies, Engineering Positions, Knowledge Profiles, Text Mining, Natural Language, Software, Generating Knowledge, Language Processing, Organizations frequently, Software Engineering
System, Student Organization, events occur, Student, Automatic Online, Feeding, Organization Website, Website, Word Retrieval, Retrieval System
complex software, application development, Text Mining, agile application, development environment, identifying relevant, Leads Feature, Concept, automatically identifying, Software System
social networks, based, Support Vector, weblogs, classification, Vector, text mining, Support, Vector Machine, providers share
Research, Text Mining-based, failure, Model, Mining-based Research, Faults Classification, information technology, Aircraft Faults, Retrieval Model, aviation field
considerable time, demanding considerable, classify epilepsy, text mining, classify, epilepsy, complex process, extremely complex, Epilepsy diagnosis, healthcare infrastructures
enriched VSM, text classification, text mining, pointwise mutual, Online Stores, VSM, vector space, Customer Reviews, Graph-Based Representation, mutual information
Higher, SWD, HEI, Min Inequalities, Text Min, Disabilities, Sustainable Development, Development Goal, Higher Education, research
Text Feature, data mining, Feature Selection, Selection Technique, Binary Multi-Verse, Text, Text Clustering, Multi-Verse Optimizer, BMVO performance, Technique based
Short, Natural Language, Topic, single-document short, Short Texts, text, Language Processing, Single, Topic Modeling, extracting topic
Short text, model, secondary equipment, large amount, text data, topic model, comprehensive development, power grids, LDA topic, equipment failures
system problems, China, mining, companies, experienced rapid, rapid growth, Factors, Bike-Sharing System, China Bike-sharing, Influencing Factors
parser Text, keeping, full parser, grammar, arena, Text mining, Text, knowledge cultivation, full, biomedical arena
secreted proteins, network analysis, biological network, analysis Bacterial, text mining, biofilm, extracellular DNAs, polymeric substance, attached communities, EPS
Chinese recruitment, BERT pre-training, logistics talents, demand characteristics, segment Chinese, text mining, model Process, web crawler, Web text, Process text
Entity Recognition, Named Entity, Text Classification, Specific Field, text data, Natural language, Text, Field, artificial intelligence, language processing
System, System Based, proposed system, Text Mining, Recommendation System, rapid development, Based, social consumption, Internet, consumption level
Pattern Analysis, vital role, Business Intelligence, Geo Tracking, Analysis Web, Web, plays vital, mining techniques, Identify Alerts, Mining
Word Frequency, related literature, Frequency Data, Signal Based, paper mines, English, Data Mining, English Language, Structural Modeling, Language Signal
Plagiarism, electronic libraries, Text Mining, Multivariate Pattern, common patterns, Plagiarism Detection, Text Similarities, recent years, digital form, Detection
Korean Text, Management Platform, Resource Information, data mining, web pages, Information Mining, Text Resource, word segmentation, paper applies, word
project, case Knowledge, Bayes text, text mining, Knowledge Management, Naïve Bayes, unstructured data, scientific study, Management, ews detection
analysis activities, activities carried, Text Mining, software requirements, Inventory Management, Requirement Statement, Play Inventory, MNC Play, Management Application, elicitation results
horrendous treatment, Eastern countries, Syria, recent events, ongoing occasions, Afghanistan, text mining, Analyzing opinion, Eastern, Iraq
Study Destination, Exploratory Text-Mining, gained increasingly, Text-Mining Study, increasingly attention, Travel Options, Image, Travel, Exploratory, Destination Image
system, French Presidential, Election trends, Social Network, Text Mining, Presidential Election, Network Analyses, Twitter discussions, French, paper describes
documents leads, redouble features, text mining, coreference resolution, high dimension, text, Arabic text, mining based, resolution Text, number documents
System, recruitment process, System Based, Text Mining, study explored, Based, Résumé Evaluation, designed system, interview robots, Evaluation System
distribution, information, operation data, maintaining engineers, assessment, condition, condition assessment, distribution transformers, power grid, recorded plenty
mining Primarily, problem, text mining, problem transformation, multilabel problem, Multi-label, text categorization, Multi-label classification, medical diagnosis, automatic text
automated construction, Text Mining, Vulnerability Based, Estimation CVSS, Natural Language, Mining Technology, Language Processing, Severity Metrics, quantitative assessment, CVSS Severity
data mining, media objects, exhaustive study, Multimedia, large amount, database, multimedia databases, media, data, retrieval
Identify, Apply Data, sightseeing spots, visit sightseeing, Hotel, Mining Approach, Data, Hotel Industry, Data Mining, Identify Non-revisit
facilitate users, Indonesia Library, universitas Indonesia, organizing map, dissertations, Accessibility, Asia largest, critical aspect, collections, library
categorization, internet, modified LINGO, LINGO, regional languages, tremendous growth, accessing internet, regional, Text, Marathi
Visual Text, Systematic Literature, primary studies, studies, Reviews, Text Mining, Study Background, Systematic, Selection Activity, Literature Reviews
FMEA method, FMEA, Mode, Analysis Failure, Failure Mode, Reliability Analysis, DFMEA reports, Analysis, mining methods, Design FMEA
World Wide, understand textual, text classification, short, World, text, Wide, Wide Web, short text, diverse sources
Resources Mining, rich dataset, advertisement data, sector trajectories, Human Resources, job advertisement, human capital, rapidly growing, education sector, employment market
medicine, critical importance, Chinese, Chinese medicine, traditional Chinese, text mining, clinical practices, depressive disorder, rules, major depressive
system Electronic, medical staff, decision making, hospital information, EPR, text mining, Electronic patient, disease diagnosis, information system, Mining text
Methods, Online Customer, Natural Language, OCR, Science Online, Mining Methods, Text Extraction, Data Science, Data, Customer Reviews
Secret Sharing, research fields, Natural Language, Language Processing, Multilevel Secret, Text Data, Information Retrieval, Text, Data, Sharing Scheme
MGH treatment, mining Mammary, external therapy, Chinese medicine, disorder diseases, gland hyperplasia, breast cancer, Exploring rules, mammary gland, traditional Chinese
thai, paper presents, text-mining model, retrieval, Naïve Bayes, classifying, information retrieval, Development, machine learning, thai text-mining
detailed reviews, Delving, intricate terrain, organic food, Text Mining, potential customers, Maze, paper aims, Text, Perception Maze
expert systems, Distributed Knowledge, Mining Methods, electronic media, problem-oriented texts, Knowledge Acquisition, Acquisition Basing, Knowledge, Data Mining, integrated expert
World Wide, Query-oriented text, huge amount, World, technique Today, Web, Wide, Wide Web, text summarization, Today
Education Policy, government departments, Text Mining, public opinion, China Education, China, public, evolution law, in-depth development, related factors
Cosine Similarity, Stemmer, Essay, Porter Stemmer, text, high school, stemming process, Assessment Essay, Automated Essay, Essay assignments
facing humanity, innovation activities, activities, economic development, mining Nowadays, Social innovation, text mining, problems facing, Social, pilot study
major consideration, Ratings, Coursera, consideration factor, Platform Ratings, Platform, Text Analytics, Coursera Platform, Text, analytics pipeline
network Nowadays, multi-level fuzzy, text classification, text data, large volumes, data, Effective text, text, Nowadays, neural network
discover, Sentimental Analysis, Elections Information, Predict, Information mining, data, Feeds, Social Feeds, Social, web mining
data Automatic, Text Classification, text document, semi-supervised machine, Automatic Text, categories based, sports blogs, Text, machine learning, pre-defined categories
call, Provider, network, call center, related problems, detecting network, communication channels, related, Service Provider, network related
network analysis, Analytics Platform, presents MOSAIC, Situation Assessment, demand grows, decision support, end users, Criminal network, data streams, increasing complexity
world economy, epidemic, catering, text mining, China, catering companies, control model, adverse effects, industry, catering industry
learning, learning environments, constant increase, text mining, evaluate student, virtual learning, mining techniques, students, constant, interaction
disambiguation Nowadays, texts, expansions, method, Nowadays, acronym, increasing tendency, technical texts, ambiguous acronyms, acronym disambiguation
social media, services, customer, media, insurance, customer suggestion, social, business operation, mining techniques, online social
user feedback, Google Fit, Fit Application, app store, text mining, distribution platforms, users, downloaded software, Fit, Application distribution
based, textual data, research articles, extract information, text mining, scalable research, Hybrid solution, research, articles recommendation, important techniques
important consideration, charts based, charts, Text Mining, Visualizing Business, data attributes, data, business charts, data interpretation, Mining Techniques
present outbreak, Social Network, Text Mining, Network, big impact, April, American countries, Text, South American, Surveillance
data mining, total amount, text data, Classfication Accuracies, Text Documents, Benchmark Datasets, data, remarkably increasing, Text, Documents Classfication
Parallel, Vulnerabilities Discovery, CWE, Source Database, Text Mining, Parallel Vulnerabilities, Open, CVE based, Text, Open Source
Micrblog, Twitter, Social media, Online analysis, Twitter Social, forecasting sentiment, create space, Social, information, sentiment
text data, Vector Space, data, unstructured text, Reduction Nowadays, text, increasing interest, Nowadays, KNN Algorithm, Term Vector
working scenario, psychometric tests, Recruitment, time-consuming process, present day, Model, day working, Tests, Aptitude Tests, Simplified Recruitment
Social Media, Text Mining, Mining Technique, Sentiment, Indonesia China, China Trade, Insight, Trade Relations, people opinions, Sentiment Analysis
intelligent algorithm, Python language, Text Mining, accurate standard, paper constructs, audit opinions, algorithm based, Text, activities efficiently, put forward
investment bank, United States, employment pattern, Lehman Brothers, significant impact, September, Japanese economy, States investment, atypical employment, Japanese
Water Insecurity, Southwest Region, data mining, evaluate online, Content, Region, major source, Exploring Text, Online, Address Water
text classification, KNN classifier, Nearest Neighbors, text mining, text, Mahalanobis distance, mining field, classification based, KNN, Nearest
complaint, service quality, paper presents, complaint handling, industry-based study, text categorization, text, Evaluating service, handling throught, customer complaint
improved combination, mining saves, potential application, texts, large amount, classification, text mining, Persian texts, text format, high potential
Pair Programming, Programming Education, Text Mining, Pair, Analysis, Behavior, pair work, Text, Education, Behavior Analysis
Corpora Digital, primary source, Digital, contents, Corpora, population, Text Analysis, Hybrid, Text, Digital Corpora
Method, chemical compounds, Lines based, Text Mining, cell, Bioinformatics, Representation Method, Lines, important problem, Cellular Lines
Texts, Noisy, automatic topic, Topic, Arabic Texts, Topic Identification, Graph Approaches, Noisy Arabic, Arabic, paper deals
Text Mining, Mining Approach, based Evaluation, Wound Healing, Evaluation Wound, Proteins, intricate cellular, molecular interactions, Wound, process characterized
Survey, process, exponentially huge, recent times, Techniques, data, Text mining, Text, information, Categorization
study, case-based learning, study approach, Text Mining, case, learning Text, paper, Text, case study, Mining techniques
Retrieval, Mining Information, Text Mining, Arabic Terminology, Domain-Specific Text, Extraction, Information Retrieval, search quality, Terminology Extraction, Arabic
academic field, technology infrastructure, metadata describing, literature review, Part, text mining, Retrieving technology, technology, Retrieving, Google Scholar
Indonesia Today, Text Classification, Bahasa, Internet usage, text format, Naïve Bayes, Classification Services, Text, Today, Bahasa Indonesia
Improved Patient, markedly increasing, Improved, Text Mining, Patient Characterization, Clinical Text, Text Analysis, Characterization Clinical, Text, documents
Brent oil, Text Mining, LBMA GOLD, COP currency, Economic Indicators, Multiagent Systems, including data, Machine Learning, research proposes, economic phenomena
Utility Pattern, Survey, searching highly, Pattern Mining, relevant patterns, Pattern, highly relevant, High Utility, Comprehensive Survey, Mining
GGSDS, Single Document, self-organizing map, Single, remarkable challenge, text, Growing self-organizing, Document Summarization, huge collection, Graph-based Growing
chapter, Automatic, classification, Deep Learning, Deep, text, subject study, NLP, natural language, language processing
API, Cyber frauds, Malware detection, banking industry, Programming Interface, data, Malware, major security, industry worldwide, security threat
mining method, paper develops, factors, Interest Rate, Rate, Text Mining, Rate Model, Investor Attitude, flattening factors, Model
Intelligent data, social media, media, health care, Knowledge mining, Data offers, data, social, mining technique, mining
information, mining Text, large amount, comparitive analysis, text mining, pattern, length, text, single pattern, emerging area
transforming sequences, comparative text, reference text, text data, describe SyntacticDiff, text mining, efficient edit-based, Operator-based transformation, text, Operator-based
corporate sustainability, Taiwan, industrial context, bottom line, corporate, Taiwan enterprise, triple bottom, sustainability report, leaders' viewpoints, critical issue
Data mining, focus, survey, classification, huge, text, techniques, paper, Data, clustering
Text Summarization, consolidated report, content archive, Networks Text, separated data, Text, Neural, notable data, extricating notable, Neural Networks
PLSI, LDA model, Probabilistic Latent, Latent Semantic, Latent, Latent Dirichlet, Indexing, Allocation, Dirichlet Allocation, Semantic Indexing
Intraday Investment, Decisions Investors, Support Intraday, Text Mining, Boom, Investment Decisions, Text, Difference, Ruin, Sentiment Analysis
Web Mining, Semantic-Synaptic Web, Mining Web, web documents, semi-structured form, Web, information extracting, information, mining technique, automatically discover
Meter, Learning Based, Poetry, Meter Categorization, Poetry Meter, Based, Text, mining applications, Arabic, Arabic Poetry
proposed model, Fault Analysis, Transit System, Urban Rail, Identification Model, Text Mining-based, Mining-based Identification, System Infrastructure, Infrastructure Fault, Rail Transit
media data, social media, workflow approach, data Customers', media, Customers' conversations, social, shed light, data, workflow
CFTDISM, text clustering, build variety, Improved Similarity, Financial Text, Similarity Measure, Text Documents, domain build, Text, research domain
Energy-Efficient Adaptive, Adaptive Hardware, growing field, Text Mining, statistical methods, Application Kernels, data sets, Text, Hardware Accelerator, Mining Application
e-books, Matrix, Structure Matrix, Related books, text mining, DSM, Dependency, based text, element, Dependency Structure
mediating synchronous, paper discusses, foreign language, synchronous online, text mining, present paper, agent, text, pedagogical agent, language learning
area Bali, online reviews, sentiment analysis, sentiment, Bali, Bali Island, hotel, tourist area, tourist destination, Bali tourist
Recurrent convolution, protein-protein interaction, neural networks, classification, convolution neural, biomedical literature, predefined categories, RCNN, Text, literature Text
interesting knowledge, Text Mining, Pattern Discovery, text documents, documents represents, Mining Measured, Edit Distance, Text, Levenshtein Edit, extract interesting
Technology, Curriculum Vitae, Scientific Site, Site DINA, National Council, Peruvian Professionals, Official Scientific, Science, government started, promote Science
Text Feature, Feature Extraction, optimization Algorithm, Internet continues, Bean optimization, Web, Web Text, Text, Internet, phenomenal rate
Bug, Text Mining, Software Bug, Bug Localization, SBL, static SBL, SBL models, Text, Mining Techniques, Localization Software
model, related features, text mining, text documents, text, methods, TREC topics, patterns, discovered related, user preferences
Big Data, Support Vector, utilizes text, Text Mining, Vector Machine, mining techniques, machine learning, Naive Bayes, Random Forest, Data Analysis
Encyclopaedia Britannica, Historical Digital, Semantic Web, Mining Web, Text Mining, Case Study, Deep Learning, Learning NLP, Unlock Historical, Web Tool
Big Data, including marketing, Natural Language, Language Processing, Text Analytics, widespread recognition, Text, recent years, Data, gained widespread
state level, official purpose, Learning Algorithm, Supervised Learning, Learning, Indian, Text, Indian Language, Language Text, Algorithm
Customer Opinion, social media, electronic word, Mining Customer, Case Study, support electronic, Ride-Hailing Service, Service Provider, Service, Sentiment Analysis
social media, Strong Supervision, Text Mining, Instagram, Strong, increasingly consist, Text, Data, online feeds, feeds increasingly
multiple emotions, Semantic, Emotion Detection, text mining, widely researched, growing importance, Semantic Analysis, Hybrid Approach, Contextual, emotions
Command, Systems Command, data mining, aircraft, provide advanced, Air Systems, Air, failure modes, complex, Naval Air
text classification, Neural Network, vector representations, paper involves, involves deriving, high quality, deriving high, Integrating rich, quality information, rich document
NBR Board, Policy Decisions, Romania, Bank, Text Mining, Monetary Policy, Policy, policy rates, National Bank, Mining Techniques
Sentiment Analysis, huge amount, Negation, huge data, extract, data, huge, Analysis, Document Level, Sentiment
social media, identifying users', Supervised Machine, Arabic Tweets, Machine Learning, users' reactions, information momentum, Logistic Regression, Arabic, Sentiment Analysis
Mining Online, hotel reservation, Foreign Tourists, Hotel, Text Mining, travel planning, reservation system, Online hotel, Comments, Foreign
extracting concepts, approach, Syntactic rule-based, construct ontology, ontology, text, Malay, rule-based approach, ontology learning, Malay Quranic
visits information, Electronic health, detailed visits, Clinical Notes, EHR, Association Rules, health record, Radiology Clinical, Rules Electronic, Weighted Association
classification methods, Morocco, Legal Domain, Text Classification, Arabic Text, support law, increasingly complex, Naïve Bayes, Domain, law professionals
World Wide, Support Vector, Naive Bayesian, World, data coming, Vector Machine, Web, Wide, Wide Web, longer feasible
Extracting Disaster, East Japan, nuclear accidents, Japan Earthquake, disasters caused, Text Mining, Disaster Characteristics, Great East, Earthquake caused, Japanese public
University Admission, Benford Law, specific shape, natural numerical, Irregular Datasets, Law, Text Mining, Admission Statistics, digits forms, Benford distribution
Comparative Analysis, studied research, classification task, cancer types, widely studied, Text Mining, Machine Learning, common cancer, Learning Algorithms, medical articles
social media, million tweets, method Twitter, application, Bayes method, text mining, Naïve Bayes, Naïve, Twitter users, million
fake, social media, media, Twitter Data, social, Analysis, outdated print, media sites, sites, modern years
policies, rural modernization, digital, vital role, village construction, Content characteristics, digital village, policies related, evolutionary logic, rural
Automated Information, content mining, sizable quantity, accelerated dramatically, Information Analysis, manually examine, Textual, Textual content, Mining, Mining Techniques
World Wide, deep transformation, transformation induced, present global, WWW, Web, Text mining, Wide Web, global society, social interactions
System Text, Recommender System, Big Cities, find hidden, Text mining, Text, Java, Indonesia, mining technique, Sentiment Analysis
Ensemble Approach, Text Classification, technology-heavy businesses, major difficulty, Machine Learning, funding agencies, academic institutions, Learning Models, commercial enterprises, maintaining consistent
protein, texts, network, cancer, human disease, interaction network, text mining, protein interaction, notoriously lethal, lethal human
social media, designing Arabic, media, mining systems, social, research area, media posts, arabic, arabic social, subjective analysis
Support Vector, Vector, Natural Language, Bangla Text, Based Sentiment, Language Processing, Opinion Mining, Vector Machine, collective opinions, Mining
study, keywords, gambling industry, composite function, Optimization Algorithm, frequency composite, Fly Optimization, Fruit Fly, keywords frequency, Macau gambling
retrieval tasks, enhanced data, mining model, text classification, vital role, Classification plays, analysis, text, document, information management
big data, Text, feature, important role, data, data analysis, Text mining, feature selection, State Budget, tax
Models Based-on, Classification, Bert, Natural Language, deep learning, Language Processing, Models, Based-on Bert, Bert Recently, Processing tasks
Transfer, Relation Extraction, network, Transfer Learning, interaction network, Learning, Multi-type Microbial, Microbial, Microbial interaction, Relation
Forecasting Spare, Military Logistics, demand forecasting, stock range, Demand, Predictive Model, Parts Demand, Spare, Spare Parts, industrial context
Key Technologies, Text Mining, Supply Equipment, railway traction, large number, Power Supply, Equipment Based, information mining, Traction Power, apply directly
study, wide range, Systematic Literature, Literature Review, Twitter-based research, Text Mining, Systematic, topics, collected Twitter, Twitter data
began providing, Internet began, Text Mining, Original Text, Deep Learning, Learning Methods, Turkish language, Text, text production, increased dramatically
Shared, source domain, Space, Low-Rank Shared, Shared Concept, Discovering Low-Rank, Text Mining, Mining Models, Concept Space, Adapting Text
critical important, reason mining, important task, BNSF, Beijing Natural, Natural Science, Science Foundation, external expert, analyze external, selection External
Fuzzy Matching, Text Mining, Improved Topic, Latent, Latent Dirichlet, innovative fusion, Fusing Latent, Allocation, Dirichlet Allocation, LDA
content mining, web content, Cyberbullying detection, major impact, make Internet, mining Cyberbullying, intensive field, research, web, detection
OFDI, Big Data, valuable information, China, mining technical, massive data, OFDI Based, Data, extract valuable, Data Mining
Unified Modeling, UML Artifact, SRS Sipranta, Activity Diagram, Text Mining, Step Performed, Modeling Language, study focuses, extracting Unified, Sipranta Application
Non-Technical Losses, Losses, Power Utility, Inspections Accuracy, main power, Improving, Spain, Losses Reduction, Endesa Company, Power
Narrative Court, made accessible, Court judgments, accessible online, growing number, Court, Exploring Narrative, Police Academic, Academic Education, online resources
call, monitoring system, services, customer, call center, Advance version, main objective, Advance, mining techniques, mining
integrated research, Mining Tools, digitised texts, digital humanities, environment designed, online integrated, Cambridge University, Linguistic Analysis, humanities Samtla, research environment
Companies' Financial, article presents, Brazilian Companies', Financial Footnotes, publicly listed, statements footnotes, predict variations, provide information, Brazilian, Footnotes Texts
fans page, social media, anger, impact, Indian army, Mining emotions, Facebook Usage, army fans, Usage, inescapable part
C-means clustering, BoW, Fuzzy C-means, Finding similar, reports, clustering Finding, Fuzzy, Finding, similar diagnoses, radiology reports
identifying software, mining bug, Hidden Impact, complex software, bug, Impact Bugs, increasingly important, systems increasingly, software vulnerabilities, software systems
Data mining, factors, success factors, text articles, inter-organizational success, effective strategic, full text, Data, success, strategic management
data repository, vast numbers, information, data constitute, data, historical data, methods, discourse analytics, digitised documents, rich research
Pattern Based, Urdu infix, Urdu Stemmer, Urdu, Based, Based Comprehensive, million people, Text, written communications, stemming
extract core, network analysis, network, scientific databases, core concepts, paper introduces, text mining, analysis, text, social network
based, low frequency, text document, text mining, text, Pattern, term, methods, frequency problem, mining methods
Critical, Artificial Intelligence, Natural Language, Language, Deep Learning, Language Processing, Text mining, Text, Critical Evaluation, NLP
Social Media, Female, Daily Network, Female Daily, Daily, Media, Social, company engaged, Selling Content, Media Female
Data mining, legends, folk tales, myths, completely studied, intelligence Data, correlation data, text correlation, Data, artificial intelligence
nurturing sustainable, Japan, Higher, future well-being, Sustainability, Mining Assessment, Japan Higher, Text Mining, Higher Education, society
Syntactic, Free Text, advanced text-mining, Text Documents, semantic search, Syntactic Structures, question answering, Text, Text Graphs, essay grading
internet users, attention degree, Closed Word, micro-blog topic, Short Text, Word Sets, Frequent Closed, Text, Algorithm Based, Text Clustering
Years Past, Social Media, Islamic State, Past Studies, Review, ISIS, recruitment actual, Text Mining, actual behavior, paper
Text documents, text clustering, clustering technique, function, technique, text, mining tool, objective function, objective, unsupervised text
approach, Processing techniques, review-based approach, Review Detection, paper presents, Natural Language, online hotel, Fake Review, Language Processing, Fake
core problems, Text, Density Peaks, Based, Find, information retrieval, Clustering Algorithm, Algorithm Based, retrieval field, Text Clustering
Predicting Effective, Effective, main carrier, Natural Language, Processing Model, Natural, Language, Effective Arguments, Language Processing, Internet
media era, Recursive Neural, Hospitality Industry, Neural Tensor, highly competitive, knowing customers', Opinion Mining, Customer Reviews, Tensor Network, Aspect-Based Opinion
Open-Ended Questions, large amount, generated daily, Text Mining, text data, Modeling Approach, LDA Topic, Text, LDA, Topic Modeling
Method, Game, action games, game reviews, game usability, qualities, developers, problems, usability qualities, classifying game
Automated Text, mining based, HCI, Text Mining, Interaction, twenty years, Literature Analysis, Text, HCI research, Human-Computer Interaction
System, mechanism, complex evolutionary, common method, Simulation, Complex, Data, Complex System, Data Mining, modeling
accounts, Recognising User, Text Mining, Twitter, Twitter Social, Social Networks, Social, recent years, User Identity, User
optimal NER, NER, recognition Nowadays, literature capable, large number, text, Nowadays, highly scalable, NER method, scientific literature
multilingual parallel, contextual knowledge, creating feature, text mining, Translingual text, parallel corpora, knowledge acquisition, text, query profiling, information extraction
CRF TCM, clinical terms, TCM Medical, Guangdong Provincial, labeling, Provincial Hospital, labeling features, TCM, Medical Cases, Features
rule, produce strong, customer analysis, customer, rule mining, mining algorithm, analysis, association rule, Voice, parallel association
