english grammar books, keyword analysis speech, grammar books 19th, results text mining, grammar books important, paper text mining, word frequency analysis, mining word frequency, english grammar gutenberg, analysis keyword analysis
text mining tasks, recognized entity bern, biomedical text, neural named entity, named entity normalization, entity normalization models, entity recognition multi, tool biomedical text, tagging entities pubmed, mining biomedical
nltk natural language, essay scoring, domain concept ontology, mining nltk tools, teachers essay grading, essays using ontogen, scoring ontology based, grading essay activities, text mining nltk, ontology based text
process stop word, list text preprocessing, text mining, word list constructed, filter algorithms designed, chinese english stop, word filter efficiency, english stop word, preprocessing text mining, word list text
text mining, cosmetic product sentiment, machine learning text, learning text mining, sentiment trends, sentiment analysis growing, twitter brand analysis, sentiment analysis social, brand product sentiment, product safety lexicon
tf idf svm, diagnosis classification based, patient diagnosis using, idf feature extraction, word removal classification, classifying patient, stopword removal svm, performs classification indonesian, vector machine svm, classification indonesian emr
review hate speech, good hate detection, hate speech minorities, hate detection performance, twitter hate speech, hate speech getting, including hate speech, hate speech classified, topics hate speech, detect hate
quality clustering texts, recommended apply stemming, clustering texts, turkish stemming used, turkish stemming, examining impact stemming, stemming improves quality, clustering turkish texts, clustering turkish, stemming used dimensionality
classifier, polarity student comments, classifier data, polarity student feedback, student comments using, techniques student feedback, implementation opinion mining, mining using supervised, comments based, explores opinion mining
attending service learning, text mining, qualitative text mining, student service, college students service, reflection service learning, service learning courses, theory text mining, used text mining, text mining technology
heterogeneous knowledge automatic, embedding knowledge sentence, methods embedding knowledge, text possible cancer, attribute aware knowledge, associated cancers background, mutation cancer relation, mutations cancer entities, relation extraction challenging, relation extraction free
cancer, cancer diagnostics recent, existing text mining, algorithm diagnosing specific, accurate cancer, early accurate cancer, years text mining, text mining models, specific types cancer, mining algorithms
text mining approach, mining based prediction, study text mining, unstructured accident dataset, occupational accidents steel, accidents threat organization, occurrence accidents, accidents steel plant, developing text mining, organization occupational accidents
identify valid comments, data text mining, mining users tweets, comments establishing genuine, text mining techniques, enhancing trust accuracy, identify malicious users, accurate trust distributed, classification comment mining, malicious users
terms accreditation document, rank accreditation obtained, document analyzing english, accreditation document case, using text mining, accreditation rank obtained, scoring result accreditation, document analysis scoring, indonesia accreditation process, english terms accreditation
sentiments polarities classified, mining sentiments fact, using sentiwordnet distance, using twitter comments, features using sentiwordnet, twitter comments text, distance based classifier, sentiments polarities, organization sentiment analysis, sentiwordnet distance
defect texts case, framework text mining, text mining, defect attributes deep, components defect attributes, power equipment defects, mining technology defect, defect records expressed, power equipment defect, unstructured defect description
sentiment scoring hierarchical, iot text mining, location extracting knowledge, geographical data presented, geo enabled mining, geo enabled text, mining text issues, geoinformatics justified geographical, text analytics sentiment, sentiment scoring
fault diagnostic information, text mining method, unstructured repair verbatim, employ text mining, diagnosis ontology consisting, updating matrix mining, observed fault diagnosis, text fault dependency, dependencies unstructured repair, ontology based text
railqual kano, train service excellence, text mining, train service attributes, approach text mining, representative kansei words, kansei words clean, kano model kansei, services text mining, engineering train service
text mining methods, generate tourism profiles, new tourism big, various text mining, tourist thinking text, thinking text mining, text mining information, implemented recent tourism, clustering related tourists, tourism big
joke clusters bound, knowledge extraction, analysis funny humorous, words clusters, humorous text, text analysis tool, text mining process, information extracting meaningful, independent knowledge extraction, online text analysis
strengthen quality education, institutions xuzhou double, data mining technology, training institutions transform, based data mining, data survey data, education quality, development k9 education, choose education training, network big data
transition academic subjects, bibliography database detecting, detecting topical distinction, data detection transition, text mining techniques, text categorization effective, temporal differences academic, bibliographic data, transition book titles, titles university libraries
documents urdu pakistan, application urdu text, datasets present urdu, million urdu words, urdu text mining, unique urdu words, analysis urdu, urdu language datasets, urdu language examine, urdu words list
text mining exploring, issues qualitative think, qualitive think, think aloud text, driving text, vehicle ev sound, ev sound mining, qualitive think aloud, automotive industry user, vehicle ev
cancer using text, bciseach searching platform, linked breast cancer, information linked breast, breast cancer etiology, bcisearch search, develop biomedical text, virus bcisearch search, mining biomedical, text mining technology
credibility text clustering, platform text mining, opinion evolution analysis, emergency using word2vec, takes word2vec, topic analysis furthermore, using word2vec, accurate text clustering, segmentation word frequency, text mining based
text mining manuscripts, reviewer assignment papers, reviewer indicators, speeding reviewer assignment, weighted reviewer, papers method reviewer, weighted reviewer indicators, assessment text mining, method reviewer assignment, given comprehensive reviewer
emotion mining techniques, text mining techniques, using text mining, computational linguistics artificial, hijab natural language, identify user sentiments, hijab classification sentiment, analysis words comments, opinions analysis issue, sentiments issue
keywords ontologies, based text mining, online consumer behavior, social networking websites, ontologies electronic products, products emotions, extracted keywords ontologies, model social network, mining model social, electronic products emotions
mining techniques search, make searches classifying, research papers using, clustering text, classification research papers, text mining techniques, clustering text mining, search documents natural, search engine, research papers architecture
text mining method, based text mining, recommendation policy texts, attribute extraction, companies policy text, policy texts needed, extraction matching recommendation, named entity recognition, entire policy text, attribute extraction matching
knowledge discovery text, documents association rule, text mining technique, keywords association, keywords association rules, describes text mining, discovery text mining, rule mining, association rules collections, generating association rules
software engineering domain, text mining, natural language processing, text mining paper, researched software, teaching software engineering, engineering field automatically, concerned extracting themes, concerning teaching software, engineering relevant topics
power fault data, text mining, learning fault data, fault entities power, entity extraction method, power fault diagnosis, entity extraction model, traditional entity extraction, entities power plants, text mining based
datasets terms classification, sentiment time consuming, dictionary taking tripadvisor, terms classification accuracy, based chinese sentiment, sample proposed sentiment, support vector machine, individual sentiment time, chinese sentiment, word2vec based
arthritis text mining, rheumatoid arthritis explanation, rheumatoid arthritis list, rheumatoid arthritis text, distinguished patterns rheumatoid, medicine deficiency pattern, medicine explains deficiency, existing diseases data, diseases data mining, chinese medicine deficiency
online marketing, traditional offline survey, thai text data, network thai text, text data online, mining lifestyle segmentation, marketing segmentation merits, utilize social network, richer marketing segmentation, internet usage thailand
related tourist satisfaction, accommodation service quality, foreign travelers hotels, hotels text mining, tourist satisfaction, reviews customers hotels, tourist satisfaction apparently, quality attributes indian, indian hotels text, hotels text
classify regulations, text mining medical, medical field text, device guidelines explore, mining tools medical, technology regulation, mining medical device, guidelines explore classification, regulations classification regulations, technologies regulation essential
addressed preprocessing algorithms, nowadays text mining, english text, pre processing techniques, processes text mining, text unstructured, datasets written spanish, preprocessing algorithms extract, classification short, classification short large
complaints proposals data, text clustering showed, mining geographic information, clustering visualization, results text clustering, using text mining, topics community reports, geographic information urban, community complaints proposals, urban problem classification
environmental perception intertextual, perception intertextual artistic, classical poetry similarity, ancient poetry literature, spatiality text, poetry display, intertextual artistic conception, spatiality text mining, ancient poetry, literature display spatiality
task text mining, cross correlation, detection toyota accidents, cross correlation approach, correlation analysis, cars predictive, analytics statistics linguistics, mining knowledge intensive, text mining practitioner, words correlated time
annotated vulnerability dataset, similar vulnerability, vulnerabilities help alarm, text mining security, realized vulnerability management, vulnerability query, similarity score computation, similarity relationship vulnerabilities, mining security events, vulnerability dataset
architecture iot systems, algorithms agents use, architecture iot, text analytics, multiple agents text, execute text mining, multiple agent, analytics architecture, text mining algorithms, iot
text clustering defect, research text clustering, clustering used, text representation improved, clustering novel vsm, text representation model, clustering quality, mahout text clustering, text clustering novel, text representation
text mining, research trends cisti, cisti themes, topic modeling unveiled, cisti unveiled text, assessed topic modeling, adopted text mining, global community cisti, mining assessed topic, topics articles
text mining measuring, answer matching, using text mining, measuring similarity sentences, scoring document clustering, online examination, online examination short, answers university examinations, short text matching, evaluation students automated
extraction systems information, text mining, data mining information, supported information extraction, information extraction knowledge, mining information, text mining supported, information extraction engineering, extraction knowledge discovery, extraction emerging data
based text, user comments unstructured, idea mining technically, employee driven idea, text mining techniques, unstructured text data, driven idea mining, mining concept benefits, weblogs, comments unstructured text
contests, text mining, crowdsourcing websites data, evaluate quality submissions, evaluate submissions crowdsourcing, following text mining, contests survey deals, comparing text mining, crowdsourcing, text mining based
results document clustering, accurate documents mining, mining auxiliary document, documents improve mining, text mining paper, clustered documents classified, cluster text, classify cluster, techniques text mining, text mining included
research articles cloud, text mining techniques, big data processing, cloud computing adoption, factors cloud adoption, big data using, topic modeling extract, word cloud term, text mining application, domain analysis cloud
research chronic diseases, disease related topics, text mining, online health information, web text mining, topic sentiment analysis, discuss social networks, networks analyze emotions, chronic diseases, communicate share health
reducing dimensionality, subspace text data, semantic documents feature, class subspace text, selection feature extraction, text dimension, feature selection method, subset words features, document representation enhancing, feature selection csfs
text classification important, traditional feature selection, feature selection text, mining text, filter remove features, text mining important, mining text mining, select informative features, feature selection methods, summarization text classification
text latent dirichlet, text mining approach, extract topics based, latent dirichlet allocation, discussed customers posts, customer opinion topic, topic modeling purpose, customers opinions marketing, capturing customers opinions, satisfaction text mining
misclassification bug reports, features bug reports, text mining techniques, combining text mining, text mining data, bug reports inevitably, performance bug prediction, bug reports classifies, mining bug, leverages text mining
data science articles, mining research conducted, insight textual documents, textual documents, significance information retrieval, data science using, text mining identification, articles using text, mining approach database, publications related data
social media undergoes, latent semantic analysis, social media analysis, feature subsets extracted, selection operator lasso, text mining techniques, lasso performance, techniques analyze characters, analysis novel characters, feature selection pre
patterns specific documents, pattern taxonomy model, term based methods, pdm text mining, text mining process, useful patterns text, know term based, term based approach, discovery text mining, pattern discovery taxt
software engineering positions, vacancies software engineering, mining identify knowledge, natural language processing, text mining tm, knowledge profiles resumes, unstructured text resumes, engineers software engineering, hiring process software, processing nlp text
news internet categorized, method word weighting, text mining method, news content grabbing, using word retrieval, retrieval news important, frequency text mining, word weighting term, mining method word, automatic online news
called topic modeling, combine text mining, concept mining leads, concept mining formal, concept analysis carried, text mining techniques, mining concept, cluster related documents, recently text mining, concept analysis large
text mining approach, idf support vector, text mining, classification based svm, based tf idf, topics classify news, classify news different, svm news, vector machine news, tf idf classification
failure management, maintenance decision making, text mining great, aircraft faults, aircraft faults classification, information equipment failure, equipment failure, discover knowledge text, knowledge text, text mining based
epilepsy diagnosis extremely, propose text mining, entities recognition, physicians need classify, named entities recognition, relating epilepsy diagnosis, text mining process, diagnosis classification children, presents text mining, children epilepsy diagnosis
free text reviews, stores graph, neo4j graph, text reviews, customer reviews online, used neo4j graph, training text mining, text mining models, graph database management, text classification
education guarantee inclusive, disability frequently analyzed, requirements students disabilities, disability, visual disability, research inclusive education, inequalities exclusion education, disabilities swd analyzed, challenges higher education, research inclusive
feature selection regarded, verse optimizer algorithm, clustering algorithm enhance, clustering binary multi, feature selection method, important text features, unsupervised text clustering, text features important, verse optimizer text, novel feature selection
text mining, process extracting topic, words finding topic, extracting topic main, extraction topic relevant, document classification, topic modeling single, automatic topic modeling, firstly automatic topic, text mining natural
faults power grids, electrical equipment failures, natural language processing, model short text, topic model cnn, fault categories information, chinese short text, generate topic text, text classification, equipment smart grid
association rule mining, generated text mining, text mining, sharing bikes, sharing china bike, rule mining relationship, bike sharing experienced, sharing bikes companies, bike sharing china, used text mining
text mining biomedical, analyzing text grammar, domain using parser, grammar biomedical arena, mining biomedical domain, better result parser, shortcomings parsing, grammar biomedical, using parser text, result parser
metabolism biofilm, environment formed biofilms, biofilm formation survival, composition biofilm microbial, biofilms complex surface, biofilm microbial community, reducing bacteria biofilm, biofilm reduced growth, rates metabolism biofilm, bacterial biofilms complex
data recruitment websites, employment logistics, outstanding logistics talents, text mining view, text mining segment, web text mining, logistics talents colleges, recruitment enterprises work, characteristics logistics talents, recruitment websites uses
proposes automatic annotation, annotation method based, entities text datasets, text mining, text classification named, natural language processing, text mining important, classification named entity, named entities text, entities text
user sentiment tendencies, text mining improvement, text mining technology, accuracy item similarity, recommendation based, feature similarity items, establish recommendation text, sentiment score, sentiment score build, item similarity experimental
business intelligence geo, source code mining, business intelligence, tracking novel mining, identifies weblogs, code mining implementation, web log, mining techniques generation, tracking identify messages, identify alerts pattern
keywords using word, structural modeling english, literature word frequency, modeling text mining, english language structural, mining peak analysis, data mining peak, english language signal, frequency data mining, power consumption english
plagiarism recent years, text mining, plagiarism detection transformed, plagiarism technical disguise, text mining methodology, recognition text similarities, plagiarism detection multivariate, cases plagiarism technical, plagiarism, text similarities problem
studies korean word, korean web, word segmentation, design korean text, technology search korean, korean web pages, based word segmentation, word segmentation methods, terms korean korean, word segmentation technology
mining unstructured, detection text mining, mining unstructured data, project case, warnings failure project, project management documents, various project management, construction industry project, ews detection text, naïve bayes text
specification srs elicitation, approved resulting similarity, elicitation results analyzing, software requirements based, requirements specification documents, elicitation requirement, document highest similarity, goal determining similarity, software requirements specifications, similarity software
afghanistan psychological oppressor, occasions afghanistan psychological, words tweeting, microblogging, afghanistan people western, opinion mining, afghanistan having similar, analysis tweets conducted, recent developments afghanistan, twitter microblogging
tourism planning tourism, gender difference destination, latent dirichlet allocation, agency male travel, tourism positioning marketing, increasingly attention tourism, travel blogs furthermore, image travel blogs, male travel, travel options female
text mining, tweets mining french, rating tweets, social media text, manipulating twitter data, election trends twitter, rating tweets evaluating, text mining analysis, twitter discussions carries, analyses text mining
improve arabic text, mining using clustering, text mining discover, challenge text mining, applied coreference resolution, coreference resolution, arabic text, mining based clustering, coreference resolution technique, documents improve arabic
text mining, web crawling text, résumé evaluation, robots recruitment process, based text mining, matches job candidates, electronic résumés, job market internet, application interview robots, candidates recruiters designed
texts distribution transformers, fusion distribution transformers, transformer fault defect, extraction transformer fault, transformers based operation, information extraction transformer, transformer accurate health, condition based maintenance, fusion distribution transformer, established operating transformer
classification method, text mining, methods text mining, multilabel problem transformation, comparison multilabel problem, comparison multilabel, text categorization medical, label classification received, text mining primarily, multi label
assessment severity vulnerability, vulnerabilities software, metrics vulnerability, detected vulnerabilities software, vulnerability, vulnerability metrics quantitative, vulnerability based text, nlp tools proposed, cvss severity metrics, danger detected vulnerabilities
indexing classification multimedia, web searching multimedia, classification multimedia data, database multimedia database, multimedia database multimedia, mining multimedia, based multimedia information, searched retrieved multimedia, multimedia databases world, techniques mining multimedia
revisit online textual, tourism hospitality industry, revisit factors hotel, support vector machines, reviews social media, textual reviews social, injuries text mining, mining approach identify, feature selection methods, customers revisit behaviors
topic management collections, text mining, searching collections research, collection universitas indonesia, abstract text mining, clustering algorithm self, clustering using self, collection management based, organizing map study, collections universitas indonesia
marathi regional language, morphology marathi text, marathi documents, text categorization categorization, grouping lingo algorithms, marathi documents using, automatic text categorization, categorization regional languages, marathi text principle, text categorization chosen
text mining vtm, study selection, primary studies increase, studies manually using, identify aggregate research, visual text mining, systematic literature reviews, aggregate research evidence, literature reviews replication, primary studies aim
analysis failure mode, failure cause classification, reliability information specifically, discover hidden reliability, design failure mode, based reliability, represents failure characteristic, feature represents failure, reliability analysis method, mining based reliability
automatic classification short, news headlines classification, headlines classification, text learning probabilistic, text classification paper, tweets classification, classification short, text learning, short text tweets, unstructured text learning
job advertisement data, hr, tech mining science, employment market sector, significantly human resources, use hr, industry related job, resources hr data, human capital intelligence, tech mining
depressive disorder based, fang yao rules, fang yao means, methods formulae chinese, herbal medicines respectively, depressive disorder traditional, herbal medicines, chinese medicine calculation, formulae chinese, rules major depressive
hospital information electronic, mining discharge summaries, decision tree methods, texts decision making, classifiers, hospital information, written mining epr, ranking key words, focus text mining, diagnosis hospital information
mining nlp enhance, toolkit nltk processed, data public texts, research text mining, nlp crawling dataset, processed text data, archaeology text mining, natural language toolkit, language toolkit nltk, text analysis effectively
scheme extracted text, sensitive text, nlp text mining, extracted text preprocessing, text mining extracts, informative sensitive text, data text data, processing nlp text, text documents, text messages datasets
application chinese herb, therapy food therapy, treatment mammary, chinese herb, food therapy text, therapy tcm external, treatment mammary gland, medicine acupuncture massage, breast cancer complementary, chinese medicine tcm
text mining, classify icd 10, thai english diagnose, text mining model, translating diagnosis medical, similarity word thai, proposed information retrieval, mining model classifying, diagnosis medical records, classifying icd 10
foods application text, customers perceptions study, using text mining, organic foods, customer perceptions realm, food products effectively, help organic food, promote organic, analyzing customers perceptions, strategy promote organic
knowledge sources automation, knowledge acquisition databases, problem distributed knowledge, methods distributed knowledge, knowledge acquisition processes, synchronization knowledge acquisition, integrated expert construction, knowledge bases integrated, expert systems particular, dynamic integrated expert
query oriented text, summarization enables, sentence extraction technique, using sentence extraction, oriented text summarization, extracting informative sentences, improved summaries generated, automatic generated summaries, summarization technique proposed, features extracted sentences
sentiment analysis, public opinion emotion, education policy network, opinion analysis model, online opinion based, public sentiment related, china education policy, sentiment analysis china, educational public opinions, analysis china education
assess essay text, automated assess essay, stemming words, using text mining, stemming process important, word form stemming, similarity algorithms stemming, automated essay assessment, similarity automated essay, process important stemming
activities japanese firms, japanese firms, social innovation considered, firms promoting social, explores japanese firms, concept social innovation, social innovation connecting, innovation activities japanese, challenges social innovation, players social innovation
reviews courses enables, text analytic pipeline, sentiment analysis, especially course reviews, detecting negative reviews, text lemmatization sentiment, text analytics pipeline, proposed text analytic, course reviews research, courses gram analysis
classify texts compared, classification based topic, fuzzy neural, effective text classification, fuzzy neural network, feature extraction, text classification simulation, text classification address, supervised learning method, level fuzzy neural
india opinion political, sentimental analysis social, twitter citizens india, mining web, elections information, predict result election, sentimental analysis, text mining real, perform text mining, social feeds predict
text classification semi, features extracted textual, classify textual, automatically classify, sports blogs proposed, bloggers various sports, classification sports, sports blog data, entries sports blogs, automatic text classification
topic modeling, customer center related, calls received customer, related issues service, approach detecting network, study topic modeling, network service provider, application detecting network, text data analysis, customers notifying calls
networks identifying offenders, social systems surveillance, data mining criminal, analysing disrupting criminal, modal surveillance, mosaic criminal network, criminal network, surveillance decision support, multi modal surveillance, situation assessment analytics
model epidemic risk, text mining, catering companies epidemic, text mining beginning, risk catering industry, based text mining, risk epidemic safe, industries affected epidemic, epidemic prevention control, risk catering
text mining, student interaction virtual, online course mooc, text mining techniques, text mining evaluate, evaluate student interaction, application text mining, different student interaction, online courses high, interaction students environments
acronyms technical texts, automatic acronym, acronyms texts, challenges automatic acronym, disambiguation presented proposed, disambiguation models technical, training acronym disambiguation, acronyms texts building, detection acronyms texts, disambiguation models
customer suggestion online, text mining techniques, suggestion social media, cluster_0 customer feedback, using text mining, suggestion complaints company, som clustering suggestion, customer suggestion insurance, textcrawler implement clustering, text cluster groups
google fit, tracking app google, user feedback mobile, text mining result, user feedbacks health, text mining case, feedbacks health fitness, fitness tracking, google fit application, play text mining
techniques recommend research, text mining, articles based, recommendation text, recommend research, recommend relevant research, documents build classification, articles based users, articles researchers process, text mining clustering
business chart extracted, charts based data, business charts achieving, charts based, cases business charts, keywords business chart, visualizing business, selection business charts, chart used recommendation, charts collected web
peru april using, start quarantine social, covid 19 surveillance, quarantine social distancing, peru april, peru country good, quarantine social, needs improve peru, peruvian citizens, transport important peruvian
implement text clustering, dimensionality reduction novel, feature similarity functions, dimensionality text, feature similarity measures, text data mining, text classification efficiently, low dimensionality text, high dimensionality reduction, text clustering text
vulnerabilities discovery based, vulnerabilities finding vulnerability, multiple vulnerabilities secondly, research parallel vulnerabilities, security vulnerabilities discovery, repair parallel vulnerabilities, processing vulnerability data, parallel vulnerabilities finally, similarity multiple vulnerabilities, vulnerabilities discovery method
forecasting sentiment, media twitter, analysis sentiment, sentiment sense texts, online analysis sentiment, twitter information follows, twitter social, twitter create, analysis sentiment sense, information forecasting
text mining, handling unstructured text, unstructured data analysis, representation unstructured textual, problems document classification, term document matrix, classification based knn, documents feature space, document classification methods, vector space knn
mining psychometric, jobs applying text, using text mining, simplified recruitment model, shortlist given job, recruitment model, candidates jobs applying, mining psychometric aptitude, text mining performed, qualities candidates jobs
text mining, social media sentiment, sentiment analysis vader, text mining technique, text classification process, sentiment analysis sa, classifying people opinions, classified sentiment public, based text classification, sentiment sentiment detected
text mining python, text mining, audit intelligent, auxiliary audit intelligent, fraud effectively bidding, bidding activities efficiently, supervise bidding, audit based text, bidding process, intelligent model bidding
value consumer satisfaction, text mining failure, text mining, factor extraction, mining helpdesk question, consumer satisfaction raise, satisfaction, focuses factor extraction, improve consumer satisfaction, factor extraction method
semantic discovery, news content including, news frames, source online news, data mining semantic, news frames exploring, mining inferring classification, mining semantic discovery, evaluate online news, news sources
novel text classification, text mining, knn classifier naïve, text classification area, mahalanobis distance text, classification based mahalanobis, text mining field, performance knn classifier, knn classifier, introduce mahalanobis distance
complaint handling method, text categorization paper, shows text categorization, quality customer complaint, service quality text, complaint handling management, categorization used evaluate, categorization, customer complaint handling, categorization methodologies used
text mining, methods persian text, combination classification persian, classification persian, idf methods, tf idf methods, mining classify, applications text mining, classify texts subject, words extract feature
pair work study, programming education, learners lower skill, learning behavior confirmed, programming pair work, text mining pair, using text mining, analyzed improved teaching, programming education earlier, behavior analysis using
text corpora created, text analysis hybrid, text mining techniques, using text mining, corpora suitable analysis, corpora digital means, digital texts, processing digital corpora, contemporary text analysis, discourse text
text mining, multiclass svm, classification document vectors, cell line screening, bioinformatics discovery new, cell line identifier, multiclass svm classification, important problem bioinformatics, lines text processing, cellular lines chemical
identification noisy arabic, dataset noisy arabic, liga topic identification, arabic texts actually, undergone arabic dataset, automatic topic, texts using graph, topic identification task, arabic discussion forums, problem automatic topic
wound healing approach, text mining, genes proteins medications, biological entities genes, medications functions wound, capture relationships biological, based evaluation wound, rule based text, functions text leveraging, relationships genes proteins
information text mining, extending categorization process, methodology enhance categorization, categorization process dimensionality, analyzing data text, text mining subfield, classifying data discussed, dimensionality reduction, dimensionality reduction methodology, text mining defined
study approach learning, mining techniques propose, case based, learning text, supports case based, mining paper discuss, framework supports case, text mining paper, approach learning, based learning implements
focus terminology extraction, text mining techniques, research text mining, text mining technologies, arabic properly retrieving, list relevant terms, arabic terminology, coverage terminology extraction, information retrieval, new arabic terminology
literature review using, retrieving technology infrastructure, mile logistics google, topic supply chain, text mining retrieving, provide visualization techinfra, visualization techinfra, using google scholar, techinfra mile logistics, google scholar apis
costly text classifier, need text classification, naïve bayes bahasa, classification service bahasa, text classifier use, using naïve bayes, classification services using, bayes classification simple, reusable text classification, classifier use naïve
need efficient nlp, source clinical text, efficient nlp, messages clinical documents, variety clinical text, text mining tools, aql clinical extractor, nlp extract, clinical documents, clinical concept extractor
multiagent systems research, economic indicators, news twitter using, indicators news, sources rss twitter, data news social, model multi agent, agent systems information, text mining machine, predict commodity
utility pattern, mining comprehensive survey, databases pattern mining, classifying hupm algorithms, patterns databases pattern, utility patterns, high utility pattern, mining product recommendation, mining techniques offered, recently classifying hupm
extractive summarization approach, single document summarization, summarization ggsds huge, summarization ggsds ggsds, required text summarization, summarization common tasks, summaries single documents, unsupervised extractive summarization, summarization ggsds, summarize text automatically
data mining text, classify documents, classification emails using, automatic classification emails, natural language processing, classification emails, text mining includes, mining text mining, process text classification, fundamentals text classification
malware manifestations cyber, various data mining, data mining techniques, data mining, mining cyber frauds, malware based api, text data mining, method detect malware, frauds malware authors, industry worldwide malware
markets text mining, rate model investor, jgb markets text, investor attitudes capable, explaining yield curve, attitude text mining, bond market data, investor attitudes, yield curve factors, japanese government bond
data mining technique, intelligent data mining, wisely mining knowledge, count opinions medication, health social data, mining technique social, mining social media, mining knowledge mining, knowledge social media, intelligent data
text mining, unique pattern searching, text information match, string matching, algorithms text mining, wants text search, occurrence pattern searched, text length pattern, pattern matching algorithms, matching algorithms text
apply syntacticdiff, syntactic differences reference, transformation comparative text, text mining applications, text mining tasks, syntacticdiff quite, syntacticdiff operator based, comparative text, analysis native language, data natural language
annual corporate sustainability, corporate sustainability triple, sustainability reports enterprises, discoursing corporate sustainability, sectors corporate sustainability, context taiwan enterprises, taiwan enterprises corporate, factors taiwan enterprise, sustainability taiwan text, viewpoints corporate sustainability
techniques data mining, text mining survey, mining text, clustering classification today, discovery database kdd, discovery database, database kdd, knowledge discovery, mining methodologies handle, clustering classification
generate concise summary, creating concise summary, networks text summarization, classified extractive summarization, abstractive summarization, summarization technique extricating, summarization using neural, summarization broadly classified, text summarization technique, extractive summarization abstractive
allocation text mining, text mining, plsi latent dirichlet, latent semantic indexing, method text classification, text classification based, topic models latent, topic sets support, classification lda svm, dirichlet allocation lda
predicting stock price, lists sentiment analysis, article sentiment stock, sentiment stock prices, predicting stock, text mining applied, decisions text mining, impact financial news, previous text mining, sentiment analysis support
web synaptic web, web mining novel, realization web mining, mining semantic synaptic, semantic web synaptic, mining interlinks web, web mining application, semantic synaptic web, mining semantic, web mining hypothesize
text mining, paper arabic poetry, feature extraction text, proposed feature extraction, poems classification experimented, arabic poetry unique, text classification tasks, areas text classification, arabic poetry meter, arabic poems types
rail transit, cause infrastructure fault, mining based identification, urban rail transit, fault analysis results, naive bayes algorithm, analysis text mining, text data, proposed fault analysis, rail transit infrastructure
mining online movie, social media data, preprocessing text mining, workflow approach mining, sentiment, media analyzing social, approach mining online, reviews results workflow, sentiment analysis techniques, conversations social media
clustering financial, proposed similarity measure, cftdism clustering, measure financial text, similarity text, treats similarity text, defines text clustering, financial text documents, suitable similarity measure, cftdism clustering financial
accelerator text, reconfigurable hardware accelerator, large text data, core accelerator, processing unit gpu, performance reduce power, adaptive hardware, bandwidth processor memory, designed text analytics, gpu various text
ontology discover dependencies, interrelated books targeted, classes books ontology, maintain books various, represent related books, libraries maintain books, mining dependency structure, text mining dependency, discover dependencies book, ontology based text
language pedagogical agent, mining guide pedagogical, texts undergraduate students, synchronous online discussions, uses text mining, participates chat discussion, use text mining, chat discussion, discussion relevance relation, text supports pedagogical
sentiment analysis perform, mining online reviews, classifying sentiment sentence, opinion mining online, aspect based sentiment, based sentiment analysis, sentiment words aspects, hotel user opinion, user reviews hotel, hotel user reviews
word embedding, protein interaction classification, biomedical text, information word embedding, literature text classification, rcnn based protein, classifying protein protein, gram semantic, text classification tc, text classifiers high
contains pattern taxonomy, knowledge text documents, taxonomy model levenshtein, pattern taxonomy, text mining measured, updating obtained patterns, techniques text mining, levenshtein edit distance, accurate knowledge text, technique pattern discovery
add curriculum vitae, curriculum vitae concytec, text mining, text mining curriculum, dina decade peruvian, researchers dina professionals, understand peruvian context, directory researchers dina, curriculum, peruvian context
efficiency web texts, text mining use, web text, problem text mining, extraction bean optimization, novel feature extraction, feature extraction algorithm, bean optimization algorithm, web text feature, extraction bean
bug report, text mining, text mining techniques, methodology bug report, source code database, code database, query source code, localization software bug, text mining tm, bug localization sbl
mining classification methods, classification mining quality, pattern document weight, popular text mining, terms data patterns, patterns text documents, classify categories updates, features text documents, features terms classify, weight discovery text
text mining, food using text, food analysis user, consumer perceptions organic, perceptions organic, growing popularity organic, food sentiment variations, favorable views organic, text mining realm, natural food
nlp deep learning, combines information extraction, digital textual collections, text mining analyses, text mining tool, new knowledge graph, extraction knowledge graphs, nlp deep, textual collections, deep learning nlp
leveraging text, nlp machine learning, make use nlp, text data web, text analytics subfield, analytics retrieval, big data analytics, web based workflow, analytics retrieval flow, use nlp machine
supervised learning algorithm, representation categorization indian, categorization indian, indian language text, decision tree text, mining techniques text, techniques text mining, indian language, categorization using supervised, text documents based
text classification method, classify comments based, twitter text classification, customers social media, furthermore applying sentiment, text mining useful, customers comments, opinion twitter, services text mining, customers comments taken
supervision classify instagram, contents instagram, trends instagram, instagram data strong, mining fashion attributes, extracting fashion attributes, instagram text, classify instagram posts, attributes instagram text, detecting trends instagram
emotion detection using, sentiment analysis, sentiments context disambiguation, processing sentiment analysis, emotions tagged precisely, detection extension sentiment, emotions text paper, multiple emotion detection, emotions tagged, emotion detection primarily
