English Grammar Books, English, English words, Century English grammar, Gutenberg Project, Grammar Books, English learning, Century English, named English, books named, Grammar, books named English
Records, Text Mining, Electronic Health, Phenotyping Definitions, Health Records, data from Electronic, Electronic Health Records, population data, Mining, utilize population data, Electronic, Literature-Based Phenotyping Definitions
Decision Tree, Spanish Text Classification, Nowadays, digital libraries, Neural Networks, huge amounts, Text Classification Nowadays, Exploring Deep, Spanish Text, Exploring Deep Neural, Tree for Spanish, Term Frequency Inverse
Text Mining, Youth Training Programs, Reports to Track, rapidly in real-world, increasing rapidly, Track and Monitor, Rural Youth Training, Activity Reports, Monitor Rural, Mining of Activity, Monitor Rural Youth, real-world scenarios
Social Media Websites, online business operators, Social, variables with open-source, Social Media, Text Mining Techniques, Contemporary Emerging Trends, internet users, find the authenticity, aim to convey, Emerging Trends, extract the desirable
Industry Momentum, Industry, Strategy Based, positive return, past winner, Momentum Strategy Based, Japanese Stock Market, Japanese Stock, phenomenon that buying, generates a positive, Annual Securities Reports, Industry Momentum Strategy
Distinguishing scientific, mining Summary form, literature mining Summary, text mining, Summary, Distinguishing scientific abbreviations, Distinguishing, bio-medical literature mining, gene, scientific, abbreviations, Summary form
computational intelligence research, applications Text Mining, robust text mining, mining tool, text mining, intelligence research areas, text, mining applications Text, mining, research areas, text mining tool, text mining applications
existing assessment methods, scientificity and efficiency, network based, composite framework Spring, high cost, research project assessment, facilitates the communication, assessment, complex process, scientific research project, significant effect, project assessment system
Clinical Text, driving innovation, Text Mining, Clinical Text Mining, recent years, Natural Language, Natural Language Processing, Enhanced Clinical Text, Artificial Intelligence, NLP, powerful force, mention the precision
Comparative Analysis, Text Mining, Social media, Social, Fast Food Restaurants, Text Mining Text, Mining, Top, feelings of users, Analysis of Top, Fast Food, Mining Text mining
Text clustering, clustering, clusters This study, study is concerned, Text, c-means, fuzzy, evaluation of clusters, kernel, clusters, fuzzy neighborhood, hard c-means
Text Mining, Thai legal, Legal Documents, presents a computational, Approach This paper, network analytic approach, Topological Analyses, analytic approach, Legal, Approach, paper presents, Text Mining Approach
Text Mining, extremely large amount, extremely large, text mining techniques, Text, lot of attention, Mining, text information efficiently, analyze a massive, Lexical Analysis, massive and extremely, Approach To analyze
Hadoop environment, understand customers' voice, leading energy player, energy player, customers' voice, actively works, EDF, Électricité, leading energy, Électricité de France, massive text data, France
Text Mining, Closed Sequential Patterns, Text, Matrix for Cleaning, Patterns, Mining, Cleaning Closed Sequential, overwhelming increase, impossible for people, Patterns Co-occurrence Matrix, Text mining algorithms, Cleaning Closed
Verification of Scientific, obtain the approval, Ministry of Health, purchased the OTC, extracting the quantitative, Effectiveness of Drugs, OTC drug ingredients, efficacy OTC drug, OTC drug, drug, Scientific Effectiveness, OTC
great significance, highly efficient, train safe, train control system, train, highly efficient operation, train control, safe and highly, high-speed train control, high-speed train, fault recording files, fault
modern business analyzing, analysis of large, business analyzing social, traffic tracking Big, tracking Big Data, important technology trends, text mining methods, order to improve, customer experience, Big Data, dramatic change, improve the customer
WAT data, people usually focus, text mining, tool sensors, handle unstructured data, mining to handle, inline metrology data, well-designed databases, Yan-Hsiu Liu, data, semiconductor manufacturing, metrology data
larger the frequency, Mining Pure Patterns, Texts, unusual patterns, investigate finding unusual, pattern, Pure Patterns, string, shorter the length, finding unusual, finding unusual patterns, Mining Pure
Chinese medicine external, traditional Chinese, public health problem, health problem due, major public health, Chinese medicine, TCM external, major public, hypertension treatment Hypertension, hypertension treatment, traditional Chinese medicine, TCM external therapy
Text Mining Based, Text Mining, Internet Text Data, Media and Academic, Field, Social Media, Academic, Media, Academic Field, Social, Artificial Intelligence, Generative
Text Mining, social media platforms, Bad Words, Racist, Social Media, Detecting Racist, Racist and Bad, media platforms, grown rapidly, Media, Social, Bad
Text Mining, large amount, domain large amount, domain large, information, Semantic text mining, digital text form, unstructured text, Mining, text, Information retrieval, biomedical domain large
spatial information areas, Text Mining, environmental spatial, Research Using Text, Text Mining Techniques, quantitatively analyze, aimed to quantitatively, Environmental Research, environmental spatial information, study aimed, utilizes environmental spatial, Measuring Contribution
Text Mining, Career, Method Recently, Text, Combining Text, Theory Method Recently, Response Theory Method, Item Response Theory, Combining Text Mining, Mining and Item, Career Adaptability, Item Response
Platform Named, Text Mining, plays a crucial, perception plays, Visual Analysis, Tourist Destination Perception, Text Mining Platform, Perception Based, crucial role, Destination Perception Based, Tourist perception plays, Mining Platform Named
breast cancer, checking the window, challenge for researchers, biomedical literatures, biomedical relation extraction, relation extraction discovery, number increase, literature represents, researchers in recent, relation extraction, related genes, recent years
Text Mining Approaches, Arabic Sentiment Dataset, digital transformation, life started depending, life started, Arabic Datasets, digital, Arabic, Approaches, data, digital world, Datasets
Text Mining, Guidance, Ministry of Education, Sidou Teiyou, Compendium Student Guidance, Compendium, activate student guidance, Science and Technology, Seito Sidou Teiyou, Seito Sidou, Mining The Ministry, Student Guidance
technology sector, technologies and latest, emerging technologies, entities from prescribed, helping the business, latest trends, healthcare sector, hit the world, shows the change, private organizations, medical records, information technology sector
analyzing and understanding, analysis tasks, Visual text analytics, Survey Visual text, Bridging Text Visualization, commercial world, mining techniques, Visualization, Mining, recently emerged, Task-Driven Survey Visual, facilitate the exploration
Text Mining, challenging task, Analysis, text mining techniques, Sentiment Analysis Sentiment, analysis in text, Text, Sentiment, Conventional text mining, Sentiment Analysis, Analysis Sentiment analysis, Analysis Sentiment
part of evaluation, previous research, designed and developed, evaluation for healthcare, previous research results, view of previous, Text mining analysis, paper presents, healthcare support system, developed from view, e-health information system, Text mining
text format, Text Mining, constructing a psychological, natural language, task of constructing, natural language processing, Psychological Portrait, Mining, Technology, Technology The technology, Text Mining Technology, technology of natural
media and marketing, reports, topic with application, ranging from security, research topic, Text, security to media, Turkish radiology reports, application areas ranging, popular research topic, radiology reports, Text mining
online users' tend, networking sites, number of users, social networking sites, connected online, opinion, rapid rise, mining, opinion mining, Sentiment Analysis, online, text classification
Machine Learning, Machine Learning Algorithm, Text Mining, Machine, smartphones has caused, caused production, technology and smartphones, Mining, Learning, data, Learning Algorithm, Mining in Healthcare
Method, incredible increase, text feature extraction, Clustering Techniques, Text, proposed method, tuning the parameters, effective and characterized, Vectorization Method Based, develop efficient, Text Vectorization Method, develop efficient methods
Text Mining, lower resource, field with special, systematic Literature Review, review related, Clustering and Sentiment, Albanian language, literature review related, lower resource languages, provide a systematic, Literature Review, Sentiment analysis
NASA Jet, unstructured systems development, Jet Propulsion Laboratory, transforming the output, outgrown our capability, poorly structured, preprocessing the data, artifacts at NASA, extract useful information, capability to effectively, effectively manually process, NASA Jet Propulsion
crawler Internet, world largest information, focused crawler Internet, text mining, mining algorithm based, update web pages, text mining algorithm, feasibility and higher, web pages, text mining processing, improves the retrieval, largest information repository
pattern mining, topic in data, data mining area, find the valid, pattern, overcome the drawback, aims to overcome, fundamental topic, mining, drawback to find, pie, american pie
past experience, comprehensive study, text mining, analysis of preprocessing, linguistics and specifically, machine learning, learning, data, machine, machine learning concepts, learning concepts, preprocessing of tasks
Singapore, concerns in Singapore, challenges in Singapore, text mining, reliance on foreign, low productivity growth, tend to adopt, major concerns, productivity, productivity issues, growth and reliance, foreign labour
English language teaching, reform ELT, Big Data Text, university English language, Data Text Mining, ensure the consistency, English Composition Assisted, Assisted Writing Training, composition writing training, computer multimedia technology, Composition Assisted Writing, English Composition
Literature 2002-2014 Text, Text Mining, masses of data, Published Literature 2002-2014, analyzes large masses, Text, Arabic Text Mining, analyze English text, extract relations, Published Literature, Arabic Text, 2002-2014 Text Mining
Ligusticum wallichii, Chinese, obtained from published, traditional Chinese, Searching association rules, information on Ligusticum, Chinese medicine, text mining technique, TCM, Chinese BioMedical literature, traditional Chinese medicine, Ligusticum
Text Mining, Ukrainian News Articles, hot topic, Ukrainian, Ecology Ecology, Scraping, hot topic nowadays, Mining of Ukrainian, Ecology, existence on Earth, Web Scraping, Scraping and Text
Modeling Based, understanding of human, Topic Modeling, Vietnamese Topic, Based on Core, Vietnamese Topic Modeling, Terms and Applying, Topic Modeling Based, Applying in Text, Core Terms, potential to make, Building Vietnamese Topic
acupoint, Traditional Chinese medicine, text mining study, acupoint application therapy, heart disease, Chinese medicine, external therapies, coronary heart disease, Chinese herbal medicines, application therapy, Traditional Chinese, coronary heart
digital landscape, organizing written documents, organizing written, controlling and organizing, Automated Texts, increasing demand, TFIDF weighting method, Automated Texts Classification, written documents, current digital, current digital landscape, demonstrate the advantages
extract the topic, rural tourist destinations, text mining method, combine the relationship, ecological civilization construction, behavior transformation Logic, perform topological clustering, Network Text Mining, Computer Network Text, rural tourist spots, Text Mining Technology, tourist network texts
texts, unstructured texts, encoded in unstructured, formalized knowledge, Web Rule Language, natural language processing, Automatic rules extraction, knowledge, Semantic Web Rule, linked to formalized, capture the deductive, rules
Text Mining, High School, High School Scientific, Education Center, Taiwan Primary, National Taiwan, Text Mining Technique, Science Education Center, National Taiwan Science, Mining Technique Scientific, Primary and High, Taiwan Science Education
Text clustering, multiset theoretical model, hierarchical clustering, model, text mining, multiset model, Text, words with text, agglomerative hierarchical clustering, bag of words, model of bag, text mining applications
trend in computers, Translation of AL-Quran, translation, Text, based on complexity, Indonesian translation, learning Islamic, systematic review Nowadays, learning Islamic knowledge, review Nowadays, Islamic knowledge, increasing trend
Railway Signal, records important information, Signal Equipment, signal equipment failure, failure records important, Railway Signal Equipment, failure records, Named Entity Recognition, failure phenomenon, Named Entity, equipment failure records, convert the analysis
Text Mining, forcing to change, change daily activities, actual pandemic, daily activities, fast spreading, change daily, pandemic forcing, Population from April, Parisian Population, Text Mining Approach, actual pandemic forcing
sites Structure Mining, minitrack encompasses papers, social network analysis, Social Media, Media sites, structures underlying Social, Social Media Minitrack, Social Media sites, Media Minitrack, Content Mining, Media sites Structure, Analyzing Social Media
Represented by Graph, Text Mining, Graph This paper, analyzing product reviews, Analysis Product, Random Forest, Sentiment Analysis Product, Word Relationship, product reviews, Random Forest algorithm, Word Relationship Represented, Sentiment Analysis
Non-alcoholic fatty liver, prevalence diseases, fatty liver disease, fatty liver, traditional Chinese, Chinese medicine pathogenesis, liver disease Non-alcoholic, understand traditional Chinese, Chinese medicine, liver disease, traditional Chinese medicine, disease Non-alcoholic fatty
Experimental Metadata Reporting, Reporting Checklist Questions, Parasitology Literature Complete, showing the possibility, Literature Complete reporting, evaluate the quality, Complete reporting, Checklist Questions Automatically, Metadata Reporting Checklist, search the relevant, Literature Complete, Checklist Questions
Text Mining, Topic Modeling, Corpora Through Hybrid, Text data plays, Documents, Text, Topic Modeling Technique, Biomedical Text Corpora, Text Corpora, text documents, biomedical text documents, Biomedical Text
affective terms, text mining, mining This paper, terms, articles, aims to analyze, analyze affective expressions, paper aims, popular science, expressions in articles, science by text, Immunity
time of huge, feature selection, textual information, feature, plethora of textual, data, knowledge era, unstructured data collected, collected and stored, feature selection approach, growing rapidly, improvised feature based
technology for all-purpose, Text Mining, Detection Emotion, Online, Chat, Pandemic era, Chat Room, Learning, Online Learning, result of testing, Artificial Intelligence, Mining in Chat
Brain Death, Text Mining, Text, Brain Death Patterns, Natural Language Processing, Detecting Brain Death, Detecting, Brain, analysis, Brain Computed Tomography, area of medicine, Automatically Detecting Brain
acupoints of ischemie, acupuncture treatment, disease, text mining, ischemie, treatment, treatment of ischemie, laws of acupoints, cerebrovascular, Chinese Biomedicai Literature, basic laws, ischemie cerebrovascular disease
originating high superiority, application Text mining, high superiority information, text mining, mining application Text, preprocessing, originating high, text, text mining application, mining, progression of originating, ERT
Text Mining, disseminating information online, leading, Social Media, Text, Text Mining Depression, Natural Language Processing, Mining, Media, suicide, Social, Depression
influence the exactness, Text Mining, online reviews, Real Time Emotion, Emotion Support System, Time Emotion Support, Real Time, essential step, Support System, recover the classification, opinions from online, reduce the noise
human activities, Power distribution, Neural Network, Cable Inspection Based, Recurrent Convolutional Neural, Network Power distribution, tree barriers, Power distribution equipment, Neural Network Power, inspection texts based, Convolutional Neural Network, Word Embedding
Deep Neural, information, data mining algorithms, Deep, Mining Algorithm based, Data Mining, Application of Data, human society, Data, society is inseparable, ability to extract, deep neural networks
medication of Gastro-esophageal, clinical medication, explore the regularity, reflux disease, regularity of clinical, text mining approach, function of liver, Chinese herbal rules, cold and heat, Gastro-esophageal reflux disease, Chinese herbs, Gastro-esophageal
Normalization for Indonesian, Abbreviated, text mining, Indonesian Abbreviated, words, Abbreviated words, Text, research, Crowdsourcing, Text Normalization, Crowdsourcing Method, Indonesian
Text Mining, Partition Spectral Clustering, Operation Ticket, Clustering Algorithm, Ticket System Based, Text Mining Method, Graph Partition, Spectral Clustering, Dispatching Operation Ticket, Operation Ticket System, Graph Partition Spectral, Spectral Clustering Algorithm
defect, Equipment Based, Based on BiLSTM-Attention, defect texts, Equipment, Secondary, classification of secondary, large number, Power Secondary, Power Secondary Equipment, historical defect texts, Secondary Equipment Based
Text Mining, quality performance, text mining approaches, Service Quality, Mining to Improve, Quality Effort, aimed to investigate, Service Quality Effort, Indonesia Beauty E-Commerce, Beauty E-Commerce, Improve Service, Improve Service Quality
Text Mining, cluster validity evaluation, Mining The purpose, approach to Text, Text, present the approach, Mining, cluster validity, text documents clustering, special software, Technique of cluster, Mining using special
mapping user queries, Text Mining, exploiting information captured, Mapping OCL, mapping user, information captured, Mapping OCL Navigation, OCL Navigation Expressions, user queries, Mapping, Text Mining Approach, problem of exploiting
existence of technological, Text Mining, technological sophistication, Case, Case of Tokopedia, decrease in monthly, Tokopedia, Indonesian Marketplace Trust, Marketplace Trust Analysis, social media, Tokopedia experienced, Trust
Text Mining Based, Case Study, Convolutional Neural, Prospecting Information, Neural Networks, China With geological, Prospecting Information Extraction, data, text data, Information Extraction, meet the demands, Convolutional Neural Networks
Text Mining, research work intends, Mining This research, Social Media, text mining process, Mining, detect the performance, work intends, Cyberbullying media, bullying contents, research work, contents in social
global energy demand, wind turbine accidents, share of renewable, areas and enhance, wind turbine, systems and processes, demand is increasing, Text mining analysis, turbine, wind, supply is growing, specifically wind energy
track and manage, e-commerce model, text mining, e-commerce model frequently, model frequently request, Customer Relationship Management, neuro linguistic programming, linguistic programming approach, survey or give, programming approach Companies, approach Companies, analysis using text
concerned with developing, Educational data mining, Educational data, Educational, emerging trend, Survey and Future, Mining, Future Vision, Data Mining, Educational Field Educational, analyzing the huge, Data
Text Mining Based, Financial Risk Early, Text Mining, important role, Risk Early Warning, Text, Based Financial Risk, increasing risks faced, Intelligent Text Mining, traditional text mining, firms and markets, Mining Based Financial
providing services, mineral extracting companies, Latent Dirichlet Allocation, analytics This paper, paper studies, trade association providing, logistic suppliers, association providing services, composed of metallic, show the presence, non-metallic mineral extracting, public agencies
Descriptions High costs, Surgical Term Clustering, health care, Surgical Term, Term Clustering, care informatics, delivery is increasingly, health care informatics, High costs, Automated Surgical Term, revenues and play, Surgery Descriptions High
Document, Improved clustering, text document, clustering, text mining, information, Side Information, text, Side, side information include, Improved clustering technique, text mining applications
knowledge discovery, text mining, Multiphase text, financial market predictions, text mining predictor, understand the reason, textual data mining, data mining techniques, data, data mining, Multiphase text mining, mining
Text Mining, Mexico, text mining approach, rapid spread, Twitter, epidemiological outbreak, Twitter The epidemiological, China, gave rise, Mexico City, Mining and Twitter, digital age
EMR documents, illustrate the utilization, stroke electronic medical, text mining, mining of EMR, ontology-based approach, electronic medical records, text, EMR information retrieval, medical records, EMR, approach
growing interest, Text Mining, Teams' Behavioral Processes, Text, Mining, Visualization Techniques, data to understand, mining software repository, Teams' Behavioral, software repository data, repository data, aspects of team
display knowledge, cognitive visualisation, information, mankind, beginning of mankind, internal research reports, knowledge, today highly technological, easily understood, competitor web sites, visual text analytics, highly technological world
hard to manage, Chinese, Chinese herbal, Exploring basic treatment, liver cancer, high incidence, Chinese herbal medicine, herbal medicine, Chinese medicine, Exploring basic, common malignancy, traditional Chinese medicine
study the occurrence, due to lack, successful machine, William Shakespeare, Classification, solution to problems, approach In recent, successful machine learning, machine learning, machine learning applications, morphophonemic approach, recent years
Time-series Modelling, quantitative time-series models, Modelling, text data representation, Time-series, paper proposes, Text Data, proposes an algorithm, Modelling The paper, time-series econometric modeling, Data, Text Data Pre-Processing
dramatically grown, Text Classifier, Classifier, Text, amount of textual, Arabic, Arabic corpus, grown and increased, Arabic Text Classifier, era of technology, Arabic Text, Parallel Arabic Text
long histroy, acupuncture treatment coronary, Traditional Chinese Medicine, text mining, heart disease, Chinese Medicine, coronary heart disease, treatment coronary heart, heart disease treatment, belongs to Xiong, Traditional Chinese, coronary heart
Dimension Reduction Techniques, Text Document, Text Document Clustering, mining defines generally, Dimension Reduction, enhances the performance, Text, Text mining defines, extracting interesting features, interesting features, unstructured text documents, Text mining
e-commerce Web, analyze sentiment, analyze sentiment opinions, aimed to analyze, Opinion Mining, sentiment opinions, Data Using Sentiment, Mining on E-Commerce, Sentiment, Web, Sentiment Analysis, study aimed
text mining Future-oriented, technology roadmap based, term derived, text mining, Future-oriented technology analysis, roadmap based, mining Future-oriented technology, technology-oriented forecasting methods, based on text, technology analysis, researchers and practitioners, collective description
Text Mining, Named, growing quickly, text mining techniques, neural biomedical named, BERN, Entity, text mining tools, accurate text mining, Named Entity Recognition, Named Entity, Multi-Type Normalization Tool
Text Mining, common learning, levels and disciplines, Natural Language Tool, essay writing activities, Language Tool Kit, Mining and NLTK, Automated Essay Scoring, based on Text, Essay Scoring, educational levels, common learning activities
text mining, Text Preprocessing, Text, cut down primarily, text feature, stop-word list based, text documents, classical stop-word list, preprocessing of text, Chinese-English stop-word list, Stop-word List, text feature space
active surveillance systems, Social media, trends in order, gathering and analyzing, views and experiences, economic and health, surveillance systems capable, anti-counterfeiting fight, health consequences, Social media analysis, health consequences necessitate, growing incidents
Text Mining, important element, Medical Record, electronic record, Electronic Medical Record, Support Vector, Medical, Vector Machine Electronic, Vector Machine, Support Vector Machine, Machine Electronic Medical, EMR
activity on social, Text Mining, text mining technology, utilizing text mining, Speech, Hate, increasing activity, Hate Speech, Hate Speech Detection, social media, Systematic Literature Review, Literature Review
Turkish, information retrieval, Examining the impact, clustering, important step, text mining, clustering Turkish texts, Turkish texts, Preprocessing, Turkish texts Preprocessing, stemming, step in information
predicting the polarity, involves the application, student feedback data, paper explores opinion, Opinion mining, process of implementation, Middle East College, supervised learning, explores opinion mining, supervised learning algorithms, capable of predicting, combination of machine
Text Mining, Harvard University emphasized, Harvard University, driving in educational, global caring characters, students global caring, Qualitative Text Mining, Student Service Learning, education in order, text mining technology, service learning activities, Service Learning
Relation Extraction, Heterogeneous Knowledge, Heterogeneous Knowledge Automatic, Automatic extraction, Knowledge Automatic extraction, Automated Approach, Incorporating Heterogeneous Knowledge, support precision cancer, rapidly provide vital, Mutation-Cancer Relation Extraction, cancer entities occurring, precision cancer medicine
Text Mining, Cancer Diagnostics, process of early, text mining models, supporting the process, Mining, accurate cancer diagnosis, existing text mining, recent years, Cancer, Text Mining Algorithms, developed for supporting
based safety risk, steel plant Occupational, mining based safety, risk assessment, safety risk, safety risk assessment, occupational, Bayesian Network, Text mining based, plant Occupational accidents, steel plant, Text mining
rapid growth, trust, amount of data, techniques in apache, social network platforms, utilizing data text, data transfer, users utilizing data, Enhancing trust accuracy, online social network, transfer are increasing, network users utilizing
evaluating the feasibility, English, document, higher the score, Documents Profiling Based, Accreditation Documents Profiling, Accreditation, mapping the scoring, Text mining Algorithm, accreditation document, English Terms, higher the Nasional
Classification Scheme Social, Social media, Scheme Social media, important to industries, Scheme Social, networks and content, Distance based Classification, based Classification Scheme, social networks, Social media platform, Enhanced Framework, content communities
Semantic Framework, Technology Defect factors, Defect, Framework Text Mining, depth by processing, Mining Technology Defect, semantic framework technology, Based on Semantic, analyzed in depth, Text Mining Technology, relevant rules, processing defect records
Text Analytics, Scoring and Hierarchical, Text, Geo-Enabled Text Analytics, Science research studies, Data Science research, research studies, Sentiment Scoring, Data Science, recent diverge, studies towards Geoinformatics, Data
Text Mining, fault diagnostic information, diagnostic model, hierarchical system-level fault, Ontology-Based Text Mining, system-level fault diagnostic, systematic diagnostic model, diagnostic information consisting, Text Mining Method, hundreds of thousands, Text Fault dependency, Develop D-Matrix
Train Service Excellence, Text Mining, Kano Model, Service, Excellence Customer satisfaction, Kansei Engineering, Service Excellence Customer, Train, Railqual, Kansei, train services, Excellence
Tourist Places, Internet, Recommendation System, text mining, Natural Language Processing, Speciality By tremendous, tremendous extension, important forms, System for Tourist, tourism, tourism Big Data, extension of Internet
online text, Text Mining, doubles and triples, text accessible, Independent knowledge extraction, extracting meaningful numeric, text analysis review, humorous text analysis, meaningful numeric indices, text, text analysis tool, online text analysis
Transformation and Development, Reduction Policy based, Xuzhou Double, Technology This paper, Xuzhou City, Double Reduction, Training Institutions, Double Reduction Policy, Education and Training, Xuzhou Double Reduction, Data Mining Technology, mine network data
Academic Subjects, educational data analysis, calls for objective, universities calls, approaches to large, reliable data, inspirational to introduce, Academic Subjects Decision, Decision making, Subjects Decision making, Bibliographic Data, Categorizing Bibliographic Data
Text Mining, large amount, language, Text, Urdu Miner, generated every day, Urdu, Urdu Text Mining, Miner, Pakistan national language, challenge and opportunity, Urdu language
Mining for Exploring, Exploring UX Issues, aloud text data, electric vehicle, mining qualitive, vehicle, Aloud, Exploring, study aims, Aloud Data, Sound, Qualitative Think Aloud
DNA, Text Mining, mining technology including, molecular information linked, Cell-line, Virus, static and dynamic, text mining technology, Cell-type, biomedical text mining, Biomedical Literature, RNA
Text Mining Based, Text Mining, Internet, diversified and developed, Internet users, increasing popularity, Platform Text Mining, K-means Algorithm, Public Emergency, developed rapidly, recent years, Cross Platform Text
Text Mining, Reviewer Assignment, Reviewer, folding of weighted, scientific papers, publishing process, Reviewer Assignment Decision, Assignment Decision Support, Academic Journal based, scientific publishing process, papers, Decision Support
Hijab Classification, process of expressing, data analysis work, output data analysis, type of polarization, sense of individual, recent times, important issues, realm of language, Classification and sentiment, emotion mining techniques, expressing a sense
social networking websites, social networking, social network analysis, analysis This paper, design a system, unstructured data inside, Ontology-based text-mining model, form the base, network analysis, analyzes the unstructured, aims to design, paper aims
possibility to make, Searching research papers, text mining, text mining techniques, optimize and precision, mining The time, engine to optimize, time spent, spent by users, classifying the information, generates the possibility, research papers
administrations frequently release, frequently release, enforce specific rules, Policy, Text, economic stimulus plans, Recommendation, stimulus plans, needed to recommended, policy text, Policy Recommendation, specific rules
automatically extracting association, Association Rules Extraction, Text Mining, paper describes text, Extraction This paper, Text Mining Technique, Association Rules, Rules Extraction, extracting association rules, describes text mining, Knowledge Discovery, ignores the order
application of text, project concerned, text mining, presents the findings, concerned with extracting, Natural Language Processing, Software Engineering field, Language Processing techniques, Current research, research project, research project concerned, Current research themes
Text Mining, large amount, Power Plant Fault, Traditional entity extraction, Fault, Text Mining based, Entity, Mining based Entity, fault diagnosis, Entity Extraction, supporting fault diagnosis, entity extraction methods
ideas and thinking, Taking TripAdvisor, post their ideas, Chinese Sentiment Mining, people are accustomed, adoption of social, Sentiment Mining System, Rule-Based Chinese Sentiment, social networks, Rule-Based Chinese, wide adoption, accustomed to post
Chinese, Chinese medicine explains, arthritis, traditional Chinese, pattern in rheumatoid, rheumatoid, pattern, Chinese medicine, rheumatoid arthritis, deficiency pattern, traditional Chinese medicine, deficiency
Network Thai Text, Thai text data, Incorporating Social Network, usage in Thailand, Thai Text Mining, Lifestyle Segmentation Analysis, mobile Internet usage, Social Network Thai, Thai Text, Segmentation Analysis Due, Analysis Due, utilizing social network
tourism competitiveness report, Text Mining, Global tourism competitiveness, Service Quality, word of mouth, service quality perception, Service Quality Attributes, Global, Global tourism, Mining The Global, Investigation on Service, Indian Hotels
basic step, regulations, Medical Device Guidelines, facilitate the regularity, Medical, Guidelines to Explore, Device Guidelines, step to facilitate, Medical Device, essential element, Mining Medical Device, Explore Classification
Text Documents Nowadays, long studied, Spanish and English, Large Text Documents, Pre-Processing Techniques, Techniques in Spanish, made scientist explore, Text Documents, present a work, field in science, long studied field, English Text Classification
system Urban planners, enhance citizens', information system, enhance citizens' participation, proposals, aimed to perform, urban planning processes, complaints, striving to enhance, Urban, geographic information system, complaints and proposals
Intertextual Artistic Conception, Intertextual Artistic, Ancient Poetry, Environmental Perception, implement the intertextual, Ancient Poetry Literature, analyze the emotional, Artistic Conception, Text Mining Algorithm, Poetry Literature, classical poetry, intertextual interpretation
text mining cross, text mining, approach Text mining, Text mining practitioner, knowledge-intensive task, approach Text, mining practitioner finds, text, cross correlation approach, mining, correlation approach Text, mining cross correlation
events taking, realized vulnerability management, taking place, place in recent, security events taking, brings critical effects, security events, systems and services, scientists have realized, Similar vulnerability query, recent years, events taking place
executives to make, monitoring of production, Systems Management control, activities in intelligent, Management control, evaluates the feasibility, subway mines, production activities, control and monitoring, online to executives, IoT Systems Management, environments in subway
clustering, VSM model, traditional text, VSM, traditional, text clustering, text clustering methods, Text representation, text, traditional text clustering, methods is small, traditional VSM model
event dating back, Technologies domain, Systems and Technologies, experiences and innovations, Technologies, annual event dating, scientific annual event, Systems, Iberian Conference, Information, Information Systems, discuss knowledge
translation and word-sense, objective type questions, traditional Online Examination, examination system checks, evaluating descriptive answers, short text matching, descriptive answers, System, Online Examination System, traditional Online, Examination, objective type
improve the performance, Developing Information Extraction, Information, Extraction Systems Information, discovery in databases, Information Extraction, form new facts, Extraction, Extended Methodology, Mining-Supported Information Extraction, Developing Information, Text Mining-Supported Information
innovation, Challenges organizations strive, improve their efficiency, text mining, Idea Mining, meet customer, economically competitive, Mining, text, data, organizations strive, innovation ideas
Text Mining, Crowdsourcing Contests, crowdsourcing websites, Submissions to Crowdsourcing, increasing rapidly, survey deals, crowdsourcing contests semi-automatically, Crowdsourcing, problem of evaluating, Text Mining Approach, Submissions, volume and complexity
SVM which classify, Document Information Earlier, assess the worth, Information Earlier, Information Earlier techniques, Accessing Accurate, text mining included, Earlier techniques, Accessing Accurate Documents, Accurate Documents, Naïve Bayes, mining relevant information
Big Data Processing, Digital libraries, Cloud Computing, conference proceedings repositories, Text Mining Techniques, conference proceedings, Data Processing Digital, Techniques to Capture, proceedings repositories, Big Data, Processing Digital libraries, Capture Facts
Internet technology, development of Internet, Web Text, physical and mental, departments to formulate, Analysis Based, Sentiment Analysis Based, policies to improve, life and physical, Web Text Mining, Based on Web, attention to content
enhancing computation, feature extraction, Based, Selection, representation and enhancing, dimension reduction, Feature, Feature Selection Based, learning algorithm, simplifying document representation, computation of learning, Selection Based
popular data mining, reduce the dimensionality, Text Mining, complexity and running, decrease the complexity, data mining topic, Text Mining Text, perform related operations, Mining Text mining, increase the accuracy, users to extract, Swarm Optimization Based
Case Study, smartphone application, Case, Service, Topic Modeling Purpose, Ride-Hailing Service Provider, Mining Customer Opinion, center of attention, Purpose, service providers, transportation solution, form of smartphone
Text Mining, bug prediction models, bug reports inevitably, text mining techniques, bug reports, confirm the findings, Misclassification of bug, Combining Text Mining, Bug Report Classification, demonstrate the benefits, reports inevitably sacrifices, Report Classification Misclassification
Trends in Data, Text Mining, detailed analysis, text mining approach, publications related, research publications related, Data Science Articles, latest research publications, Data Science, latest research papers, presents a detailed, Identifying Trends
Text Mining, development in network, rapid development, Social Media Analysis, exchange and sharing, text mining techniques, Social Media, Characters Based, network technology, Internet have led, increased reliance, sharing of online
PDM Text, documents, Text, interesting knowledge, PDM, data mining techniques, pattern, text documents, PDM Text mining, PTM, mining, PTM and PDM
Generating Knowledge, report problems finding, Natural Language Processing, Generating Knowledge Profiles, frequently report problems, Resumes Organizations frequently, knowledge intensive vacancies, problems finding skillful, Software Engineering Positions, finding skillful people, Organizations frequently report, Software Engineering
Automatic Online, Word Retrieval, Student Organization Website, Feeding, Word Retrieval System, Student, Feeding in Student, occur every day, events occur, Online News Feeding, Organization, Website Using Word
