crude oil, ocean saturday, alaska, cleanup efforts, prince william sound, reef island, chief environmental officer, coast guard, miles long, gallons, wildlife-rich stretch, millions, spawning area, slow, dennis kelso
marathon, race, rex wilson, lead pack, runners, wen yanmin, miles, seconds, course record, out-kicked laura konatz, viktor gural, women, new zealand, men, event
pneumonia-stricken actress elizabeth taylor, new infections, hospitalization, fifth week, complications, doctors, miss taylor, recovery, death, health center, santa monica, publicist, bacterial pneumonia, today, yeast infection
worst wildfire seasons, brush, decades, monday, mountain terrain, potential, bark beetles, drought, southern california, rare fungus, chaparral, gordon rowley, years, tall grass, fire officials
fire, stately lodgepole pines, suppression mode, blazes, parks, year, tourist havens, impact, spring, soil scientist henry shovic, yellowstone, big cypress, chilling effect, barbee, nature
british beef industry, mad cow, france, britain, friday, cattle, trade friction, health fears, disease, europe, bse, french, concern, west germany, scare
ben johnson, world record, athletes, carl lewis, vice president, illegal performance-enhancing drugs, time, seoul olympics, frank greenberg, canadian inquiry, steroid, dash, week, cassell, world championships
firefighters, blaze, lake elsinore, wednesday evening, authorities, ortega, homes, busy holiday, brady, fire, people, acres, structures, officials, saturday morning
tetsuya theodore fujita, tornadoes, violent storms, twisters, denver, low-pressure system, years, downbursts, miniature versions, university, microbursts, time, thunderstorms, aircraft, foremost authorities
public officials, california, federal aid, law, senate, action, poor people, state, reapportionment, census, assemblyman peter chacon, illegal aliens, house, democrat, congressional delegations
office, ventura county district attorney, anthony flores, separate incidents, edward brodie, cornett, misdemeanor counts, suspects, charge, complaints, gonzalez, luna, police, medical, private party
crippled united airlines dc-10, emergency landing wednesday afternoon, tail engine, complete hydraulic failure, runway, plane, board, half-mile short, sioux gateway airport, passengers, cartwheeling fireball, crash, firm count, spokesman, pieces
blood-red letters, sign, state legislatures, nra, urgent, basic constitutional right, act, congress, time, customers, petition, hammer, well-organized, flock, years
hurricane chantal, texas, louisiana, winds, rain, coasts monday, day, crew members, major flooding, water, morgan city, oil drilling work, high waves, storm, houston
fellow narcotics officer, los angeles international airport, clayton searle, joe morgan, muscular black man, passengers, police, likely companion, federal court, william barnes, drug courier, major league baseball, flow, short, city
search crews, sunday, texas congressman mickey leland, plane, addis, days, ackerman, crash site, miles, helicopter, recovery teams, wreckage, weather conditions, discovery, area
nation, respiratory diseases, lungs, tests, unseen hazard, microscopic particles, reaction, poisonous stew, women, dangerous, impairs, strong, soot, firefighters, cancer
freshman congressman larkin smith, light plane crash, r-miss, aviation accident, mississippi, sunday night, monday, house, harrison, authorities, police chief, week, local officials, second member, desoto national forest
city homefed half marathon, alphonce swai, finest, america, race, comeback bid, sunday, olympics, tanzania, alcoholism, kim jones, prey, goodwill games 10-kilometer run, seconds, time
world bank, debts, major drain, cash-strapped economies, new loans, sunday, figure, annual report, countries, buoyant economic growth, current fiscal year, public, total, united states, brady plan
french dc-10 jetliner, high-altitude explosion, people, powerful, lebanon, wednesday, dulles international airport, france, washington, sheik, christian, remote desert region, time, anonymous callers, niger
ben johnson, new element, public, positive, pervasive skepticism, sport, exception, doubt, al franken, contradiction, people, high performance levels, years, boasts, italy
terms, state legislators, members, interest, new candidates, hard, government, congress, term limitations, proposals, popular, contrary, influence, students, constitutional changes
large immigrant populations, census bureau, seats, senate, california, state, illegal aliens, bush administration, legal limits, friday, federal aid, ban, senate-house conference committee, voice vote, blow
california, seats, people, new york, senate, congress, florida, number, addition, blow, action, pulido, bush, appropriations bill, basis
second amendment states, gun control laws, federal government, merits, right, argument, arms, necessary, people, individuals, security, words, national, powers, cruikshank
state legislatures, american politics, terms, oklahoma voters, democratic president, temptation, vengeance, term limitation, number, state lawmakers, republicans, years, quack therapy, subsequent, adversaries
diabetes, kidneys, jaime davidson, actual people, los, interested physicians, latinos, year, ethnic group, habits, likely, abuelita, united states, doctors, blood pressure
tuberculosis, deadliest infectious disease, world, united nations, people, year, immune system, number, individuals, toll, effective drugs, bloom, overall incidence, organism, cases
county social services agency, illegal aliens, residents, director, census, supervisors, count, thursday, federal revenue, actual population, board, resolution, efforts, letter, house
terms, negative, people, legislature, national conference, propositions, statewide officeholders, impact, special interests, term limits, california, officials, end, years, initiative
race, marathon sunday, seconds, paul davies-hale, lisa weidenbach, men, women, time, miles, windy weather, heat, runners, balmy, england, patient
jet trainer, aircraft carrier, navy, lexington, flight deck, crash, spokesman, training, sunday, naval education, pensacola, mark kasper, major damage, gulf, dennis hessler
guy zanti, marathon today, father, wife, washington, battleship wisconsin, naval officer, efforts, land, waters, middle east, interested, miles, training, ship
engineers, scientists, earth, chile, japanese scientists, massive plates, behavior, seismic country, earthquake, distinction, earth movements, information, host, president, long history
new york city marathon, grete waitz, winners, race, douglas wakiihuri, wanda panfil, juma ikangaa, women, time, second, sunday, kenyan, mexico, poland, kim jones
english channel, sides, saturday, graham fagg, french workers, philippe cozette, cheers, biggest engineering project, hands, tunnel, passage large, british, france, europe, england
caribbean, atlantic, low latitudes, gulf, periodic west african drought, tropical disturbances, powerful punches, mexico, wind speed, western, gilbert, hugo, intense hurricanes, future, gray
mexico city, ernesto beatriz, african mark plaatjes, mission bay, race, hometown, beatriz martinez, marie rollins, line, lead vehicle, mile, border town tijuana, maurilio castillo, doug kurtis, saturday night
johnson, brief race, slow start, positive test, record crowd, daron council, department, sheriff, north america, board track, countries, europe, olympics, alachua county, journalists
severe fires, mount palomar area, california, risk, national guard equipment, oregon, firefighting, san diego, canyons, military reserve, wildfires, year, united states mainland, dead vegetation, december freeze
charlie francis, use, ben johnson, world record, federal inquiry, toronto, canadian national sprint coach, steroids, speed trap, fastest man, performance-enhancing drugs, members, sports, olympics, athletes
60th boston marathon, race, johnny kelley, times, juma ikangaa, editions, storied history, early speedsters, sentimentalists, seconds, simon robert naali, olympic silver medalist, reckless speed duels, douglas wakiihuri, attrition
santa clara county police agency, suspect, officer, real case, bad public policy, law violation, numerous times, organizational attitude, code, injuries, citizens, problems, macnamara, government, communities
hispanics, exercise classes, nutrition, effort, torres, state health department statistics, diabetes, food, dangers, incidence, taste, terms, education director, diabetic society, summer
fire protection, california department, brush, forestry, precautions, santa clara county, lisa boyd, heavy fuel, real good grass crop, rains, year, trees, firefighters, drought, homes
chief election commissioner, new delhi, india, paramilitary forces, gandhi, assassination scene, body, morning, scapegoats, military, red alert, seats, president, prime minister, streets
airline seats, travel agents, mexico, eclipse, san jose, pamela, hotel reservations, rental cars, hawaii, baja, moon, advance, sun, shadow, available
subsequent hurricanes, miami, legendary storms, mph winds, city, weather computers, newspaper headlines, florida keys, year, scientists, past, low-lying metropolis, water, hours, hurricane specialists
statement, slovenia, election, croatia, day, serbia, plan, saturday evening, cease-fire, state, condition, political, yugoslavia, civilian commander, mesic
thomas, liberal faction, court, conservatives, man, marshall, views, justice william brennan, confirmation process, abortion, position, roman catholic schools, age, opposition, affirmative action
thomas, black political activists, white world, washington, security, grandparents, national television monday, individualism, paper, education, president reagan, self-sufficiency, mutual support, appeals, tough old man
nominee, thomas, senate judiciary committee, right, justices, confirmation, views, free ride, metzenbaum, abortion, specific case, nomination, ultimate question, box, supreme court
segregated black georgia, decades, life, toughening, civil rights, southern poverty, thomas, hard-eyed grandfather, aggressive liberal agenda, scholarship, nuns, father, band, affirmative action, personal strength
eclipse fans, big island, mexico, baja california, new york, sun, hawaii, japan, thousands, crowded cruise ships, tourists, permanent image, protection, pacific coast, californians
commission, panel report, gates, source, mayor tom bradley, los angeles times, officers, geoffrey taylor gibbs, pages, nightstick beating, scene, earlier incident, federal investigation, numerous instances, testimony
solar eclipses, astronomical observatories, moon, sun, shadow, earth line, baja california, path, miles wide, mountain, world, hawaii, chabot college astronomy professor, mexico city, largest cluster
solar eclipse, orion telescope, way people, thursday, information, minolta planetarium, branham lane park, san jose astronomical association, calls, golden state, student union, shadow, scott wiener, cupertino, hours
eclipse, low cloud cover, hawaii, big, sun, mexico, mauna loa, south kohala, cardboard, mountain view, discovery museum, dark, foothill observatory, funny mylar glasses, years
eclipse, sun, san jose, special glasses, shadows, permanent damage, prime time, moon, hawaii, overcast skies, morning fog, astronomers, bay area, dark, nature
los angeles police department, anti-abortion advocates, lawsuit, nunchakus, national movement, abortion facilities, hundreds, martial-arts weapon, mid-june, operation rescue, motorist rodney king, compliance, excessive force, demonstrators, cities
diabetes, mcnamara, hispanics, strong american indian ancestry, high-fat diet, percent, exercise, people, vulnerable, medication, general population, participants, overweight, ways, obesity
thomas, protest lyrics, racial anger, conservative supreme court, civil rights act, friends, opportunism, story, senate judiciary committee, segregated savannah, roads, legal education, dramatic political, singer-songwriter nina simone, homespun homilies
clarence, religious rights groups, blacks, anti-cult activities, woman, skin color, comparable-worth legislation, clarence thomas, issues, lifespring, virginia thomas, government programs, husband, court, critics
poor ventilation system, building, experts, tuberculosis, link, flu, recycle old, low level, end, nardell, measles, problem, massachusetts department, jon rosenberg, millions
department policy, lack, unusual order, employees, investigation, level, communities, civil rights suit, large sheriff, block, criticism, aclu spokesman joe hicks, cities, temporary delay, people
thomas, god bad, hometown crowd, anita hill, handwritten sign, home, abraham famble, birthplace, main thoroughfare, majority, attempt, cry, joy, allegation, heart
local firefighters, firestorm, hills, wake, two-lane road, homes, firetrucks, day, highway, wildfires, area, weak bridges, fuel, fires, fire-retardant roofs
tours, closed city, addition, celebration, runner, companies, thorn gilligan, countries, bermuda, unique subset, air fare, hotel, entry fees, moscow, president
welfare reform, president reagan, americans, governors, state, years, democrats, congress, plans, convincing message, immediate action, priority, poverty, idea, administration
welfare, nation, disagreement, white house, governors, training, washington, welfare reform, quarter, formula, kennedy, years, moynihan, plan, substantial numbers
worst diamond slump, 1930s, years, demise, rough-diamond prices, predictions, de beers, petroleum exporting countries, dealers, american couples, fall, carats, average, australia, zaire
poor farmers, communities, murderous guerrillas, upper huallaga valley, army, late 1970s, shining path, mountains, cacao, aucayacu, coffee, small town, emergency control, fields, country
northwest airlines jet, engine failure, sunday, people, years, past, crash, possible causes, passengers, turbine case, number, loss, incidents, new rules, power
diamond prices, cartel, mining analyst, london-based central selling organization, years, japanese imports, carat, south african concern, members black african state producers, jacques zucker, muscles, retail trade, cutters, deep slump, diamond dealers
welfare system, house, investment, years, level, question, real declines, new spending, little evident return, tax dollars, american taxpayers, worse, representatives, bill, problem
bank, decision, boston, assets, groups, countries, non-accrual basis, competitive advantage, significant domestic, nations, common equity assets, loans, additional provision necessary, yesterday, shrink balance sheets
drought, farmers, reagan administration, year, agriculture secretary richard lyng, loan problems, strong harvests, sioux falls, potential yield, worse, embargo, world markets, counties, fears, sales
world bank president barber conable, republican congressman, respected, journalists, increase, capitol hill, washington state, year, issue, strong asset, congress, office, enormous respect, sides, aisle
ash-covered forest floor, nature, ground, plant species, fire, scorched hillside, powdered ash, areas, donald despain, yellowstone, park, feet, bright yellow flame-retardant shirt, trees, firestorm
forms, illegal immigrant, house, congressional reapportionment, census bureau, constitution, congress, amendment, question, california, federation, persons, printers, people, legal status
incumbent, senate, unfair campaign finance laws, latest mailing, voters, congress, year, spirited competition, south dakotans, legislative arrogance, problems, gerrymandering, challengers, elections, political axiom
british industry, tunnel, britain, confederation, main employers, transport expert, spokeswoman, london, consortium, hours, northern england, eurotunnel plc, costs, total benefits, time
tunnel treaty, new concept, french workers, england, british terminal, big, toys, froggy, white cliffs, margaret thatcher, dewy grass, men, ledge, feet wide, signing
path, military dictatorship, war, alberto fujimori, insurgency, peru, peruvians, liberal approach, systematic violations, emergency laws, security matters, years, shining path, armed forces, progress
tropical storm season, west african sahel region, weather researchers, average, summer, july, new findings, higher rate, hurricane activity, right, year-to-year rainfall levels, moisture, normal, winds, newest
prediction, businesses, year, record, day, missouri, mississippi valley, times greater, people, december, memphis company, thousands, quakes, california, blytheville
sick sheep, tale, bizarre mysteries, cannibals, cat, pennsylvanians, animals, medicine, big way, years, detection, disease, max, scrapie, medical sleuths
gun, criminals, important reason, handguns, constitutional rights, police chiefs, issue, suicides, periods, arms, education system, james forbes, life member, firearm, law-abiding citizen
tuberculosis testing, health department, treatment, program, infection, human resources administration, tb germ, tuberculosis prevention, staff members, control, new yorkers, susceptible individuals, city schools, board, fraction
flight schedules, travel industry, average wind speed, crash, local news reporters, airlines, area, passengers, plane, hours, sensitive time, people, federal aviation administration official, wind shear, colorado springs
boston marathon, year, runners, john adelbert kelley, race, time, miles, oldest competitor, hours, course, running, man, little hills, minutes, cooper clinic
police chief, gang members, public statements, san jose, year, conflict, wrong, essential role, idealistic young people, nationality, special unit, neighborhoods, odds, credibility, officers
enquirer, articles, condition, miss taylor, good faith reliance, reporting, information, error, activities, june, hospital, iain calder, santa monica, inaccurate, actress
favorable credit rating, development, microloans, businesses, security, accion international spokeswoman gabriela romanow, micro-enterprise lending, years, green revolution, clutches, new york agency trickle, hottest thing, microlending, group, poor entrepreneurs

equal rights, constitutional law, americans, judge, thomas aquinas, actual victims, position, society, people, vision, blacks, martin luther king day, man, difference, problems
clarence thomas, heart, successful people, pro-abortion lobby, liberals, affirmative action, nuns, left, interests, love, mother, race, crack, lives, confidence
slovenes, slovenia, exchange, country, western europe, independence, yugoslavia, nations, people, picturesque alpine republic, considerable trade, european community, rest, tenuous peace, certain logic
chief gates, commission, report, community leaders, recommendations, job, mayor, transition period, officers, monkey slapping time, years, future, resignation, tenure, widespread corruption
term limits, constitutional convention, years, members, florida, early civil-rights bills, henry clay, daniel webster, republicans, good behavior, medicare, inducements, congress, long-standing, frequent re-elections
electoral system, washington politicians, public, politics, terms, concerned, average citizens, election, voters, lawmakers, government, powerful interests, term limits, congress, means
state statutes, first-time candidates, members, congress, registration fee, ballot box, fundamental right, constitution, tenure, fair electoral system, qualifications, incumbents, office, arguments friday, voter choice
term limits, liberal democrats, politics, career incumbents, idea, office, congress, authors, washington state, reason, power, ideal public service, blacks, gop opponent, old-boy network
black people, state courts, scott, guns, free territory, racist pronouncements, right, freedom, pre-civil war dictum, specific constitutional protections, slave, race relations, arms, second amendment, ground
united states, congress, right, members, arms, best clues, gun, armies, people, phrases, debates, military service, authors, conscientious objector clause, congressional committee
representatives, legislators, better government, fresh faces, washington, citizen congress, experience, 22nd amendment, interests, power, term limits, incumbents, desires, important characteristic, flow
congressional term limitation, congress, influence, opinion, economists, solid reasons, politician, sun, office today, common sense, laws, lives, real world, rest, prospect
well-regulated militia, right, second amendment, necessary, arms, gun, religious reasons, national guard, unfortunate today, original version, people, sufficient condition, history, military service, george mason
guns, right, second amendment, private uses, constitution, dog, american citizens, national guard, total regulations, central issue, letter writer, point, arms, staggers bills, selective service
