oil traffic, prince william sound, alaska, chief environmental officer, miles long, biggest oil spill, ocean saturday, cleanup efforts, tanker exxon valdez, reef island, coast guard, dennis kelso, spawning area, crude oil, slick
carl lewis, performance-enhancing drugs, johnson, ben johnson, francis, innuendo, world record, urine samples, athletes, anabolic steroid stanozolol, steroid furazabol, allocation, canadian inquiry, gold, sport monday
lynda huey, sprinter ben johnson, canadian coach charlie francis, seoul, urine, seoul olympics, sprinter angella taylor, steroid, sample, drug, positive, clean, acquaintance, nbc-tv, test
crude oil, exxon valdez, long beach-bound exxon oil tanker, alaska, spill, prince william sound, sea, wildlife service, cleanup, gallons, exxon usa, boom, environmentalists, reef friday, tourists
crippled ship, sea otters, frank iarossi, oil contamination, exxon valdez, pristine prince william sound, oil-covered birds, waters, tanker, coast guard, cleanup efforts, rescue birds, rocks, wildlife experts, separate accidents
cleanup crews, exxon, joseph hazelwood, oil, massive oil spill, tanker exxon valdez, criminal charges, coast, wednesday, new, wildlife-rich sound, smaller tankers, authorities, navigable waters, exxon salvage crews
steve cowper, trans-alaska oil pipeline, exxon valdez oil spill disaster, cleanup measures, thursday, oil tanker, large spill, companies, order, safety, state law, hours, alyeska marine terminal, equipment, autopilot
marathon, abebe mekonnen, joan benoit samuelson, ingrid kristiansen, race, world, mile, juma ikangaa, ethiopian runners, seconds, olympic, ethiopia, monday, hot day, sunday
los angeles county district attorney, office, practices, addiction, elizabeth taylor, report, painkillers, rehabilitation clinic, prescribing, friday, alternative means, therapy, allegations, treatment, investigation
disease, cattle, sick animal, agriculture, human, bse, sheep by-products, health, food, government, britain, export market, report, british province, brains
elizabeth taylor, lung biopsy, prepared statement, pneumonia, academy award-winning actress, hospital, ventilator, physicians, doctors, problem, condition, monday, cause, assistance, surgery
la liz, taylor, addiction, press recording, giddy tabloids, doctors, liz taylor, aids, drugs, hospital, latest bout, reports, conference wednesday, rumors, national treasure
ruptured exxon valdez, oil, state senate, bills, fresh oil sheen, alaska, package, 11-million-gallon spill, devastating oil spill, complete cleanup, impossible, tanker, fouled prince william sound, saturday, little trouble
race, rex wilson, wen yanmin, runners, lead pack, miles, course record, viktor gural, long beach marathon sunday, out-kicked laura konatz, seconds, women, men, new zealand, pacific rim marathon
miss taylor, hospitalization, doctors, fifth week, bacterial pneumonia, new infections, viral pneumonia, yeast infection, death, complications, recovery, health center, today, resolving, pneumonia-stricken actress elizabeth taylor
brush, fire officials, fire season, residential areas, los angeles, gordon rowley, vulnerable fire zones, trees, los angeles county fire department, drought, mountain terrain, southern california, baldwin hills, map, rare fungus
fire, park management, yellowstone, national parks, management policies, nature, once-thriving forest, blazes, stately lodgepole pines, available firefighting crews, bush administration officials, tourist havens, new life, year, forest ecology specialist
british beef industry, disease, british government, ban, mad cow, britain, cattle, domestic beef sales, west germany, france, health fears, trade friction, siamese cat, bse, british officials
world record, johnson, athletes, illegal performance-enhancing drugs, carl lewis, world championships, vice president, time, canadian inquiry, frank greenberg, steroid, week, al joyner, involvement, cassell
fire crews, lake elsinore, blaze, firefighters, county, brush fire, riverside, antelope valley, fire crews late friday, authorities, saturday morning, late friday afternoon, national forest, wind, charred landscape
tetsuya theodore fujita, tornadoes, denver, violent storms, small house, years, large fan, twisters, downbursts, miniature versions, major airports, thunderstorms, university, aircraft, new radar system
federal aid, illegal aliens, senate, poor people, california, state, medical emergency services, action, house, census, population, law, assemblyman peter chacon, democrat, reapportionment
office, police brutality, anthony flores, separate incidents, report, district attorney, department, edward brodie, arrest, officer robert camarillo, oxnard officers, cornett, suspects, gonzalez, charge
violent crash, plane, crippled united airlines dc-10, runway, tail engine, passengers, wide-bodied dc-10, systems, complete hydraulic failure, spokesman, wednesday, wings, half-mile short, sioux city, crew members
nra, plastic guns, blood-red letters, deconcini, bills, gun ban, life member, assault weapons, hammer, james jay baker, suburban phoenix, legislation, president bush, nation, office
hurricane chantal, lowest hurricane classification, louisiana, vessel, winds, coasts monday, texas, season, storm, late afternoon, strong winds, high waves, tropical storm warnings, national hurricane center, crew members
clayton searle, fellow narcotics officer, 46-year-old morgan, drug courier, los angeles international airport, police, drug enforcement administration, major league baseball, passengers, muscular black man, likely companion, transport narcotics, federal court, commercial airline flights, city
texas congressman mickey leland, plane, american search, crash site, helicopter, search crews, ababa, aides, wreckage, ethiopians, sunday, days, discovery, ackerman, recovery teams
firefighters, lungs, fires, smoke, health, wildfire crews, carbon monoxide, nation, county fire officials, studies, state, protection, johns hopkins university, air passages, wildland firefighters
freshman congressman larkin smith, light plane crash, r-miss, mississippi, monday, sunday night, house, authorities, county sheriff, desoto national forest, state, federal, second member, week, death
alphonce swai, city homefed half marathon, african runners, finest, race, kim jones, comeback bid, america, mexico city, sunday, field, time, olympics, tanzania, goodwill games 10-kilometer run
bank, countries, cash-strapped economies, world bank, debts, new loans, figure, annual report, bank official, sunday, cash drain, major drain, buoyant economic growth, total, east asia
french government, lebanon, pro-syrian forces, criminal attack, france, wednesday, intelligence specialists, terrorist attack, high-altitude explosion, terrorist bomb, officials, washington, christian, french dc-10 jetliner, uta
johnson, indoor meets, ben johnson, sport, athlete, assistant meet director, performance-enhancing drugs, al franken, people, world class athletes, public interest, hamilton spectator indoor, years, promoters, season doubt
state legislators, term limitations, members, groups, interest, proposals, hard, congress, people, government, influence, money, powerful, constitutional changes, contrary
census totals, illegal aliens, state, seats, illegal immigrants, senate, population count, bush administration, census bureau, california, federal aid, illegal residents, ban, appropriations bill, enormous additional costs
illegal aliens, census, california, senate, state, large immigrant populations, illegal immigrants, county advocates, legal residency, seats, poor latino residents, city, addition, census bureau, pulido
second amendment states, gun control laws, free state, right, merits, federal government, militia, security, necessary, arms, people, argument, individuals, supreme court, national
state legislatures, limits, american politics, state legislators, years, term limitation, lawmakers, number, state lawmakers, oklahoma, vengeance, legislative seats, oklahoma voters, democratic president, temptation
latinos, diabetes, jaime davidson, heart disease, effort, actual people, proper diet, insulin, los, health officials, california, dallas physician, habits, american indians, angeles metropolitan area
tuberculosis, cases, aids epidemic, world health organization, people, disease, immune system, year, new data, deadliest infectious disease, united nations, active, number, united states, individuals
orange county, illegal aliens, residents, census, supervisors, count, agency officials, federal revenue, city officials, thursday, actual population, county social services agency, director, board, resolution
state legislators, consecutive years, state senators, terms, people, term limits, legislature, propositions, politics, office, assembly members, officials, california, pernicious impact, city
race, paul davies-hale, lisa weidenbach, men, chicago marathon, women, seconds, marathon sunday, miles, time, heat, chicago history, runners, windy weather, pack
jet trainer, aircraft carrier, navy, lexington, flight deck, crash, spokesman, sunday, training, naval education, mark kasper, pensacola, major damage, gulf, dennis hessler
guy zanti, marathon today, father, wife, washington, battleship wisconsin, naval officer, efforts, land, waters, middle east, interested, miles, training, ship
largest earthquake, chile, engineers, scientists, buildings, san francisco earthquake, earth, building engineer elias arze, chilean seismology, host, president, massive plates, distinction, magnitude, seismic country
grete waitz, winners, douglas wakiihuri, race, wanda panfil, juma ikangaa, women, new york city marathon, time, second, respective divisions, sunday, kim jones, kenyan, poland
rail tunnels, english channel, french workers, british, graham fagg, philippe cozette, high-speed train, biggest engineering project, bored, europe, france, saturday, england, 6-foot-tall service tunnel, hands
ferocious hurricanes, catastrophic storm, atmospheric pressure, atlantic, intense hurricanes, gray, periodic west african drought, tropical disturbances, possible return, powerful punches, low latitudes, gulf, center drops, caribbean, hurricane patterns
martinez, 16th mile, african mark plaatjes, international marathon, race, mission bay, marie rollins, beatriz martinez, san diego, mexico city, doug kurtis, maurilio castillo, seconds, women, hometown
johnson, brief race, slow start, daron council, record crowd, positive test, department, sheriff, north america, board track, countries, europe, olympics, alachua county, journalists
fires, mount palomar area, fire officials, national guard equipment, threat, oregon, worst fire season, california, firefighting, dead vegetation, severe fires, warner mcgrew, december freeze, military reserve, homes
charlie francis, ben johnson, world record, steroids, federal inquiry, use, toronto, fastest man, speed trap, canadian national sprint coach, olympics, system, sports, famous pupil, performance-enhancing drugs
boston, times, race, juma ikangaa, checkpoint records, simon robert naali, city, winner, early speedsters, storied history, seconds, olympic champion gelindo bordin, 60th boston marathon, olympic silver medalist, douglas wakiihuri
police report, suspect, officer, police brutality, bad public policy, citizens, complaint, investigation, government, organizational attitude, accountable, code, police discipline system, communities, macnamara
hispanics, diabetes, exercise classes, nutrition, state health department statistics, torres, food, effort, dangers, incidence, diabetic society, education director, taste, terms, richest
california department, forestry, fire protection, year, lisa boyd, wooded areas, morgan hill ranger unit, rains, trees, drought, brush, santa clara county, fire season, south bay, summer weather
gandhi, india, congress party spokesman, time bomb, new delhi, chief election commissioner, assassination scene, caste conflicts, tamil separatists, independent state, blast, religious, nearby sri lanka, body, right-wing party
travel agents, eclipse, daniel dei rossi, hawaii, mexico, san jose, moon, baja, available, sun, rental cars, shadow, inter-island flights, sky, airline seats
subsequent hurricanes, miami, legendary storms, mph winds, hurricane specialists, wind speed, national hurricane center, year, scientists, city, weather computers, low-lying metropolis, computer model, water, disturbance
slovenia, secessionist republic, croatia, army, slovenian fears, government, statement, independence declarations, stipe mesic, election, president, state, federal official, president milan kucan, slovenian capital
court, thomas, abortion, federal appeals court judge, confirmation process, democratic senators, views, unknown, opposition, racial preferences, year, affirmative action, marshall, position, abortion rights groups
thomas, blacks, washington, security, grandparents, white world, mutual support, education, self-sufficiency, principal means, discrimination complaints, equal employment opportunity commission, president reagan, second birthday, black political activists
thomas, senate judiciary committee, confirmation, reagan-bush supreme court nominee, civil rights groups, justices, views, metzenbaum, conservative majority, specific case, senate majority leader george mitchell, free speech issues, nomination, abortion, law
thomas, black children, young clarence, united states supreme court, hard-eyed grandfather, catholic school uniform, scholarship, segregated black georgia, yale university law school, clarence thomas, nominee, black savannah, activist black men, nuns, college education
eclipse fans, big island, baja california, mexico, sun, hawaii, new york, japan, thousands, crowded cruise ships, protection, tourists, pacific coast, mystical phenomena, box
police, officers, derogatory messages, commission, source, gates, department, report, brutality, panel report, black people, police car computer terminals, testimony, chief, earlier incident
solar eclipses, sun, moon, baja california, astronomical observatories, earth line, shadow, path, miles wide, hawaii, delicate astronomical instruments, shaggy corona, mexico city, total eclipses, year
eclipse viewers, solar eclipse, telescope store tuesday, way people, thursday, bay area people tuesday, minolta planetarium, orion telescope, scott wiener, information, calls, branham lane park, safe, san jose astronomical association, glasses
eclipse, low cloud cover, hawaii, parks, sun, mexico, mauna loa, funny mylar glasses, discovery museum, mountain view, big pinhole cameras, south san jose, cardboard, moon obscure, dark
eclipse, special glasses, sun, shadows, prime time, moon, hawaii, overcast skies, san jose, morning fog, astronomers, bay area, dark, eye damage, nature
police, los angeles police department, operation rescue, police brutality, protestant circles, demonstrators intent, abortion facilities, participants, activists, compliance, motorist rodney king, national movement, civil rights groups, persistent complaints, single case
diabetes, mcnamara, hispanics, strong american indian ancestry, high-fat diet, percent, neighborhood diabetes programs, people, exercise, vulnerable, diabetes society, medication, participants, general population, ways
thomas, black, friends, conservative supreme court, yale law school, opportunism, civil rights act, minority figure, senate judiciary committee, legal education, story, successive jobs, segregated savannah, lunch room sit-ins, dramatic political
clarence, clarence thomas, virginia thomas, comparable-worth legislation, cult awareness network, religious leaders, lifespring, religious rights groups, skin color, organization, roots, blacks, issues, court, white
building, stale air, good ventilation system, poor ventilation system, sick building syndrome, workers, flu, bad ventilation, tuberculosis, public health officer, study, low level, disease, end, outdoor air
department policy, unusual order, employees, policing, people, large sheriff, level, communities, social reasons, block, cities, finest law enforcement agencies, criticism, joseph mcnamara, civil rights suit
thomas, hometown crowd, home, handwritten sign, anita hill, judge clarence thomas, abraham famble, god bad, birthplace, main thoroughfare, pinpoint georgia, heart, attempt, deacon, sweet fields
fires, local firefighters, area, hills, homes, deputy chief, mountain communities, firestorm, stately trees, two-lane road, water, department, canyons, residents, grass-covered eastern foothills
tours, closed city, largest marathon, marathon vacations, five-mile run, london, runner, sport, thorn gilligan, addition, air fare, sightseeing bus, carbo-loading pasta party, president, april
president reagan, welfare, welfare reform, anti-poverty programs, poverty, years, state, governors, poor families, welfare dependency, democrats, public, convincing message, plans, congress
governors, welfare, able-bodied welfare recipients, white house, washington, benefits, years, disagreement, administration, plan, welfare reform, income-maintenance system, jobs, training, new york
de beers, selling diamonds, dealers, uncut-diamond market, world, rough-diamond prices, sales, organization, cartel, expensive diamond engagement rings, petroleum exporting countries, diamond producers, average, years, advertising
murderous guerrillas, poor farmers, upper huallaga valley, shining path, coca, army, anti-drug police, communities, small town, drug trafficking, anti-drug officials, government, biggest coca-growing zone, aucayacu, country
engines, crash, plane, incidents, northwest spokesman, airline industry, faa, accident, flight, nation, detroit, board, pins, possible causes, passengers
diamonds, dealers, de beers, market, higher prices, japanese imports, diamond sales, average, world diamond market, rise, diamond prices, years, carat, rough diamonds, diamond dealers
family welfare reform act, benefits, welfare system, house, afdc, years, dependent children, bill, welfare dependency, welfare programs, question, work programs, level, welfare recipients, investment
bank, boston, large loans, thin reserves, regional banks, countries, money-center banks, groups, reserve action, analysts, competitive advantage, common equity assets, non-accrual basis, nations, regional institutions
drought, farmers, year, president reagan, food prices, soybean futures, government, reagan administration, sales, farm management concern, crop land, strong harvests, farm export subsidies, products, farm equipment makers
bank, debt morass, world bank, debtor countries, baker plan, new york, cautious financier, debt problem, ideas, leadership role, larger role, new loans, new lending, institution, increase
fire, recent years, park, yellowstone, nature, forest, trees, research biologist, ash-covered forest floor, tiny seeds, powdered ash, yellowstone national park, scorched hillside, ground, recent weeks
illegal immigrant, census bureau, house, legal status, recent house debate, congressional seats, amendment, federation, california, persons, constitution, people, americans, congress, illegal aliens
incumbent, house districts, two-term limit, latest mailing, congress, voters, terms, year, spirited competition, senate, problems, south dakotans, new ideas, unfair campaign finance laws, polls
tunnel, cross-channel link, consortium, high-speed rail link, london, northern england, british industry, eurotunnel plc, hours, transport expert, britain, costs, roads, project, fast rail service
tunnel, french workers, british terminal, big, trans manche link, toys, europe, dewy grass, men, feet wide, ledge, new concept, england, white cliffs, trains
path, shining path, war, military dictatorship, insurgency, liberal approach, peru, emergency laws, actions, years, armed forces, progress, systematic violations, young professionals, analysts
hurricanes, storms severe, sahel, hurricane activity, weather researchers, atlantic hurricanes, higher rate, year-to-year rainfall levels, tropical storm season, wet weather, caribbean, warm ocean air, moisture, july, normal
quake insurance, earthquakes, earthquake survival classes, fault line, people, prediction, new madrid fault, december, day, year, businesses, thousands, schools, california, survival kits
brain diseases, sick sheep, cjd, mad cows, spongiform, animals, years, scientists, scrapie, single disorder, questions, medical sleuths, cat, infectious, kuru
criminals, violent crime, gun, handguns, police chiefs, issue, suicides, arms, periods, education system, firearm, protection, important reason, law-abiding citizen, state militias
tuberculosis testing, treatment, health department, homeless, program, infection, tb germ, human resources administration, tuberculosis prevention, staff members, control, susceptible individuals, board, city schools, new yorkers
average wind speed, crash, flight schedules, travel, local news reporters, united dc-10, jet, area, passengers, airlines, hours, plane, colorado springs, yesterday, wind shear
year, three-time boston champion, runners, boston marathon, race, time, miles, hours, course, running, man, little hills, oldest competitor, age, minutes
police chief, police corps program, chief gates, community policing, officers, brutality, year, public statements, idealistic young people, gang members, rodney king, special unit, los angeles, neighborhoods, odds
enquirer, articles, miss taylor, condition, good faith reliance, reporting, information, error, activities, june, iain calder, hospital, inaccurate, santa monica, actress
loan sharks, microloans, accion international spokeswoman gabriela romanow, businesses, favorable credit rating, years, group, family-owned multi credit bank, micro-enterprise lending, local commercial loan rate, development, green revolution, clutches, new york agency trickle, poor entrepreneurs

judge, law, americans, people, equal rights, constitutional law, actual victims, blacks, man, school, clarence thomas, difference, society, civil rights people, thomas aquinas
clarence thomas, successful people, affirmative action, conservative black, nuns, left, kind liberals, race, high appointment, things, heart, lives, love, judge thomas, crack
slovenia, slovenes, yugoslavia, people, country, picturesque alpine republic, nations, exchange, western europe, considerable trade, independence, rest, bewildering balkans, two-week nightmare, declaration
commission, officers, report, police, community leaders, chief, minority citizens, excessive force, department, los angeles police academy, chief gates, city, lapd officers, recommendations, complaints
term limits, years, florida, members, constitutional convention, early civil-rights bills, henry clay, republicans, daniel webster, medicare, good behavior, congress, inducements, long-standing, social security
electoral system, politics, term limits, election, lawmakers, congress, houses, committee service, incumbents, powerful interests, year, voters, concerned, public, politicians
state statutes, first-time candidates, state term limits unconstitutional, court, state supreme court, year, congress, decision, congressional primary, associational rights, incumbents, new mexico law, constitution, arguments friday, voter choice
term limits, politics, white incumbents, liberal democrats, legislative staff, congress, home state, new people, time fund-raising, office, party slate mailer, california democratic party, power, career incumbents, idea
black people, free territory, scott, slave, state courts, racist pronouncements, chief justice taney, federal courts, right, pre-civil war dictum, missouri, guns, white man, natural law, race relations
state militia, arms, right, united states, constitutional amendment, people, armies, military service, version, gun, congressional committee, congress, person, second amendment, conscientious objector clause
term, system, representatives, citizen congress, experience, senior, interests, fresh faces, electorate, incumbents, term limits, washington, desires, states, government
congressional term limitation, congress, economists, opinion, office today, politician, solid reasons, influence, common sense, real world, sun, lives, laws, rest, true citizen congress
well-regulated militia, right, second amendment, arms, unfortunate today, national guard, sufficient condition, control, people, history, george mason, necessary, religious reasons, conscientious-objector provision, religious freedoms
guns, right, constitution, national guard, second amendment, central issue, total regulations, point, congress, american citizens, persons, letter writer, private uses, staggers bills, selective service
