gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical, classical channels, fluid dynamics, nonlinear Burgers equations, Quantum lattice-gas algorithms, NMR implementation
vibratory bowl feeder, systems Vibratory bowl, feeder systems Vibratory, bowl feeder systems, vibratory bowl, Flexible air-jet tooling, automatic assembly systems, large volume automatic, volume automatic assembly, systems Vibratory, bowl feeder, feeder systems, jet based orienting, Air jet based, Flexible air-jet, assembly systems, vibratory, tooling for vibratory, air-jet tooling, machines that feed
paper describes solutions, paper describes, describes solutions, construction tasks, angle trajectories, pneumatic manipulator problems, pneumatic, tasks, Positional control, pneumatic manipulator, tasks This paper, trajectories, control, manipulator, long linear trajectories, manipulator problems, long linear, construction, angle, positioning
Computing stationary Nash, complementarity problem LCP, stationary Nash equilibria, Nash equilibrium pair, average payoff criterion, linear complementarity problem, limiting average payoff, problem LCP, undiscounted single-controller stochastic, stationary Nash, Nash equilibria, nonzero-sum stochastic game, Computing stationary, controls the transitions, payoff criterion, single-controller stochastic games, stationary strategies, equilibria of undiscounted, undiscounted single-controller, player controls
smooth is incorporated, susceptibility contrast MRI, Gaussian process deconvolution, impulse response function, dynamic susceptibility contrast, residual impulse response, contrast MRI, Gaussian process, quantification using Gaussian, response function, GPD, requires deconvolution, dynamic susceptibility, obtain the residual, residual impulse, impulse response, process deconvolution, IRF, Perfusion quantification, Gaussian
journalists in Orissa, working journalists, Orissa, working, working journalists representing, journalists, Information, Analyses data received, journalists representing, insight, information sources explored, mode, study, Analyses data, newspaper organisations, information requirement, information privations, specialisation of working, data received, information sources
process work Focused, MIS integration process, lean manufacturing process, integration process work, Making the MIS, work Focused, MIS integration, cross-functional teams, deliver a smooth, lean manufacturing, process work, teams that implement, implement flexible, flexible and scalable, scalable information systems, Focused, scalable information, MIS, infrastructure, information
automated system hosted, Outsourced backup saves, backup saves time, Gadget Shop, Shop is relying, core business, automated system, Outsourced backup, saves time, time To increase, increase the efficiency, free staff, staff to concentrate, concentrate on core, system hosted, backup saves, data backup, Gadget, Shop, backup
group communications Internet, communications Internet protocol, secure group communication, communications Internet, introduce and analyze, group, Scalable secure group, implementing secure group, group communication, Scalable secure, Scalable, analyze a scalable, scalable rekeying scheme, implementing secure, scalable rekeying, Internet protocol multicast, rekeying, secure group, secure, group membership
low Reynolds numbers, coupled map lattice, low Reynolds, Reynolds numbers, map lattice model, CML models, exhibit complex wake, map lattice, coupled map, frequency cells, Control, CML, numbers can exhibit, DNL method, low-order CML model, efficient CML models, CML models consist, complex wake structures, low-order coupled map, coupled circle map
system network successive, power system network, network successive expansion, system network expansion, applying symbolic analysis, power system, network expansion planning, successive expansion planning, network planning applying, planning applying symbolic, system network, Successive expansion, Successive expansion method, expansion planning, energy and service, expansion planning method, symbolic analysis, network successive, symbolic analysis method, power
visual, well-done computer presentations, law firms, learning experience, technology in law, well-done computer, learning, visual learning apply, computer presentations, visual technology, software, visual learning, client meetings, settlement conferences, learning apply, common in client, presentation software, firms, experience, legal communication settings
universal quantum deleting, quantum deleting machine, Non-optimal universal quantum, quantum deleting, universal quantum, standard universal quantum, deleting machine, verify the non-existence, Non-optimal universal, quantum, universal, Buzek and Hillery, standard universal, deleting, machine, Non-optimal, verify, non-existence, standard, established by Buzek
monotonicity conservation, stability and convergence, important to choose, methods in practice, practice that mirror, mirror the characteristic, characteristic properties, heat equation, uniform monotonicity conservation, monotonicity, initial heat distribution, one-dimensional heat equation, conservation, numerical methods, numerical solutions, heat, numerical, heat distribution, initial heat, investigated qualitative property
Redwood Shores, Banks pin, based in Redwood, pin their back-office, back-office hopes, hopes on successors, scrapers The big, screen scrapers, Yodlee, Shores, Web sites, Redwood, account aggregation, data, Web sites update, successors to screen, customer, Web, Banks, screen
fuzzy MCDM model, MCDM model based, improved fuzzy MCDM, criteria decision making, multiple criteria decision, concepts Liang presented, fuzzy multiple criteria, anti-ideal concepts Liang, fuzzy MCDM, MCDM model, Liang method, Liang presented, ideal and anti-ideal, decision making, multiple criteria, criteria decision, ranking method, objective criteria, criteria, model based
Arranging solid balls, solid balls, balls, Arranging solid, solid, red balls, blue solid balls, Put red balls, red, chain, Arranging, blue solid, graph, number, Put, Put red, finite graph, minimum number, tangent, represent
Integrated support based, interactive safety-critical systems, interactive safety-critical applications, interactive safety-critical, task models, phases of interactive, paper presents, air-traffic control domain, Integrated support, support based, safety-critical applications, models, interactive, design, task, evaluation phases, case study, control domain, safety-critical, air-traffic control
Trifecta Daily, completes CM Trifecta, drug companies fill, people participating, physically and emotionally, feel physically, Bristol Myers Squibb, Documentum completes, forms describing, drug companies, companies fill, Daily, clinical trial content, Trifecta, Documentum, managing clinical trial, clinical trials, companies, fill out forms, Bristol Myers
flexible-disk coupling system, rotating flexible-shaft, eddy-current damper, flexible-disk coupling, strain energies, formulated by applying, applying the assumed-mode, assumed-mode method, kinetic and strain, virtual work, coupling system, control laws, feedback control laws, rotating, resulting discretized equations, system, Lagrange equations, Vibration control, optimal feedback control, system is formulated
Alice and Bob, Dense coding, entangled qubits, entangled qubits shared, pairwise entangled qubits, maximally entangled qubits, entangled, qubits, Alice, Bob, qubits shared, entangled states, pairwise entangled, maximally entangled, coding, quantum entangled qubits, Dense, parties, parties communicate, classical information gain
conventionally adopted algorithms, particle size distribution, light scattering methods, forward light scattering, multiple scattering, size distribution, particle shape, particle systems, particle size, adopted algorithms, particle, occurrence of multiple, resulting in false, false calculations, conventionally adopted, scattering methods, highly concentrated suspensions, neural network-based method, PSD, application of forward
leveraging existing cable, existing cable architecture, interactive infrastructure, leveraging existing, existing two-way, existing cable, operators prepare, prepare to enter, leverage their existing, cable architecture, existing, United States, supporting VoIP, architecture As operators, VoIP, leveraging, fray, two-way, interactive, infrastructure
biorthogonal nonuniform filter, concerns biorthogonal nonuniform, nonuniform filter banks, paper concerns biorthogonal, biorthogonal nonuniform, nonuniform filter, filter banks, tree structured filter, filter, structures This paper, paper concerns, structured filter bank, banks, biorthogonal, concerns biorthogonal, nonuniform, tree structures, structured filter, analysis and synthesis, tree
leading industry experts, Aggregators versus disintermediators, large-scale content aggregators, versus disintermediators, longer in doubt, leading industry, years ago, industry experts, online information service, content aggregators, large-scale content, content aggregators bring, information superhighstreet, Aggregators versus, professional online information, information supply chain, largest professional online, Aggregators, Dialog celebrates, future of large-scale
merging convolutive source, reducing undesired interferences, convolutive source separation, merging convolutive, beamforming Convolutive blind, Convolutive blind source, geometric beamforming Convolutive, source separation, undesired interferences, Convolutive blind, beamforming Convolutive, convolutive source, similar goal-extracting, reducing undesired, convolutive, adaptive beamforming, separation, source, beamforming, blind source separation
longer a barrier, Integration, Web services, barrier, agile business, agile, Web, longer, critical technology, technology for enabling, business, services, critical, technology, enabling
Dose Planning Method, Planning Method, Monte Carlo code, Dose Planning, Monte Carlo, Monte Carlo calculations, Method, Planning, racetrack microtron, Carlo code, comprehensive set, scanned electron beams, electron beams produced, MeV scanned electron, Dose, Carlo, Monte, DPM, depth dose measurements, beam dose calculations
portable consumer products, high-end portable consumer, deliver improved usability, consumer products, portable consumer, consumer operating system, SoC To deliver, deliver improved, improved usability, usability in high-end, high-end portable, consumer operating, consumer, operating system, supported applications, application development, system, products, widespread, complete operating system
providing diagnostic information, Dementing disorders, volumetric measurement, pathologic finding, feasibility study, neurodegenerative diseases, measurement of cerebrospinal, cerebrospinal fluid, fluid to distinguish, distinguish normal, normal from pathologic, demonstrated that automated, automated methods, methods to describe, describe the severity, severity and distribution, distribution of cerebral, cerebral atrophy, atrophy are capable, capable of providing
Robust self-tuning PID, self-tuning PID controller, self-tuning PID, PID controller, PID controller suitable, nonlinear systems, suitable for nonlinear, PID, controller, self-tuning, nonlinear, relay, controller for nonlinear, Robust, systems, propose a robust, chattering, control system employs, PID tuning, preload relay
higher payoff probability, typical probability learning, probability learning task, rational choice, Rational choice theory, choice, higher payoff, probability matching, typical probability, probability, learning task, participants, repeated choice, rational, probability learning, response alternatives, high-payoff alternative, response, learning task participants, choice theory
High dynamic control, achieve high efficiency, Alspa VDM, typically low switching, low switching frequency, High dynamic, fast torque response, torque response times, dynamic control system, high efficiency, main strip mill, achieve high, dynamic control, response times, typically low, low switching, High, drive system consists, strip mill, medium-voltage drive
Newly fashionable virtual, fashionable virtual network, virtual network operators, Newly fashionable, corporate sector, set to clean, virtual victory, network operators, fashionable virtual, virtual networks, Newly, virtual, victory, sector, fashionable, operators, set, clean, corporate, networks
Comput. Appl. Math, block implicit methods, Appl. Math, Comput. Appl., block implicit, nonlinear splittings needed, implicit methods, considered by Brugnano, Nova Science, Recent Trends, implementation of block, implicit, block, Brugnano and Trigiante, methods for ODEs, Math, Numerical Analysis, naturally defining, defining the nonlinear, ODEs
AGV Modern automated, Modern automated manufacturing, single AGV Modern, automated guided vehicles, processes employ automated, employ automated guided, automated manufacturing processes, Modern automated, flexible manufacturing systems, manufacturing processes employ, AGV Modern, optimal material distribution, material distribution policies, employ automated, automated guided, guided vehicles, machine centres, policies in flexible, processes employ, serve several machine
identification of deterioration, states of operation, degree of deterioration, real-time monitoring system, learning vector quantization, paper describes, fault, real-time monitoring, monitoring system, monitoring, pattern recognition, vector quantization, learning, fault signatures, system, fault diagnosis, fault database, real-time, condition monitoring, patterns
Adaptable dialog boxes, building dialog boxes, dialog boxes, programming The author, author presents, presents a framework, framework for building, Adaptable dialog, cross-platform programming, boxes that adapt, building dialog, boxes, dialog, handling dialog size, Microsoft Windows, Adaptable, platform, cross-platform resources, cross-platform, Mac
Carnegie Mellon Women, Carnegie Mellon University, SCS action plan, Carnegie Mellon, computer science, effective computer science, computer science student, SCS action, Mellon Women, Mellon University, SCS, action plan, plan This paper, paper aims, encourage and support, science student organization, Women, support a community, community of women, building Women
humans produce summaries, simply extract sentences, humans produce, produce summaries, simply extract, sentence extraction, extract sentences, summaries of documents, probabilistic approach, original document, sentence, pieces of information, sentence compression, Summarization, extraction, probabilistic, humans, produce, summaries, simply
Internet, changed substantially, computers, Domesticating computers, people, highly educated people, personal, personal computers, comparing veteran Internet, educated people, veteran Internet, Internet users, beginning highly educated, veteran Internet users, personal and domestic, Domesticating, years, personal purposes, people log, shorter time scale
Bayesian Belief Networks, combining disparate sources, Bayesian Belief Net, Bayesian Belief, Belief Networks, disparate sources, assessment of software-based, safety assessment, paper discusses, software-based systems, sources of information, combining disparate, Belief Net, Bayesian, Belief, Det Norske Veritas, Networks when combining, Networks, disparate evidences systematically, sources
American Free Trade, North American Free, World Trade Organization, Free Trade Agreement, era of globalization, intellectual bundling, academic libraries, Subject access, growing influence, supranational organizations, World Trade, Free Trade, access to government, North American, American Free, Trade Organization, government documents, Trade Agreement, government information, transnational economic agreements
network installations, Talk, tech is cheap, expensive part, part of network, consultancy, support, tech, cheap, installations, servers, expensive, part, network, remotely managed, actual management, small-scale servers, good job, job that small-scale, require little actual
Quantum phase gate, phase gate operation, side are postselected, phase gate, Quantum phase, photonic qubits, postselection We show, reflectivity one-third, outputs conserving, conserving the number, number of photons, gate operation, beam splitters, gate for photonic, realize a quantum, phase, gate, splitters and postselection, splitter of reflectivity, Quantum
line conditioner, pulsewidth-modulated line conditioner, voltage, line, output voltage, conditioner, voltage control, pulsewidth-modulated line, reversible voltage control, output voltage control, output, chopper, control, paper, series voltage compensation, capability, pulsewidth-modulated, proposed, fast output voltage, fast
HMI Integrating PC-based, human machine interface, Integrating PC-based control, HMI Integrating, plant floor system, technology can benefit, human machine, benefit a plant, plant floor, machine interface, PC-based control, Integrating, HMI, control, floor system, PLC, PC-based control system, PC-based, programmable logic controller, interfaces
varying milling processes, numerical model based, chip temperature fields, continuous machining, finite difference method, presented to predict, time varying milling, chip, chip temperature, tool and chip, predict tool, temperature, continuous, tool, machining, fields in continuous, temperature fields, contact zone, steady state machining, state machining operations
undirected ring network, node-capacitated routing problem, Node-capacitated ring routing, fractional relaxation, routing problem, ring routing, multicommodity flow, routing, node-capacitated multicommodity flow, problem, ring network, flow, node, general undirected graphs, Farkas' lemma, multicommodity flow problem, distance inequality, node weights, Node-capacitated, multicommodity
optimize chemical vapor, chemical vapor deposition, chemical vapor, vapor deposition manufacturing, feasibility study, study is carried, optimize chemical, thin film growth, vapor deposition, material fabrication, design, thin film, study A study, CVD, deposition manufacturing systems, study, growth in chemical, optimization, vapor, chemical
online advertising market, advertising market continues, paid subscription income, advertising market, online content marketers, online advertising, continues to struggle, improve profitability, market continues, marketers are wrestling, level of paid, paid subscription, subscription income, revenue mix, mix in order, order to reach, reach or improve, selling content online, FREE to FEE, content marketers
over-zealous suppliers, years ago, time to buy, make deals, perfect time, time to invest, time, economy, over-zealous, ago, squeeze as manufacturers, buy, upside, suppliers, unthinkable, money squeeze, makes the year, provisions for unexpected, unexpected costs, exit strategy
efficient verification method, Bounded model checking, CTL Bounded Model, model checking, Bounded model, efficient verification, SAT methods consists, fragment of CTL, BMC based, BMC, verification method, Elementary Net Systems, CTL Bounded, reactive systems, SAT methods, recently introduced, universal fragment, model, checking, Bounded
High Performance Fortran, Efficient parallel programming, Performance Fortran, parallel programming, Performance Fortran OpenMP, High Performance, scalable SMP machines, high-level interface, scalable shared memory, SMP machines, Efficient parallel, data parallel programming, data locality, memory, Fortran OpenMP offers, HPF, shared memory, parallel, scalable SMP, SMP
agile revolution, business revolution, business agility, revolution, business, air, agility, agile, technology is evolving, fast, evolving, theory, technology
object-based rate allocation, video object-based rate, variable temporal rates, coding multiple video, video object-based, object-based coding, temporal rates, multiple video objects, variable temporal, bit allocation, proposed algorithm, allocation with variable, allocation is performed, object-based, allocation, object-based rate, rate allocation, proposed algorithm deals, temporal, video objects
particle image tracking, dilute particle-liquid flows, image tracking technique, coarse spherical particle-liquid, Three-dimensional particle image, particle-liquid flows, spherical particle-liquid flows, image tracking, dilute particle-liquid, tracking technique, image, study the coarse, particle, particle image, front view, view image, flows, front view image, view, particle-liquid
reach medium voltages, drives Multilevel converters, standard components, extra degrees, multilevel drives Multilevel, degrees of freedom, converters with series, series connection, power electronics, electronics to reach, reach medium, Multilevel converters, connection of semiconductors, medium voltages, multilevel direct torque, multilevel, multilevel drives, drives Multilevel, proposed multilevel direct, semiconductors
Malaysian model Japan, Malaysian model, model Japan, Foma, generation service, attractive to consumers, Malaysian, Japan, operator Docomo, service, Simon Marshall, Docomo, model, generation, attractive, consumers, leave European, Marshall, European, Simon
good user performance, engineering involves adapting, Intermediate System-Intermediate System, Traffic engineering involves, Open Shortest Path, involves adapting, joint goals, goals of good, good user, user performance, performance and efficient, Traffic engineering, protocols Traffic engineering, Traffic, routing protocols Traffic, engineering involves, intradomain traffic engineering, path routing protocols, Shortest Path, shortest path routing
generalizing image mosaicing, view multispectral imaging, resolution of imaging, significantly enhance, spatially varying spectral, Generalized mosaicing, imaging systems, image mosaicing, mosaicing, spatially varying, imaging We present, spectral resolution, imaging, spectral, view multispectral, wide field, field of view, varying spectral, varying spectral bands, scene
probability of survival, Poisson stream, insurance company, stream of premiums, company with allowance, rate of return, working capital, capital is calculated, premiums The probability, Poisson, probability, survival, stream, insurance, company, premiums, Calculation, allowance, rate, return
RBF-like neural architecture, approach of manipulator, RBF-like static neural, neural architecture, based identification approach, static neural networks, neural network based, neural, RBF-like neural, network based identification, identification approach, manipulator dynamics, neural network, RBF-like static, RBF-like, robot, architecture, dynamics is presented, identification, Modelling
allowing prior data, Haskell Dependent types, Dependent types reflect, reflect the fact, fact that validity, relative notion, notion by allowing, allowing prior, data, Haskell type class, Haskell Dependent, dependent types, simulating dependent types, prior data, subsequent data, Haskell type, types, type, types reflect, Haskell
ERP and MIS, MVDs constraints, acyclic database, acyclic database scheme, MIS, database, acyclic, ERP, gamma, large-scale system, database technology, system, database schemes, scheme, performance, MVDs, constraints, important, technology, large-scale
point of view, frequency estimation methods, frequency estimation, Bairstow method, smart structures, estimation methods, multi-modal frequencies, methods, estimation, frequencies, parameter-based frequency estimation, Well-known frequency estimation, natural frequencies, estimations of multi-modal, multi-modal, Real-time, ARMA method, frequency, frequency estimation algorithm, realized in real
differential algebraic equations, partial differential system, algebraic equations obtained, differential algebraic, partial differential equations, partial differential, algebraic equations, original partial differential, discuss the relation, constant coefficients, differential, differential system, linear over-determined systems, Completion to involution, equations obtained, differential equations, involution, equations, properties of differential, algebraic
constructing state-holding Boolean, state-holding Boolean functions, state-holding Boolean, Boolean functions, linear threshold logic, Hysteretic threshold logic, hysteretic linear-threshold, threshold logic, quasi-delay insensitive asynchronous, linear threshold, introduce the class, extension of linear, prove their general, general applicability, applicability for constructing, constructing state-holding, Hysteretic threshold, insensitive asynchronous design, quasi-delay insensitive, quasi-delay insensitive style
Simulating Dynamic Response, Virtual Test Facility, Center for Simulating, California Institute, Institute of Technology, shock physics facility, virtual shock physics, Simulating Dynamic, dynamic response, Test Facility, Virtual Test, solid material response, Technology is constructing, physics facility, material response, materials The Center, target materials, virtual shock, facility for studying, constructing a virtual
UML data models, main database modeling, Object Role Modeling, database modeling notations, data models, main database, Unified Modeling Language, UML data, Entity Relationship, Information Engineering, Engineering and Barker, ORM, Object Role, database modeling, include Unified Modeling, Role Modeling, modeling, Unified Modeling, conceptual schema diagrams, UML
Blind source separation, source separation applied, Blind source, encryption Blind source, dual encryption Blind, source separation, separation applied, explored to add, image cryptosystems, encryption Blind, Blind, existing encryption methods, BSS, source, separation, dual encryption, encryption level, existing encryption, cryptosystems, cryptosystems with dual
quantum information processing, Exploiting randomness, information processing, quantum information, made to play, quantum algorithms, information, randomness, quantum, decoherence, algorithms, Exploiting, decoherence control, Random switching, decoherence channel, role in quantum, decoherence suppression, implementation, implementation of quantum, processing
classifying meteorological volumetric, Environment Canada, meteorological volumetric radar, volumetric storm cells, storm cells classification, cells classification Decision, radar decision support, classifying meteorological, volumetric storm, decision algorithms, database of Environment, classification Decision algorithms, volumetric radar data, radar decision, storm cells, decision support system, decision, cells classification, volumetric storm data, data
TNO HPF benchmark, suite High-Performance Fortran, HPF benchmark suite, TNO HPF, High-Performance Fortran, HPF, Finding performance bugs, Adaptor HPF compiler, HPF benchmark, HPF compilers, provide portable performance, GMD Adaptor HPF, benchmark suite, benchmark suite High-Performance, performance, portable performance, distributed memory machines, Fortran, compilers, provide portable
Senior software executives, creating agile businesses, business process management, entrepreneurial software developer, product development plans, integrated application architectures, leading software companies, world leading software, agile businesses, Senior software, explain the impact, business process, development plans, web services, world leading, impact that web, process management, management and integrated, integrated application, application architectures
testing using P-values, multivariate discordant observations, Appl. Statist., identifying multiple outliers, Identifying multivariate discordant, multivariate normal sample, discordant observations, identifying multiple, computer-intensive approach, approach The problem, normal sample, sample is approached, approached via successive, successive testing, tabled critical, Caroni and Prescott, Comput. Statist, P-values, problem of identifying, Identifying
Manufacturing data analysis, manufacturing enterprise sector, contemporary small manufacturing, small manufacturing enterprise, data analysis, Manufacturing data, prototype manufacturing data, machine tool errors, manufacturing enterprise, Manufacturing, enterprise sector, contemporary small, manufacturing error, data analysis expert, data, analysis, main focus, data analysis framework, data analysis activity, product data analysis
Gowda and Song, linear complementarity problems, semidefinite linear complementarity, strong monotonicity property, complementarity problems, studied the P-property, strong monotonicity, linear complementarity, semidefinite linear, property, monotonicity property, strong monotonicity imply, introduced and studied, symmetric and real, Gowda, Song, P-property, monotonicity, strong, complementarity
security threat today, Honey Pot program, unseen malicious executables, email attachments, Honey Pot, arriving as email, malicious executables, Pot program, unseen malicious, security threat, threat today, malicious, Pot, executables, Honey, SubSeven Honey Pot, SubSeven, program, threat, Trojan Horse SubSeven
customer databases, maintaining and updating, valuable asset, updating the information, information contained, organisations realise, importance of auditing, Data quality, unlocking the ROI, CRM, fail to realise, ROI, Data, realise, ROI in CRM, Today growing awareness, offering data quality, realise the importance, quality, CRM vendors
areas as varied, varied as computer, Canada hosted North, hosted North America, North America, replace physical cash, communities in Canada, Canada hosted, hosted North, America most comprehensive, introduce electronic cash, replace physical, mid-sized communities, electronic cash, Mondex, physical cash, introduce electronic, low-value payments, Canada, North
storage density increases, information storage media, high storage density, optical disk substrates, digital video disks, smaller recording marks, thinner optical disk, optical disk, DVD RAM substrates, insulation layer, birefringence distribution, high-density optical disk, disk substrates, information storage, storage media, high storage, storage density, density increases, digital video, media with high
Winning post, mail systems, wasting money, granted can end, end up wasting, Pitney Bowes, Mike Stecyk, Businesses, mail for granted, opportunities, mail, business at Pitney, Winning, post, systems, suggests strategies, great opportunity, money, granted, end
review of knowledge, Car-caravan snaking, pintle pin friction, friction damping, pintle pin, snaking, pintle, damping, pin friction damping, friction, knowledge of car-caravan, pin friction, Car-caravan, model, shown to give, pin, Coulomb friction damping, detailed mathematical model, baseline, system
process industry Continuous, industry Continuous process, Continuous process monitoring, industry Continuous, Continuous process, monitoring in gaseous, liquid or molten, molten media, fundamental requirement, Continuous, process, sensors, process control, ultrasonic sensors, ultrasonic, process industry, process monitoring, gaseous, liquid, control
mentors and role, role models, computer science, People who make, make a difference, women in computer, literature of gender, gender issues, issues in computing, computing steadfastly, steadfastly and uniformly, uniformly has advocated, recruiting and retaining, retaining women, models The literature, role, mentors, models, science, avoids reiterating details
due to Caratheodory, Caratheodory to derive, generalized Gaussian quadratures, generalized Gaussian, families of Gaussian-type, Gaussian quadratures, Gaussian-type quadratures, introduce new families, weighted integrals, integration and interpolation, Gaussian, Gaussian-type, applications, functions, applications We introduce, applications to integration, integrals of exponential, quadratures, bandlimited functions, bandlimited
Playing for time, negative slant, delays in rolling, networks across Europe, Europe, Playing, time, slant, networks, delays, rolling, negative
Previews of hardware, publishing markets, Tablet PCs, hardware and software, software look promising, markets, Previews, promising for publishing, publishing, Tablet, PCs, hardware, software, promising
IMRT field length, usable IMRT field, jaw overtravel limits, algorithm, jaw overtravel, maximum usable field, leaf sequencing algorithm, IMRT field, maximum field size, usable IMRT, IMRT, areal algorithm, MLC-based IMRT, jaw, field length, enlarge treatment field, jaw position constraints, field, intensity, maximum field
simulation approach based, smoke simulation, density functions, density, traditional particle systems, continuous density field, smoke simulation approach, particle density functions, simulation, smoke, density field, particle, simulation approach, traditional particle, continuous density, particle systems, approach based, hybrid model, functions, field for realistic
psychologists derives prevalently, great potential offered, clinical psychologists derives, central role, communicative medium, medium between patient, patient and therapist, therapist The great, psychologists derives, derives prevalently, great potential, potential offered, virtual reality, reality, clinical relationship, clinical psychologists, clinical virtual environment, virtual, individual potential, potential
maximal cut, randomized algorithm based, maximal cut problem, cross-entropy method, cut, auxiliary Bernoulli distribution, rare events, partition problems, randomized algorithm, algorithm based, maximal, Cross-entropy and rare, algorithm, Ber, cut problem, Cross-entropy, proposed algorithm, Bernoulli distribution, solve the maximal, cut and partition
involve distributed control, maintaining persistent distance, techniques involve distributed, persistent distance education, agent techniques involve, maintaining persistent, distance education, mobile, distance, mobile agents, agents, techniques involve, distributed, involve distributed, distributed control, distance education Mobile, station, education, Mobile agent techniques, persistent distance
urgent research objective, improving the technology, research objective, ever-increasing scale, scale and diversity, urgent research, Internet Search Service, integrated information retrieval, information, Supporting unified interface, Request Broker Architecture, information retrieval, Common Object Request, Object Request Broker, integrated information, Supporting unified, unified interface, CORBA, Internet Search, wrapper
Hybrid decision tree, decision tree, Hybrid decision, named hybrid decision, approach named hybrid, hybrid learning approach, HDT, Hybrid, enables HDT, learning, decision, tree, HDT simulates human, named hybrid, instance space defined, hybrid learning, learning approach named, approach named, HDT simulates, space defined
multiphase contrast-enhanced angiography, contrast-enhanced magnetic resonance, magnetic resonance angiography, multiphase contrast-enhanced magnetic, renal multiphase contrast-enhanced, contrast-enhanced angiography, contrast-enhanced magnetic, resonance angiography, spiral in-plane readout, partition encoding, encoding was developed, magnetic resonance, in-plane spatial resolution, spatial resolution, pulse sequence, CE-MRA pulse sequence, spiral CE-MRA pulse, isotropic in-plane spatial, spiral pulse sequence, angiography A fast
paper presents research, human science, systems at RTRI, railway systems, Recent researches, paper presents, science on railway, systems This paper, presents research, science, RTRI, systems, researches of human, research, human, railway, human errors, Recent, train, evaluate train drivers'
Kinoshita and Nakanishi, concurrent convergence method, dominant AHP, developed by Kinoshita, concurrent convergence, convergence method, AHP, originally developed, dominant AHP consists, convergence, concurrent, Nakanishi, dominant, Kinoshita, method, Mathematical properties, mathematical structure, AHP and concurrent, study discusses, AHP consists
Efficient simplicial reconstructions, manifold, Efficient simplicial, simplicial reconstructions, finite-dimensional differentiable manifold, algorithm, reconstructions of manifolds, samples, space, differentiable manifold, manifold geometry, manifold learning, Efficient, reconstructions, learned manifold, true manifold, simplicial, learning, presented, dimension
sports to entertainment, entertainment to global, Extracting linguistic DNA, linguistic DNA, United Press International, problem for categorization, tantalizing problem, UPI, Press International, DNA, Montreal-based NStein Technologies, United Press, CAI, coverage of America, America war, UPI recognized, correspondents creating thousands, Steve Sweet, Extracting, categorization
National Science Foundation, Technology Workforce Program, Information Technology Workforce, Science Foundation established, untapped resource Building, information technology, Workforce Program, CISE Directorate, National Science, Science Foundation, scientific research studies, Technology Workforce, research studies focused, resource Building, Building on ideas, Foundation established, scientific community, Shortchanging the future, untapped resource, virtual workshop
computer science, proposed solutions, considerable attention, field of computer, solutions have primarily, primarily focused, focused on activities, Ten suggestions, nurturing environment, environment for women, classroom environment, gender-equitable CS classroom, women students, classroom, suggestions for modifications, inviting for women, Ten, science, proposed, classroom Though considerable
distributed Haskells Parallel, Parallel and distributed, multiple processors, computation language, Parallel, language, distributed, Haskells Parallel, distributed languages, Haskell, distributed Haskells, computation, describe the algorithm, describe, processors, language to describe, distributed language concepts, distributed computation, classifies Haskell extensions, classifies Haskell
digital elevation model, elevation model extraction, automated digital elevation, digital elevation, elevation model, DEM, ASTER stereo pair, SPOT extracted DEMs, across-track SPOT, across-track SPOT stereo, ASTER, model extraction results, SPOT, along-track ASTER, ASTER stereo, extract DEM, along-track ASTER data, SPOT stereo, extract DEM data, automated DEM extraction
quantum computers Decoherence, Numerical simulation, simulation of information, information recovery, main problem, computers Decoherence, quantum computers, computers, quantum, methods, error correction, Decoherence, control decoherence, Steane, error correction methods, quantum computation processes, Steane ancilla network, noisy quantum, error, correction
activity based management, activity based, based management, today stormy economic, stormy economic climate, Armstrong Laing Group, Laing Group CEO, Group CEO Mike, CEO Mike Sherratt, today stormy, case for activity, management In today, based, ABM, activity, management, stormy economic, Mike Sherratt argues, economic climate businesses, Armstrong Laing
University College London, University College, College London, Higher Education Funding, Education Funding Council, London to explore, College, University, London, article describes, describes a recent, explore the feasibility, feasibility of providing, improve access, reserves at University, Council for England, Higher Education, academic departments, recent project, project at University
Russian experimental installations, future investigations Problems, Russian experimental, foreign and Russian, reflooding of assemblies, investigations Problems, fuel-rod assemblies, reflooding of fuel-rod, studying the reflooding, installations are considered, experimental studies, experimental installations, conducted at foreign, Problems in studying, future investigations, results of experimental, problems, assemblies, problems for future, reflooding
Lattice Boltzmann schemes, lattice Boltzmann equation, quantum lattice Boltzmann, simulating quantum many-body, quantum many-body problems, Lattice Boltzmann, Boltzmann schemes, Boltzmann equation, applications We review, review the basic, basic ideas, many-body problems, quantum computers, quantum applications, simulating quantum, quantum many-body, quantum lattice, LBE, Boltzmann, equation for simulating
Enterprise content integration, content integration III, Agari Mediaware Media, term Enterprise Content, Mediaware Media Star, Enterprise content, Agari Mediaware, integration III, Savantech Photon Commerce, Context Media Interchange, Mediaware Media, Media Star, term Enterprise, Media Interchange Platform, introduced the term, concept has gained, gained momentum, ECI, Photon Commerce, Agari
design and delivery, technology to facilitate, paper describes, facilitate the design, delivery of warnings, delivery, warnings, design, current product information, technologies can assist, auditory warnings, warning presentation, assist, warnings This paper, current product, computer software, conditions and persons, technology, facilitate, paper
