data and structured information, books named English, Books, Gutenberg Project, Grammar, grammar books are important, Century English grammar books, materials for English learning, important materials, unstructured data and structured, order to systematically analyze, themes and trends
extracting crime reports, India, Crime, discussion in recent years, crimes performed against women, foreground for concern due, eminent topic of discussion, dynamic environment Crime, online newspaper, states, reports, women
Indonesian Folklore, Text, Storytelling is a fun, Word Frequency Concept Storytelling, application, make a summary, Concept, Frequency, affect the character, story, fun activity, children
result helps the novice, Google Scholar, ASNs, discuss issues, questions and build, emergence of Academic Social, data, academic social networks, provided opportunities, information propagation in ASNs, upload their publication, social
sentiment analysis, increase the economic, social media ASEAN Free, free trade area, Indonesian people, stakeholders and students, prepare to face, AFTA, opinion, free, economic competitiveness in ASEAN, ASEAN countries
Key Phrase Extraction, massive non-structured sources, Measures in Hadoop Environment, HTML files, Analytics is the process, extracting relevant facts, advantages and limitations, textual content from massive, Based Entity Key Phrase, process of parsing textual, Similarity Measures in Hadoop, NLP Based
Evaluation of small-group discussions, risk, create concrete and practical, discussion, required to encourage, regional, risk management The role, regionality in disaster risk, include regional information, small-group, disaster risk management, practical plans that include
Automatic, suppress the spread, teaching methods in Indonesia, Ratcliff, E-Learning, answers, Obershelp Algorithm, educational institutions to suppress, students and online assessments, closure of educational, sector due, Automatic Assessment on E-Learning
Style-Based Text Clustering, concept-based representations in document, support knowledge discovery, Computational Intelligence algorithms, Intelligence algorithms can benefit, clustering to support knowledge, Semantic Models, Text Clustering The paper, Models for Style-Based Text, paper addresses some roles, definition of similarity, confirm the effectiveness
reviewing existing literature reviews, contents of clinical importance, informative contents of clinical, Optimally Investigate Gene Data, Network Modelling to Optimally, Data Extracting informative contents, Gene Data Extracting, clinical importance from gene, Robust, Robust Computational Network Modelling, Proposed Robust Computational, analyzing gene expression data
study aimed to analyze, Institute of Statistical, ISSR, Quality Management, Management of Institute, learning, Statistical Studies and Research, Cairo University, objectives of the higher, higher education textbooks, targeted intended learning outcomes, text mining This study
convolutional neural networks, China energy system, model, networks The sustainable development, recognition model based, energy policy text, model based on convolutional, show that the accuracy, policy text classification recognition, layout and steady progress, analysis and interpretation, scientific layout and steady
critical subfield, approach for mining temporal, require assembling, number of subsequence blends, interim based, greedy algorithm Consecutive, expansive number, subfield in information mining, mining is a critical, troublesome issue, made to adjust, temporal pattern database
error correction, features Natural Language Processing, text, Naive Bayes, prominent subject which includes, machine translation, Turkish NLP studies, NLP studies in literature, n-gram features Natural, number of Turkish NLP, categorization using n-gram features, NLP
analysis, Clinical Text evaluation, attendees participate, series evaluations include 10-20, Task, annual workshop where attendees, UMLS Concept Unique Identifier, analysis for natural language, computational semantic analysis, natural language processing, NLP, machine learning methods SemEval
documents, similar, Finding, text, Finding closely matching source, similar implementation of classes, important in software development, source, files, closely, source codes are important, text mining Finding closely
students by the respective, revealed analysis studies, Incorporating Unstructured Text, Programming The revealed analysis, Pair Programming, Factors Affecting Partner, produced affirmative effects, Pair, Network, Selection in Pair, Factors, Multi-Layer Perceptron
people access, Mobile, Mobile Browsing Tracking, tracking sophisticated browsing, make personalized hotel recommendations, user, Text Mining, hotel reviews, smartphones and tablets, prevalence of mobile devices, Internet have changed enormously, Web-based e-commerce like frequent
Financial Documents reveal important, reveal important financial information, clarify the complicated relationship, extract the tuples, Information Extraction System, plays a vital role, utilize dynamic Text mining, Text, Chinese Financial Knowledge Graph, Text mining methods, Knowledge, Financial
practices of establishment, Standard Essential Patents Based, make great contributions, competitiveness and standardization strategy, potential SEPs, technology management theory, development of enterprise competitiveness, identification of the potential, Text Mining, Topographic Mapping The identification, SEPs lack of adequate, Generative Topographic Mapping
Portal Websites, Word Cloud, Trends, Indonesia with text mining, K-Means Clustering Business analysis, Data Using K-Means Clustering, Analysis of Big Data, Business Trends Based, Based on News Portal, Silhouette Coefficient, Data, performed to determine
proved to be valuable, Space Model Computation Visualization, tools to support, Vector Space Model, Threshold, verify the quality, Selection Method for Eliminating, Visualization techniques have proved, valuable tools, support textual data exploration, Eliminating Terms, Otsu Threshold Selection Method
Efficient Analysis of Historical, Scale This paper presents, increasing the versatility, Language Processing, Edinburgh Geoparser, newspapers and books, Historical Texts at Scale, Efficient, wealth of digitised newspapers, Extending defoe, parallel toolbox for querying, facilities provided
Web Mining, techniques are being applied, applied to study, Models and the Semantic, members of Plexilandia successfully, Semantically-Interlinked Online Communities, study the structures, Network, Analysis with Topic Models, Semantic Web Social, predict their evolution, Web Social Network Analysis
show the common, Analytics Approach The Helix, research study focus, Helix team gathered data, multiyear longitudinal research study, project is a multiyear, Systems, Approach, Helix, study focus on understanding, understanding what makes systems, Systems Engineers’ Effectiveness
Historical information, mobile The book, book discusses, place and time aspects, teaching history of Islamic, idea into several device, widely published, show the effectiveness, Islamic inventors based, history, inventors based on mobile, aspects of historical events
sustain Blog-based Virtual Community, Blogs, provided excellent collaborative opportunity, rapid recommendation, Intelligent agent, Virtual, engender or sustain Blog-based, technique to process, knowledge sharing and forming, content to identify, collaborative opportunity for knowledge, Blogs has provided excellent
performance With the rapid, movies and political issues, interest to express, reviews on numerous aspects, machine learning based, show keen interest, rapid development of web, aspects such as microblogs, online social media, social media show keen, increased users of online, highlighting the current
Text-Mining and Topic Modelling, CSR, India are mandated, India, Topic Modelling Techniques, mandated to perform social, CSR Themes using Text-Mining, CSR and environmental practices, reports, perform social and environmental, Develop CSR Themes, specifically corporate social responsibility
process, emails Structured, data from emails, images, data, consists, social media posts, Structured data, typically, extraction, predefined data that includes, cleaning
explore the issues, ASD in their software, Trends, companies to adopt ASD, research area that attracts, Agile, attracts the attention, popular research area, industry, study, Agile Software Development Agile, ASD domain
funding, ontology based text mining, NSFC is the largest, largest government funding agency, NSFC, manage basic research, proposals, fund and manage basic, primary aim to fund, agency in China, common to group, mining approach The NSFC
Quora and Reddit, Text, content from the top, Social Media for Perspectives, suggest that appeals, communication topics on Quora, Text Mining Social Media, study combines text mining, Media, analysis to examine social, mining and content analysis, engineers on Twitter
Objects in Digital Learning, issue of one topic, Moscow Electronic School, Topic Objects, digital transformation, Learning, Text Mining Algorithms, transformation of education, education and the existing, Algorithms to Discover, Learning Repositories The article, backend processes taking place
Korean government, Policy, announced by the South, South Korea The purpose, Core Tasks, Policy in South Korea, direction of the Artificial, government and how key, education policy announced, Artificial Intelligence Education Policy, Analysis of Artificial Intelligence, key tasks are reflected
Enormous, text classification system Based, Nursing Records Analysis System, relationship between the clinical, medical research in finding, Based, Learning, finding the relationship, Enormous amount of unstructured, Machine Learning Enormous amount, system Based on Partial, unstructured electronic health record
technology planning and research, method that extracts text, Mining for Technology Planning, Generating Information Relation Matrix, present a semi-automated method, Information, Planning, Semantic Patent, research and development, related to nanosensors, extract the key technical, natural language processing
raises a Microblog topic, Text Clustering and Topic, solves the problem, Text, handling sparse Micro, Based, Based on Text Clustering, Microblog topic detection method, extract the hot, Topic, method based on text, Topic Model Analysis
risk, analysis, Space engineering risk analysis, risk assessment matrix, essential aspect in RAM, matrix, traditional method, Space, text mining, analysis of space engineering, RAM, RAM structure
adjacency graphs, capture inherent semantic variations, words, text data, paradigmatic and syntagmatic, Random walks, semantic variations of vocabulary, mining lexical relation patterns, big text, vocabulary in human languages, relations, mining
shifted toward Information System, Analytics Framework for Citizen, Citizen science has emerged, Citizen, Indonesian Language Citizen science, Case Study, prompt resolution, resolution of individual field, Contextual Text Analytics Framework, countries to contribute, performance in majority, individual field problems
Algorithm for Document Clustering, ability to handle, typical clustering algorithms, Document, Based, easy to implement, Clustering Based on Knowledge, Knowledge Graphs, Improved, text mining tasks, random selection, text
Technology, mining algorithm, Intelligence Tool Based, achieve sustainable development, Based, Utility Mining, Tool Based on Utility, developed technology intelligence tool, literature, developed, age are extremely limited, today digital age
Computing Machinery Computing Classification, University of Arkansas, Association for Computing, project at the University, Machinery, CCS ontology, browsing interface, Class Labeling, ACM CCS, System, CiteSeerX, CiteSeerX The CiteSeerx project
today world, Huge, data in today, process, comprehensive study of text, form of electronic documents, stored in the form, text, text classification, classification algorithms Huge amount, Huge amount of data, study
Automatic Learning Concept, Exam, emerging interdisciplinary research field, Learning Concept Classification Educational, educational domain, valuable data sources, field, research field concerned, exploring the specific, Exam Questions, specific and diverse data, field concerned with developing
important to perform, Text, key research, field of information, research area in present, feature reduction to reduce, Learning, information retrieval text categorization, classifiers because of unrelated, Features, system, text categorization method
condition, Mobile Application with Expert, common habit for Malaysians, Supplements, health, Mobile, Dietary Supplements Mobile Application, Text Mining, Expert, expert system techniques, System, Dietary
herbal, clinical treatment against disease, framework of traditional, TCM, text mining, Angelica sinensis in Latin, Single Chinese herbal medicine, traditional Chinese, basic element, rules of Danggui, knowledge, Chinese medicine through text
electronic medium, approach to aggregation, web, organizing feature map, web documents, rapid development, semantic suffix tree, document clustering, level analysis, proposed model, issues are identified, internet became enormously high
entity, cases of combination, medicine The paper describes, text, statistical, rule-based and pattern-based approaches, Automatic text, entity properties applied, applied to medical domain, discernment of entity properties, paper describes different cases, extraction applications in medicine
ensemble based on genetic, Latent Semantic Analysis, Text, genetic algorithms Text feature, obtain clustering solution efficiently, feature, clustering, based, efficiently, matrix of huge dimensionality, feature is usually expressed, genetic
analysis of crimes represents, facts from online newspapers, organizations that collect information, Newspaper Articles Online, Theft Crimes, represents a great challenge, identifying the different communes, Perception of Theft, effectively in the analysis, great challenge to law, communes where the greatest, law enforcement agencies
Semantic Graph Completion Modelling, Modelling, Contextual, analysis objective, Building Contextual Knowledge Graphs, Text Mining, learner to advance, graph-based models enables representing, level with an application, Knowledge Graphs for Personalized, Completion Modelling learning objects, Personalized Learning Recommendations
utilizes information and communication, Employee Attendance Mobile Application, Civil Servants, Mobile Application Problems Based, communication technology to provide, Based, Case Study E-government, Analysis of Employee Attendance, Problems Based on User, application called Face Biometric, government administration that utilizes, Based on User Reviews
cognitive psychology theories, Perspective In this paper, follow-up text representation models, Implicit Information, set of follow-up text, general text enrichment framework, Understanding Implicit, based on cognitive, text, Activation-Driven Enrichment, paradigm and a set, study
Massive Microblogging Online Texts, results supports the capability, study the performance, era of Big Data, great interest for research, Analysis for Massive Microblogging, association rules, Online Texts Pattern mining, non-query based system, Mining, widely studied, Sentiment Analysis
web, experience and convenience, mining, User behaviour, framework, bestow rich user, Sequential Web Usage Miner, usage, time and geographical, applications that bestow rich, geographical restrictions, knowledge
significant portion, world population, Space Model to perform, Vector Space Model, Automated Medical Diagnosis, Clinical, text mining, Clinical Data A significant, healthcare success, Data, access to proper healthcare, Diagnosis from Clinical Data
business decision making, community in general, Google Prediction, Intelligence Summary form, realized that the Web, Web based competitive intelligence, invaluable resource for competitive, Extracting Named Entities, text mining, Summary form only given.Businesses, Web, Summary
Resume Processing System Recruiting, candidates are short listed, involves huge man power, Automation for Resume Processing, Process, job is a tedious, Recruiting a right candidate, shortlisting few applications, thousands involves huge, process automation and machine, applications among thousands, System
document, graphical notation, construct a semantic graph, text, interconnected nodes and arcs, graph, Semantic graph based approach, nature, based approach for text, analysis to validate, representing knowledge in form, form of interconnected
wide range of people, users affects the size, Inverse Document Frequency, popular social media applications, users, Instagram users' image captions, TF-IDF, based, data, Instagram, captions, keywords
Sentiment Lexicons by Integrating, paper describes an approach, Sentiment, Financial, stock price data, Constructing Financial Sentiment, Textual, Time-Series Data This paper, reasoning by using distributed, Integrating Textual and Time-Series, capture the characteristics, expanded by analogical
Tourism Place using Naive, text is called text, called text mining, Cross Industry Standard Process, sentiment analysis involves, Bayes algorithm, Place, carry out the classification, Naive Bayes, Analysis on Tourism Place, West Bandung Regency tourism, extracting information
Graph-Based Text Representation, Future Challenges Graph-based text, Art and Future Challenges, Text, important preprocessing steps, Future, graph, information retrieval approaches, Natural Language, methods, Text Representation and Matching, advantages and disadvantages
creating sentence embeddings, today natural language processing, essential part of today, advanced deep learning methods, part of today natural, MIMICIII Clinical Database, sentence, texts, creating, methods, biomedical, NLP
documents, words, Feature Extraction, Page-rank technique for documents, proposes to restrict, calculates the score, confirmed that the method, application of the Page-rank, technique, method, Extraction Using Restricted Bootstrapping, initial query word
Vector Text mining, typical tasks of machine, Text Representation Vector Text, text mining and natural, Text, main and typical tasks, Writing, Styles Based Authorship Identification, Authors' Writing Styles Based, identification approach based, Authorship, natural language processing
Malware, Repeated Patterns Detection, Patterns Detection Mobile phones, Internet and connect, application, Malware Classification Using Multivariate, phones have become nowadays, Multivariate All Repeated Patterns, Text Mining, people, nowadays a commodity, world of Internet
Text Mining to Abstract, Text, Consultation This study analyzes, expression in dream log, Log, Dream, Affective, Assist Dream Consultation, study analyzes affective expression, guide participants focusing, management by text mining, Log to Assist Dream
gather an enormous amount, process, ability to gather, Recent years have witnessed, types of execution, process discovery techniques, witnessed the ability, management processes Recent years, incident management, mining for intelligent analysis, clustering and text mining, enormous amount of data
retrieval method using ontology, information retrieval method based, lack of necessary ability, important content implicit, retrieval, web text mining, ability of traditional, ontology concept for vector, literature information retrieval, content implicit in network, based on ontology Literature, ontology
document, analyzing the document images, process of analyzing, Text, plays a vital role, Text separation, background plays, role, images, easily by applying simple, Otsu method, document images through Otsu
mining plays an important, Content Management Systems, City project in Germany, involves the extraction, Taxonomy mining plays, Representation Approach Taxonomy mining, approach that leverages multidimensional, Smart City CMS, important role, Large Language Model, role for organizing, Multidimensional Knowledge Representation Approach
model, time consuming, vulnerability prediction model Developing, time, complex activity, source code, study, predict, based, software vulnerability models, Developing a secure software, software
presents classification of DRDO, tender, DRDO tender documents, classification This paper presents, Naïve Bayes classifier, predefined categories, fed into Weka toolkit, documents into predefined, Machine learning, DRDO, categories is obvious, learning for automated tender
system concatenates text, design a system, builds on past, research on music, emotional classification, adopts a novel approach, speech In this paper, dialogue based, text and speech context, text, paper we design, human dialogue
web, decision-making process This paper, mining and the decision-making, application focused, paper describes, Real-time web mining application, Web content mining, selected Web, reading the full, improvement and support, solution for the improvement, processes in a reasonable
demonstrates the effectiveness, two-stage approach of named-entity, India, Crime Records Bureau, years and enormous crime, entities, India is on increase, past few years, approach, collection of top, enormous crime reports, crime
governments and private institutions, Clustering Proposals Using Expectation, Expectation Maximization Clustering Algorithm, Selecting Reviewers for Research, Research, Proposals, Expectation, identifies the main, organizations select the proposals, tasks is to select, Clustering, major tasks
sector for the purpose, Students Based on Data, Based, Analysis of Students Based, strategies if the results, Mining, Performance Analysis, Literature Review Data mining, knowledge to support major, purpose of improving, Data, Data Mining Techniques
Coffee, independent coffee shops, Based, Kunming, shops, ontology development by analyzing, research study ontology development, service quality, Coffee Shop Management, China, China This research study, customer comments
Infrequent Items Using Direct, Rule Mining for Infrequent, Direct Importance Estimation, paper proposes a method, Rule, Improving Association Rule Mining, Mining, method, Estimation This paper proposes, Items Using Direct Importance, Direct, Apriori
Japanese Living People, Oral, indispensable basements to improve, Health and Oral Risk, mutual awareness and understanding, Risk Cognition between Japanese, Oral Risk Cognition, Text Mining Technique, main stakeholders, View of Oral Health, Technique Using Key Graph, discuss on the specifically
dialogue systems, propose, words, Time Information, Time, Twitter In this paper, April, acquisition method, paper, Knowledge, propose a knowledge acquisition, Information from Twitter
Latent Dirichlet Allocation, effectiveness and contribution, Competence, operation efficiency and accuracy, examine service provider SPs, Crowdsourcing Context Competence analysis, platform to examine service, text mining, management and operation efficiency, providers is of great, knowledge-intensive crowdsourcing platform, competence identification framework
songs, numerous, Spotify in January, Song Lyrics Topic Modelling, give identity and storyline, songs have important roles, Latent Dirichlet Allocation Lyrics, Modelling Using Latent Dirichlet, Allocation, Indonesians' Song, important roles to give, Lyrics
discussed area, Keyword Extraction Algorithms, Automatic Text Summarization, Document The Automatic Text, Algorithms for Single Extractive, Text Mining, Keywords, Study, Single, Comparative Study, area, original text document
entity, proposed for identifying multi-word, nested biomedical entity, multi-word and nested, combined approach, recognition is the fundamental, entity Name entity recognition, area, nested, text mining area, F-measure, fundamental task in text
paper applies a fuzzy, Semantic Web, overcome the localization, retrieval system for enterprise, enterprise management information system, framework, Ontology-based semantic, concepts, information, system This paper applies, system, fuzzy
method is gradually replaced, Retrieval System Based, Based, replaced by the inference, System Based on Artificial, Artificial Intelligence Technology, Internet, verifies the superiority, Internet Information Retrieval System, manual work of librarians, computer technology and intelligent, Design of Internet Information
Query, retrieval systems, inclusion of irrelevant, initial user query, Query expansion in XML, makes possible the reformulation, terms selection Query Expansion, important component, terms, approach, XML, XML information retrieval
cross-media information retrieval system, system collects Internet information, establishes data index, emergencies In this paper, paper, based on food safety, cross-media, system, food safety emergencies, retrieval system based, food, design and implement
widely used due, single unified, Intelligent XML Information Retrieval, Information Retrieval System eXtensible, Information, flexibility for representing, characteristics of self-describing, System eXtensible Markup Language, representing different types, Language, due to the characteristics, XML
based on LDA three-tier, capture the real intention, Combining Mongolian grammatical features, LDA topic model, query topic, Retrieval Method Based, similarity between the query, model based on LDA, Information, Mongolian, increasingly abundant Mongolian information, Mongolian Information Retrieval Method
Similarity measure, XML documents, complex presentation, information retrieval, structural information, required XML, system, challenging due, appearance of semi-structured documents, database, CASIT model, XML
demonstrates the effectiveness, conventional keyword-based approach, representation improves the precision, keyword-based approach demonstrates, system instead of conventional, retrieval, article presents an ontology-based, Ontology-based information retrieval, designing and developing, documents This article presents, information retrieval for historical, approach
concept In recent years, recent years the explosive, evolution of IRS, system, information, multimedia information retrieval system, multimedia, system based on content, search, retrieval system based, MIRS, explosive growth
self-organizing feature map neural, intelligent data analysis, neural network Information retrieval, map neural network, feature, retrieval is usually referring, knowledge discovery, map, discovery activities, algorithm based on knowledge, text indexing, information retrieval algorithm based
Google Image, format, information retrieval technique, retrieval, concept-based multimedia information retrieval, Unified concept-based, technique, multimedia, explosion of digital data, text, retrieval technique The explosion, including text
Genetic Algorithm-Based XML, Model Finding the valuable, Retrieval Systems, Information Retrieval Model Finding, Systems owing, XML elements, based on the precision, Algorithm-Based XML Information Retrieval, growth of online web, XML, major challenges, explosive growth
arabic, question answering systems, Natural Processing Language, Language, Arabic sentence level, Natural, Enhancing retrieval, Web, sentence level information patterns, novelty detection for arabic, Web search engines, NLP
introduction of digital imaging, attracted significant attention, medical imaging archive software, Multimodal Information Retrieval, Extensible Architecture for Multimodal, beneficial to practitioners, Medical, challenge of medical information, process and retrieve medical, Imaging, wider community of radiologists, Archives
problem of inadequacy, analysis, topic analysis and information, retrieval Research on cross-media, semantic, information retrieval Research, describe cross-media documents, data, multimedia data on Internet, topic, methods, Research
computer vision, Based, Hashing, method generates hashing codes, Information Retrieval Method Based, hashing technology to solve, Multimedia, proposed method, retrieve multimedia information effectively, great importance, Based on Cross-Modal Hashing, learn
Model, Information Retrieval System, Document, maintenance, capable of storage, context Information, Analysis of TF-IDF Model, TF-IDF, system that is capable, important a word, corpus, System
paper proposes a fast, Based on Data Mining, massive library information based, open source framework Hadoop, data mining technology, problem of low recall, fast information retrieval methods, solve the problem, System Based, library resources retrieval, method of massive library, distributed open source
student, information retrieval system based, realizes the classification, based on SSM framework, paper designs, SSM, archives based on SSM, SSM framework In order, status, student status archives based, status file management, system uses the ontology
quickly retrieve vehicle navigation, Vehicle, Real, Time, traditional information retrieval, Location, Internet, Internet of Things Environment, focus on the real-time, Vehicle Navigation and Location, make accurate judgment, Real Time Retrieval Technology
extensively in recent times, information retrieval system, advanced user, upgraded constantly, system becoming more sophisticated, posed by the advanced, Retrieval for Urdu Language, Query Expansion, constantly to meet, Urdu Language The information, meet the challenges posed, augment the query
Teaching, Medical Information Retrieval Teaching, Blackboard Platform, Group A and Group, Group, Medical, effects of Medical Information, compared the final scores, Research on the Effects, Experimental Research, majoring in Medicine, Hebei United University
finding the average, Center based Matching Function, VCF and VCGA, Genetic Algorithm, information retrieval, matching functions for information, based, Virtual Center, VCF, performance, matching, Function
users of information systems, algorithms to generate, Phonetic, popular among users, Malay, retrieval, method, Soundex, search, comparing the output, Malay names retrieval Searching, systems and search engines
similarity measure, Enhancing information retrieval efficiency, unstructured or semi-structured, knowledge intensive organizations, retrieval, based, text repositories and databases, information, large text document repositories, text, efficiency, resided in large text
PCA and Factor Analysis, Sentence BERT, Retrieval System, Based, methods in Natural Language, Embedding Transformation Vector based, Natural Language Processing, Language, Vector Model Based Information, Word Embedding, Vector, Natural
skill set improvement, skill, retrieval system, improvement in software projects, n-ary tree, paper, found, indexing technique is proposed, locates the closest, retrieves the relevant information, exact match, relevant information when exact
Separability of Channel Coding, exploit the nature, Retrieval, Noisy, capacity, non-communicating databases, MAC, Noisy Private Information Retrieval, Channel, PIR, show, characterizing the PIR capacity
automatically identifying the semantics, retrieval cluster structure, order to reduce resource, consumption and environmental pollution, nodes have the function, made efforts to promote, filter the files, rapid development and comprehensive, performs unsupervised machine learning, popularization of information technology, Method Based on Distributed, Machine Learning Method Based
Collaborative Information Seeking, prototype collaborative systems, Seeking, ezDL, Retrieval in a Heterogeneous, Heterogeneous Environment Most information, Information Seeking and Retrieval, limited to support, gap by integrating familiar, Easy Access, Access to Digital Libraries, systems are designed
Platform for Complex Medical, Visual, Complex Medical Information Retrieval, Design, Structure Design of visual, data structure, information in the database, Medical, function, Design of Visual Platform, Retrieval Considering Complex, Complex
alignment With the rapid, traditional unimodal media, semantically match heterogeneous data, rapid development of artificial, difficult problem faced, unimodal media information retrieval, semi-supervised learning method, heterogeneous data and compare, artificial intelligence technology, minimize the discriminative, compare media objects, effectively and accurately semantically
HTML or XML, citizen-oriented services are planned, Applications provide Network Interfaces, Information Society, networked solutions and services, rough-set theory, Conventional DBMS, human applications, Data Mining and Data, services in the Information, services, utility or e-governance sectors
retrieval Our paper discusses, paper discusses how active, understand the impending threat, main hindrance for steganography, information retrieval Our paper, main, possess, paper, hidden information, Active warden, hindrance, steganographers to understand
increased based on Knowledge, sources, retrieval, Knowledge Discovery from information, Present, Prototype survey analysis, based on Knowledge Discovery, classification and grouping, large, grouping, information retrieval approaches, categorical information Present days
analyze the research fronts, information retrieval The authors, maps the co-citation, Web of Science, including SCI, research hotspots of CLIR, ISI, cross-language information retrieval, CLIR, conduct the knowledge mapping, visualization software, mapping based
Mechanism Online data generation, Search, Pseudo, increasing rapidly due, Engines, Retrieval in Search Engines, due to technological development, data, data generation is increasing, Feedback Mechanism Online, Search Engines Using Pseudo, Pseudo Relevance Feedback
Thesauri, DIRS, Digital Information Retrieval Systems, objective of this study, Systems, Retrieval Systems The objective, Thesauri in Digital Information, Scopus and LISA, evidence-based identification, potential applications of thesauri, study is evidence-based, Digital
retrieval method using ontology, information retrieval method based, lack of necessary ability, important content implicit, retrieval, web text mining, ability of traditional, ontology concept for vector, literature information retrieval, content implicit in network, based on ontology Literature, ontology
Cross, Based, accurate English Chinese, Cross Language Information, expand the semantic, Information Retrieval Method Based, Based on Association Pattern, Retrieval, achieve more accurate English, English Chinese Cross Language, Chinese, English
Terrier Information Retrievals, Indexing, emergence terabyte-scale data pose, large, Performance Evaluation, data, Solr and Terrier, raw data extremely large, Retrievals The continuous growing, continuous growing datasets, data pose great challenges, Evaluation of Distributed Indexing
documents in response, model, XML latent information retrieval, describe an XML, information in XML documents, paper we describe, latent, ontology, combine the related instances, Dempster-Shafer theory, XML, retrieval model based
discusses the exist, Content-Based Multimedia Information Retrieval, system structure, Information Retrieval This paper, Retrieval, author discusses, Multimedia, paper firstly studies, lastly the author, exist limitations and prospects, features of content-based multimedia, Research
Terrier, index structure, evolution of internet, users, Word pair index, retrieval system, information retrieval, pair, stored information, accessible on demand, Word, time
vector space model Intelligent, retrieval system using vector, important area, Text, Database table, give the exact, area in computer, search, system, Tamil, model Intelligent information retrieval, computer application
mobile access to peer-reviewed, medical information retrieval engine, peer-reviewed medical information based, increasing quality of patient, potential of increasing, Mobile, Medical, visual image, propose mobile access, paper, based on textual search, search and content-based visual
geographically, distributed, retrieval, rapid development, proposed, information, development of information technology, network, technology, Agricultural, approach, trading
Word, Study Internet in today, people, CBOW or Skip, Query Expansion, Study, Comparative Study, methods, Information Retrieval, time to improve, results, Word Embeddings
retrieval systems play, difficult to draw, improved vector space model, systems play an important, varieties in agriculture website, developed in variety, variety of domains, draw out the relevant, agricultural information Retrieval Systems, customizing the desired information, content matching, improved
binds multimodalities, research that focuses, text, area of research, Content Based Image Retrieval, segmentation approach, Image, information, vast area, single repository, audio and video, Multimodal retrieval system
explosively growing, storage, HDFS features was discussed, retrieval, rapid development, information, development of information technology, sharing, data has been explosively, volume of data, massive, serie method
Discounted Gain and Precision, Precision Performance, systems play, High-Cost Non-Cumulative Discounted Gain, role of meeting, Evaluation Information retrieval systems, high, Information, Metrics, play the critical role, Information Retrieval Evaluation Information, depths
data for Internet users, Firefly Heuristic Optimization Scheme, based Search Importance Rate, Retrieval The main goal, find highly relevant data, websites are populated day, Information Retrieval, Web, growth is tremendous, capable to match, main goal of web, Improve Firefly Heuristic
Retrieval Results Supporting, swift development, technology and relevant information, risen sharply, problems in traditional geographic, Results Supporting User Participation, Geographic Information Retrieval Results, system and global positioning, improved scatter coordinate system, Results, Geographic, relationship between the spatial
processing as the hardware, Design of hospital case, security is greatly threatened, information retrieval system based, hospital case information retrieval, large demand, AES algorithm is proposed, AES, high probability, probability of concurrent requests, improved AES algorithm Due, based on improved AES
Semantic Web, existing textual information retrieval, words, lexical match between words, retrieval, based, information retrieval approaches depend, Web, information, user requests and words, target objects, words in user requests
abundance of domain, biologists to capture, problem, increase the completeness, articles has increased exponentially, needed, Retrieval, Rank Methods, Biomedical, Modified Learning to Rank, Improve Biomedical Information Retrieval, Information Retrieval Using Modified
Northern British Columbia, text retrieval using Latent, based Information Retrieval, Latent Semantic Indexing, Indexing The goal, LSI, stop word lists improves, Latent, lists in Latent Semantic, large text datasets, English stop word lists, University of Tennessee
failure, semantic skolem indexing, skolem, factors in retrieval process, process, knowledge representation, multiple, good knowledge, good, important factors, engine, document content
Model, Retrieval using Vector Space, Web Information Retrieval, Internet as a result, vast amount of data, Vector Space Model, utilised in the study, Model and Docu-Tally Metric, data set, Metric, result of technological improvements, frequently challenging to sift
Model, Improve the performance, query extensions, BERT, Feedback, Recently neural information retrieval, Semantic, Retrieval, Multi-Dimensional Semantic Pseudo-Relevance Feedback, Retrieval Model Recently neural, Incorporating semantic information, spurred many successful applications
popularity of social networks, Art Rich visual information, Art Rich, compelling graphics and visual, important in today Web, content-based image retrieval, State of the Art, Web, author examines the process, visual effects in movies, movies and games, increasingly important
Factographic information, Lemma, forming The effective factographic, disciplines, information retrieval, paper, competences forming The effective, forming, retrieval problem, effective, curriculum, problem has been investigated
accessible sources, unlimited, e-commerce websites using scraping, Increased information retrieval capabilities, data, number of accessible, information, scraping techniques, capabilities on e-commerce websites, crawling, e-commerce, retrieval process
describes a classic case, Study on network, technology This paper analyzes, classic case on visual, deficiencies of traditional information, traditional, based on visual technology, analyzes the deficiencies, based, visual network information retrieval, visual, retrieval and the advantages
scale of data, information retrieval techniques, researchers to extract information, words, Rank, makes it difficult, query, continuous development of biomedical, Biomedical, Retrieval With the continuous, extract information manually, Learning to Rank
Ontology As Internet technology, made in the fields, fields of Natural Language, Natural Language Processing, Ontology, research efforts are extensively, common man, Internet, extensively made, show that Ontological Information, Information Retrieval, NLP
Model, Sentence, complexity is comparatively high, Retrieval Model Combining Sentence, relative work to exploit, Combining, compute the relevant, researchers have proposed relative, exploit the position, Information Retrieval Model, position and proximity information, query terms in language
sections of code, Extending, involves, Code Clone Location Techniques, Code, Information, Retrieval, Location Techniques Bug localization, assist, modified to fix, fix the bug, Bug
effectiveness of semantic information, order to improve, model, Based, carry, Improved Fish Swarm Algorithm, Swarm, Semantic, Semantic Information Retrieval, Fish, Swarm Algorithm In order, retrieval model based
variety of measures, access relevant data, System using Data Ranking, Ranking, Ontology based Semantic Information, Retrieval, Semantic, knowledge, material that meets, meets a specific request, Data, Data Ranking Information retrieval
