named English, books named English, Century English, English learning, Grammar, Century English grammar, books named, Grammar Books, English, Gutenberg Project, English words, English Grammar Books
solve the problem, Education, Intelligent Education Method, system education mode, distance education based, Web Mining Technology, Method Based, network distance education, education based, Education Method Based, single system education, Web mining
Earthquake Disaster Situation, Vector Machine, Naïve Bayes algorithm, Disaster Situation, Support Vector Machine, assistance measures, humanitarian assistance measures, Informative Tweet Classification, Indonesia Twitter, significant disaster situations, Support Vector, Vector Machine algorithms
data, people, social, parties Social media, share their opinions, people emotions, social media, communication technology, emotions, understand people emotions, media, media data
Double Screen Electronic, White Americans, Comparing White, Verbal Communication, double screen EHR, Screen Electronic Health, African Americans, Health Records, Electronic Health Records, Comparing White Americans, Doctor-Patient Verbal Communication, Americans and African
Arabic text categorisation, textual data Text, attracted many scholars, Wide Web, rule based classification, CCA Arabic text, recently attracted, discipline has recently, World Wide Web, decision making, Arabic textual data, Text categorisation discipline
Shallow Parsing Tibetan, Microblog Text, Tibetan text mining, Tibetan text representation, Tibetan Microblog Text, Tibetan text, Tibetan, Text Representation Method, Parsing Tibetan text, Text, traditional Tibetan text, Tibetan text Categorization
Importance-Performance Competitor Analysis, conducting Importance-Performance Analysis, user reviews, text mining techniques, Korean banks, quality of mobile, Online Review, mobile banking apps, Mobile App, derive improvement priorities, banking apps, banking apps compared
Text data mining, analyzing valuable information, data mining, Classifiers Text data, Text Categorization, English texts, Represented With Word, Text Categorization Represented, Text data, data mining process, Homogeneous Classifiers Text, Text
cancer, extract entities related, information, related, biomedical, biomedical information, biomedical informtion related, breast cancer, breast, informtion related, related to breast, text mining technology
Sina, famous news websites, modern society, classification model based, server to provide, model, text, millions of users, Sina and Times, day for millions, text classification, provide information
similar items, fundamental data-mining problems, data-mining problems, data for similar, language, Slovak language Examining, Examining, Slovak language, language Examining data, similarity, Examining data, Slovak
Hamming distance, accumulated a large, algorithm Power companies, data of power, data of transformers, large amount, Power companies, maintenance text data, power equipment, distance algorithm Power, companies have accumulated, Hamming distance algorithm
Massive, important source, text streams Massive, streams Massive text, mining trends, Event graph model, text, text streams, contained in massive, source of information, Massive text stream, Massive text
acceptable accuracy, good text classifier, classifier, concept based mining, efficiently categorizes large, good text, categorizes large sets, text classifier based, reasonable time frame, text classification approaches, time frame, large sets
main purpose, text mining, weighted words, text retrieval, make predictions, text mining techniques, text retrieval field, vectors of features, identify common patterns, Words Representation, common patterns, Graph of Terms
competitive demand, Cyber Physical Systems, Manufacturing and Production, Model Based, Production Engineering Domains, Based Systems Engineering, Based Systems, meet the competitive, Model Based Systems, increasingly complex, Systems, Engineering Domains Manufacturing
Thai knowledge sharing, Thai, Thai research related, Thai Routine, public health practitioners, Thai Routine Medical, Routine Medical Research, Knowledge, Routine, Thai medical International, routine works, Research
Text Mining, Cancer Detection Clinical, patient characteristics, analyzing patient characteristics, Detection Clinical decision-making, Cancer Detection, analyzing patient, Natural Language Processing, Detailed Investigation, data, Natural Language, improved by analyzing
Language Text, terms identification, three-word terms categorization, detailed description, terms identification procedure, Intelligence The paper, three-word terms, Artificial Intelligence, linguistic purposes, Elements of Artificial, Scientific Terms, Natural Language Text
Text Mining, Internet technology, people attention, rapid development, Online Recruitment, Statistical Analysis, Analysis, recruitment information attracts, Online, Online Recruitment Information, Text Mining Technology, development of Internet
Biological Basis, Big Data, Chinese medicine syndrome, Basis of Treating, brought unprecedented opportunities, Big, developing big data, Chinese medicine, Data, big data environment, big data technology, Big Data Mining
Mining Approach Information, based on Text, Text Mining, Product, Size, Market, Market Size, Market Size Estimation, Product Level, size information, Size Estimation Model, Text Mining Approach
mass media, Newspaper online, Indonesian News Article, Automated Text Summarization, Method For Automated, summarization text Indonesia, Article Online media, growing very rapidly, Online, online newspaper, Automated Text, Online media
Language Processing system, Stop Word, contributed and resourceful, Bangla Language, standard Bengali stop, Processing system, Word, Stop, Stop Word Detection, Standard Dataset, Bengali Stop Word, Bangla Language Processing
data sets including, database systems, Selection Methods Data, Methods Data, Data Mining, sets including strategies, designs in substantial, finding designs, Methods Data mining, Data Mining Algorithms, substantial data sets, machine learning
Naïve Bayes Classifier, Bayes Classifier Algorithm, process of distributing, Indonesian Song Lyrics, Song Lyrics Based, technology accelerates, Song, Categorize Indonesian Song, Indonesian language songs, Age, age label, accelerates the process
Text Mining, High, Based on Text, Twitter Based, Text Mining Approaches, Mining Approaches Finding, Identifying High, Finding, department in industries, Based, Twitter, Users
Cyber Security, Scientific Texts, Term Extraction, Extraction, Texts In order, text or collection, terms contained, Automatic Term, Extraction on Turkish, Turkish Scientific Texts, Automatic Term Extraction, important to understand
Code Similarity Detection, detection text mining, source code attribution, Text Mining, Code Similarity, insecure copied code, Identifying Social Networks, Code, effective code similarity, commercial application, similarity detection algorithms, pattern detection text
Breast Cancer Patients, Arabia Breast cancer, Cancer Patients, Analyze Mammogram Screening, Saudi Arabia, Breast, Arabia Breast, rate spontaneously rises, ages after puberty, Saudi Arabia Breast, Analyze Mammogram, Breast Cancer
evaluation model, small micro-enterprises based, text mining, credit indexes based, paper verifies, evaluation, credit evaluation model, credit, empirical study, based, based on text, indexes
real estate market, economic analysis, Text mining, real estate, text-based mining approach, public opinion index, analysis Text, estate, public opinion, analysis Text mining, policy public opinion, Text
Social Media, Text, User-Generated Content, current state, determine the current, Classification, User-Generated, Classification of User-Generated, Real-Time Text Classification, Systematic Review, Systematic, Content
significant commercial, commercial potential, text mining, data is preserved, Algorithms, Text Classification, Support Vector Machine, significant commercial potential, Machine, Machine Learning Algorithms, Text, Machine Learning
Intelligence Trends, Artificial Intelligence Trends, Trend Analysis, Research Trend, gained popularity, analysis of bibliographic, context of text, Intelligence Trends analysis, Research Trend Analysis, IEEE Xplore API, recent era, bibliographic libraries
Social Media, Success of Crowdfunding, Crowdfunding Projects Crowdfunding, success rate, Social Media Reviews, Success, Crowdfunding, Projects, Media Reviews, Media Reviews Effects, Study of Social, Crowdfunding Projects
contagious disease caused, number of fatalities, disease caused, Treatment Modalities Related, highly contagious disease, Identifying Treatment Modalities, significant number, Treatment, PubMed Abstracts, PubMed abstracts related, highly contagious, disease
LSI, Vector Space, document representation model, Space Model, Vector Space Model, common document representation, semantic loss representation, representation model, Latent Semantic Indexing, information retrieval, Arabic Language, Latent Semantic
big challenge, text mining methods, Mining Relevant Text, develop effective, Relevant Text Features, Retrieving Web Information, discover high quality, challenge to develop, Web Information, develop effective methods, high quality, Retrieving Web
Decision Tree, categorization of textual, textual information, web, web content, web content blocking, issues of automated, Decision Tree classifiers, text, automated categorization, inappropriate web, inappropriate web content
Analytics Minitrack Introduction, Mining for Business, Data, Analytics Mini-track, Business Analytics Mini-track, Business Analytics, Mining, Web, Introduction to Data, Minitrack Introduction, Web Mining, Text
text mining, projects based, academic documents, mining, final projects, undergraduate final, text mining techniques, undergraduate final projects, mining is presented, final projects based, based on text, text
mining MOOC learners', learners' review texts, Learners' Loyalty Based, mining MOOC, key factors affecting, MOOC online excellent, factors affecting MOOC, MOOC Learners', Online Review Text, Review Text Mining, MOOC Learners' Loyalty, learners' online review
machine, aims to construct, Fuzziness Detection, machine understanding aims, Thai Law, Procedure Code, Text Classification, understanding aims, Criminal Procedure Code, Detection in Thai, construct an intelligence, Thai Law Texts
members interact online, interact online, knowledge pharmaceutical companies, family members interact, family members, Case Study, Web, Industry An increasing, increasing number, diseases and therapies, Pharmaceutical Industry, members interact
knowledge and understanding, computerized annotation, interactions messaging application, understanding with technologies, annotation and recognition, messaging application network, mobile messaging, peculiar element, application network, element for thoughtfulness, enhance our knowledge, mobile messaging application
Match Analysis, Social Media, sports match, Media Mining, Soccer Match Analysis, Social Media Mining, utilizing social media, team performance, improve team performance, Soccer Match, Wisdom of Crowds’, media mining approach
textual data, inspection involves intensive, Understanding On-Site Inspection, on-site inspection involves, understanding of information, Construction Projects Based, Based on Keyword, involves intensive paperwork, generating large amounts, success of construction, intensive paperwork, Keyword Extraction
data, natural language processing, unstructured data, unstructured data consists, analysis, outage analysis, language processing Nowadays, Nowadays, Automation of outage, processing Nowadays, natural language, consisting of set
Text Mining, Distance Based Feature, multiple feature extraction, Text Classification Text, challenging task due, Distance Based, high dimensionality induced, Multiple Views, Classification Text Mining, naturally structured representation, Feature Extraction, Combining Multiple Views
Digital Traces, Bali, Topmost Destinations User, User generated, digital traces bring, Mining Digital Traces, Destinations User generated, textual digital traces, User generated content, abundant tourist information, Bali ’s Topmost, Destinations User
silos appearing, field of Computing, Text mining, compartmentalized curriculum, case study, study The aim, lead to similar, similar silos, Computing using Text, similar silos appearing, postgraduate research outputs, Exploring interdisciplinary nature
Clustering Approach Based, number of groups, huge number, limited number, unsupervised learning, Text Clustering, Bacterial Colony, Text Clustering Approach, Text, Bacterial Colony Optimization, unsupervised learning technique, Based on Bacterial
recent years, integrated into life, personal feelings anytime, sharing information, fraud group mining, fraud group, gradually integrated, express personal, personal feelings, express personal feelings, feelings anytime, social network analysis
information, compose the system, Time-constrained requirements elicitation, identification of information, requirements elicitation, requirements, system requirements, identifying facts, GitHub content Requirements, facts that compose, information sources, reusing GitHub content
powerful source, detecting real time, time road traffic, time event, real time event, real-time nature, time road, Real time, Real time road, real-time nature Twitter, time event happening, traffic event detection
Random Forests, Convolutional Neural Network, major journals, journals and conferences, Systematic Literature Review, Text Classification, Support Vector Machine, Naive Bayes, learning, Support Vector, Text, Methods
innovation capacity, increased competitive pressure, increase a company, pressure in globalised, counter the increased, competitive pressure, Product Environment, Topic Modeling, identifies innovation potentials, increased competitive, globalised markets, Innovation Potentials
main purpose, Latent Dirichlet Allocation, Fintech users, OVO Fintech user, Fintech user comments, Latent Dirichlet, OVO Fintech, Fintech, OVO e-wallet Fintech, User Comments, OVO, OVO Fintech application
experiencing a huge, stemmer to improve, rules-based stemmer, huge growth, syntactic rules-based stemmer, improve search effectiveness, volume of exchanged, arabic language Nowadays, world is experiencing, Nowadays, exchanged texts, Building a syntactic
comparison study, data, present comparison dimension, comparison dimension methodology, data mining, IBM SPSS, mining tools supports, data mining tools, RapidMiner and IBM, regression methods, present comparison, Recommendation for SMEs
Medical Subject Headings, topic modeling, Text Fingerprinting, Fingerprinting and Topic, Latent Dirichlet Allocation, Opioid, Literature Prescription opioids, powerful pain-reducing, Prescription, powerful pain-reducing medications, Prescription Opioid, Topic
Learning, aware emotion mining, learning analytics methods, culture aware emotion, relevant data, Learning analytics, improving learning materials, methods allowing, allowing the measurement, understanding the behavior, ontology based text, purpose of understanding
Syllabi Similarities, Discover Syllabi Similarities, Methodology to Discover, Higher Education Institutions, manual work due, Discover Syllabi, Institutions Students' mobility, Similarities among Higher, Higher Education, Text Mining Methodology, Education Institutions Students', Students' mobility
data mining, mining, sphere of human, Evolution of data, overview Knowledge, Data mining refers, significant role, human life, Knowledge, played a significant, data, acquire knowledge
Knowledge Discovery, Discovery in Database, mining, raw data, Database, Data mining, KDD, Data mining techniques, Knowledge, Data, Discovery, decade review Data
Global, Niche, high market share, Free Description Data, Analysis of Free, Global Niche Top, Niche Top, Niche Top Companies, Top, globally high market, company has globally, Top Companies
data, text mining, Rough set, Rough set based, text data, sample Text, Text data set, text, feature selection, text mining Text, combination of characters, set
Term Weighting, approaches can extract, noises, Feature Selection, Weighting Term-based approaches, features, noises data, documents, Term Weighting Term-based, Term-based approaches, Selection and Term, training documents
Text Mining, presents a comprehensive, Industry, study presents, Exploring the Impact, FlightGlobal website, Aviation, Impact, Aviation Industry, Approach Our study, Text Mining Approach, applied text mining
Cloud Computing, analyzing open source, Analysis System Based, Domestic Platform, Based on Cloud, Information safety, Computing and Domestic, Open Source, Domestic Platform Information, Open Source Intelligence, Source Intelligence Analysis, Platform Information safety
consumer behavior rules, netizens related hypothesis, innovation of Internet, evolution diagram visualization, online shopping commentary, Internet users social, related hypothesis evaluation, semantic web structure, network evolution diagram, diagram visualization description, social network evolution, online shopping reviews
Requirements, Data Mining Approach, Software Requirement Specification, Capturing Users Requirements, Data Mining, Capturing Users, critical role, software project, software, project, plays a critical, software requirements plays
Enterprise Intelligence Text, Analytics for Enterprise, Intelligence Text data, enterprise data, Multi-structured Data, Analytics, constitutes the bulk, Multi-structured Data Analytics, Text data constitutes, Intelligence, Data Analytics, Data
Social Media, Media Research Online, Marketing, business due, Media Research, Social Media Research, cost effectiveness, broader range, Online, effectiveness and broader, Online Marketing, effective marketing strategies
proposes semantic graph, Clustering Algorithm Based, Text, paper proposes semantic, Graph, Graph Structure, Text Clustering, Semantic Graph, semantic similarity matrix, Semantic, Semantic Graph Structure, optimize graph structure
Manufacturing processes, Digital Twin, Digital Twin Software, Techniques Manufacturing processes, improve supply chain, Twin Software Overview, process setting time, production process flexibility, Mining Techniques Manufacturing, total process real-time, process real-time monitoring, Text Mining Techniques
Sentiment Analysis, text mining, natural language processing, Sentiment Analysis Methods, Review Sentiment, research field, Analysis, Sentiment, vital research field, natural language, vital research, Methods
Cognitive Domain, Text Mining, high orders based, Bloom Taxonomic Cognitive, classify learning objectives, Bloom Taxonomy, Taxonomy Bloom Taxonomy, Taxonomic Cognitive Domain, evaluating student achievement, Text Mining Approach, Taxonomy Bloom, Bloom Taxonomy Bloom
important safety, Text Mining, safety concern, important safety concern, Rail accidents represent, Contributors to Rail, Rail Accidents Rail, Rail, Accidents, represent an important, Federal Railroad Administration, Accidents Rail accidents
Interaction Mining traces, Human Computer, Computer, Computer Interaction Mining, environment through Human, Human Computer Interaction, Human Learning, Computing Environment, environment, Human, Interaction, motivation
text mining, higher order relation, comparative study, concept and association, relation extraction, relation, current technologies, biomedical literature, order relation, literature comparative study, require an understanding, approaches
Wearable Medical, years in diagnosis, Wearable Medical Devices, Medical Devices, care has proliferated, past few years, smart wearable, prediction and treatment, Medical Devices Adoption, Wearable, proliferated rapidly, smart wearable devices
social growth, fraud detection Fraudulent, Fraudulent financial reporting, Fraudulent financial, detection Fraudulent financial, nation they belong, global phenomenon, qualitative information, economic and social, adversely affecting, financial statement fraud, affecting the economic
sentence simplification system, biomedicail text Text, Text mining, simplification system, biomedicai text mining, natural language processing, system for biomedicail, Text mining applications, long and complicated, natural language, text, confronted with long
improved KNN method, traditional KNN classification, Improved KNN classification, algorithm calculation volume, text classification process, KNN classification algorithms, categorization Text classification, text categorization Text, Rocchio classification method, KNN classification, Improved KNN, category training document
Text Mining, Markov Chain, Arabic word, Hidden Markov, Mining, present work, Hidden Markov Chain, Arabic Text, Arabic, Text, Arabic Text Mining, radical descriptors
literature, text mining, recent years, mining, vast amount, terms, Ontological Terms, produced and published, biomedical literature, text, Biomedical, Med Central
traffic safety analysis, Text Mining, State-related Crash Narratives, Chinese State-related Crash, Crash Causing Information, Crash Causing, Narratives Crash data, state-related crashes, Causing Information Extraction, Crash Narratives, Crash, Text Mining Techniques
information acquisition process, Text Mining, Map Construction, information technology, Bee Colony Algorithm, Artificial Bee, Knowledge Map Construction, Mining and Artificial, acquisition process, Artificial Bee Colony, Knowledge Map, information overload
textual bases, text mining, introduces the Cassiopeia, texts, pre-processing stage, order to improve, improve measurement, discovery in textual, antagonistic domains, text clusterization, work introduces, clustering This work
numerous occasions, highly selective, selective by assessing, Trends Based, Projects Current research, Projects Current, Current research, occasions where companies, Crowdfunding Projects Current, Ideas and Trends, Identifying Product Ideas, failed innovation attempts
Data Mining Techniques, Literature Review E-government, Complaint Reports, suitable data mining, Data Mining, Data, Systematic Literature Review, Mining, big data analysis, Review E-government complaint, E-government complaint service, complaint service
Intelligent Manufacturing Association, Manufacturing Association Rules, Pattern Recognition, association rule data, improved association rule, data mining algorithms, Data Mining, artificial intelligence theory, Intelligent Manufacturing, improved pattern recognition, improved pattern, rule data mining
text mining, text mining applications, mining, vast amount, forms is vital, document, Text Categorization, managing a vast, vector evaluation method, text, digital forms, Punjabi document classification
Text mining, Similarity Text, Detecting Document Similarity, Parameter Selection, Algorithm, Parameter, Detecting Document, Similarity Text mining, plagiarism, Algorithm In Detecting, Rabin-Karp Algorithm, Document Similarity Text
involve a variety, questions about maintenance, variety of contents, Voice of Customers, Sales Potential, Voice, Negative Attitude, call centers involve, Call Centers, customer services, enhancing customer services, coming through call
software development, Bug Tracking System, Based on Initial, software quality, Initial Bug, Bug Reports, Initial Bug Reports, Case Study, ranks files based, Bug Tracking, Bug, improve software quality
Applications in Indonesia, Latent Dirichlet Allocation, User Comments, Fintech users Ovo, Latent Dirichlet, compare user comments, Indonesia, Fintech E-wallet, Analyzing User Comments, Analyzing User, Fintech E-wallet Applications, main objective
Choquet Integral, text mining, recent years, Expert Text Classification, Expert Text, Classification Algorithm Based, Text Classification Algorithm, Classification, Text, k-Highest Expert Text, hot topic, Algorithm Based
plays an important, mining Data, strings of symbols, data mining, important role, mining Data compression, modality of evaluating, data mining Data, Data compression plays, complex objects, evaluating similarities, compressibility of strings
Negative words, Positive, rapid development, great impact, rapidly and spreads, Comparison and Analysis, spreads more widely, public opinion forms, public opinion, forms more rapidly, network public opinion, network public
strategy in China, Text Mining, rural revitalization, Knowledge Association, Rural, China makes, Mining, rural revitalization strategy, Rural Persona Based, LDA topic mining, rural tourism, Association The implementation
paper proposes, text mining, classify, method extracts characteristic, Visualization of similar, similar articles, analysis and text, network analysis, method, articles, mining This paper, combining tf-idf
Text Personality assessments, Proactive Personality Classification, short answer texts, Weibo, Self-Reported Proactive Personality, dependent on self-reports, Short Answer, Weibo Text, Support Vector Machine, Answer Text Personality, Text, machine learning
Embedding Methods, Patent, text mining, Comparison and Analysis, requires domain knowledge, Patent Documents Patent, Patent Documents, Methods for Patent, Patent text mining, Documents Patent text, requires domain, Patent text
Text Mining, sequences or patterns, breaking down instances, Mining Crime analysis, Crime, Analysis, discerning and breaking, instances and sequences, Analysis using Text, Crime Analysis, Text Mining Crime, expedites the pave
Mai Tourism Administration, Chiang Mai tourism, Chinese Tourists, Chinese Tourists Journey, city of Thailand, Mai City Chiang, tourist density map, delivered in details, Chiang Mai City, Chiang Mai, Mai City, City Chiang Mai
stem or root, generally written word, word form, inflected words, written word form, Arabic text summarization, Arabic, text, Arabic text, reducing inflected words, text summarization performance, text summarization Stemming
texts Phrase, computing phrase weight, text mining, computing phrase, texts Phrase identification, Mining, text mining studies, frequencies is employed, employed in text, identification using frequencies, Mining and computing, phrase
fields like natural, mining consist, literature review Sentiment, text mining, Opinion mining, mining, natural language processing, review Sentiment analysis, literature review, natural language, making and linguistics, opinion mining consist
Denoising Method, text mining methods, text mining, Meaning, Signal Denoising Method, large data sets, Signal Denoising, Denoising, Text Meaning Vectors, select relevant information, Text, data
Text Mining, Mining Techniques Political-related, Legislative Yuan, popular topics, Media, Legislative, Media Framing, Automatic Content Analysis, Legislative Yuan website, Text Mining Techniques, media platforms, Content Analysis
young university, universities make enormous, techniques, main concern, remains the main, literature review, Systematic literature review, Logistic Regression, graduates remains, Item Response Theory, university graduates remains, young university graduates
respond and suggest, social network, customer, social, institution Now days, empirical study, social media, distortion detection, detection on OSN, days customer expect, OSN using NLP, banking institution
Engines Text, Text Mining, Engines Text Mining, Text Mining refers, unstructured textual data, KeyTerms Extraction Methods, Extraction Methods, Comparative Analysis, interpret text mining, Personalized Search Engines, Search Engines Text, text mining algorithms
Key Service Features, Identification of Key, Key Service, digital experiences, Recent advances, seamlessly blends real-life, creating a virtual, virtual world, evaluating service quality, Approach Recent advances, Text Mining Approach, Mining Approach Recent
Latent Subspace, Document Latent Subspace, challenge to discover, unlabelled text data, dimensional and sparse, latent clustering subspaces, Latent, Latent Subspace Clustering, PLSA Factors Text, high dimensional, great challenge, common distance measure
Hierarchical Fusion Based, Fusion Based Data, Big Data, Data Servers Hierarchical, analyzing high density, Data, Based Data Mining, High Density Data, Density Data Traffic, Enhanced Performance, Servers Hierarchical fusion, Big Data Servers
text mining approach, unprecedented popular protests, protests Since October, popular protests, Social big data, entire political class, political class, demanding the departure, experienced unprecedented popular, Lebanese protests, gangrened by corruption, Twitter text mining
Stories Identity theft, Theft Stories Identity, sectors in society, abuse are problems, Identity Theft Stories, market sectors, Identity Threat Behaviors, Identity Theft, affecting all market, problems affecting, Theft, Identity
mining and summarizing, feature extraction based, data mining, extraction based, conditional, joint conditional entropy, joint, extracting, joint conditional, important task, entropy, data
generating taxonomy automatically, primary step, impact automatically generated, taxonomy, preprocessing, techniques, noisy than structured, automatically generated taxonomy, inconsistent and noisy, essential and primary, preprocessing techniques, step in generating
Information and Electronic, Sentiment Analysis, social media network, Netizen Sentiment, Investigation of Netizen, Sentiment, Electronic Transaction Law, Law The society, Netizen Sentiment Analysis, Controversy of Information, important roles, Transaction Law
levels to succeed, Text Mining, Exploratory Tests Software, Release Notes relevant, Exploratory Tests, Software products, show high-quality levels, Release Notes, Process, competitive market, Text Mining Process, Relevant Areas
recent years, mining research areas, qualitative approach, Propagation Analysis, web news retrieval, Retrieval and Extraction, retrieval, retrieval and mining, survey on web, years based, recent years based, Content Analysis
sentiment analysis, opinion, Text mining, GST, social, modern era, GST tweets, Naive Bayes algorithm, Naive Bayes, Sense GST, era of communication, Text
Links, Learning, Trophic Links, Evaluation, probabilistic food-web, generate a probabilistic, food-web from Farm, automatically generate, Machine Learning, Machine, Farm Scale Evaluation, Farm Scale
Internet, Internet Service Provider, retention is deemed, Customer emotional, Provider Customer emotional, service businesses including, Internet Service, Provider Customer, Service Provider, Kansei-based mining design, Customer emotional satisfaction, Service Provider Customer
User Influence Network, Network Construction, important user data, user data sources, Social Network Analysis, Influence Network Construction, development of Mobile, Mobile Internet, Construction Approach Based, Network Analysis, Web Mining, Network Construction Approach
automatic review, words, review summarization, summarization, stop words removal, Stop, ranking model TextRank, presents a comparison, Stop words, comparison of automatic, automatic review summarization, paper presents
Automated Dataset Construction, web pages, Web Resources, Tool, Construction, text mining tools, Construction from Web, Web, applied directly, Dataset Construction, Automated Dataset, data
Term Weighting, data a tedious, unordered and independent, Supervised Term, made the manual, Supervised Term Weighting, huge amount, manual organization, Automatic text classification, text, text documents, text classification
accomplish marketing goals, effective strategic management, marketing goals, discovering success factor, factor relationship entities, Automatic discovering success, named entity, success factor relationship, organizations is crucial, performance as high, named entity recognition, Inter-organizational Relationship
scheme for extracting, collaborative social interaction, structured based, environments Personalized e-learning, environments Personalized, educational environments Personalized, Personalized e-learning systems, e-learning systems, personalized, social interaction tools, personalized educational environments, personalized educational
paper presents text, data mining, Genetic Programming, Vector Machine, employs Multilayer Perceptron, Detecting phishing e-mails, Support Vector Machine, Probabilistic Neural Net, Decision Trees, Support Vector, tandem to detect, Data Handling
Developing Expert, High, Information Retrieval system, electronic form, availability of computing, large amount, Preprocessing of High, computing facilities, Expert IR System, High Dimensional, High Dimensional Dataset, Dataset for Developing
Text Mining, data mining, mining, frequent N-grams, comparative study, data mining developers, frequent, N-grams, Text Mining projects, Text, data, projects
Social Networking Sites, Support vector machine, Analysis Sharing short, Sites has contributed, Comparative Analysis Sharing, Networking Sites, Machine Learning Techniques, Text Classification, Sharing short, Machine Learning, contributed to rising, Sharing short reviews
populartrend on internet, Uploading, timestamp comments, video sharing, Video, folksonomy Uploading, websites, video sharing websites, comments, sharing, Uploading and sharing, internet recently
diagnosing medical, summaries, medical diseases, Mining case summaries, computer-based learning, BioWorld, case summaries, diagnosing medical diseases, case summaries written, designed to support, learning environment, computer-based learning environment
Vectors, Additional Corpus, Additional, text mining applications, Unknown Words, paper proposes unsupervised, Word Vectors, Word, Unknown, generated word vectors, Word embeddings, Corpus
Feature, text mining, dimensional text documents, high dimensional text, documents Feature dimensionality, mining documents, reduction, text documents Feature, Dimensionality, text documents, increases complexity, key challenges
major issue, Main, Extraction, main textual content, input content prior, Main Content Extraction, noisy input content, Web, Main Content, single web page, web page, Content
Final Project, Document, Final, Project, Clustering Algorithm, Term, Weight Term, Weight Term Document, Document in Clustering, Term Document, Online Learning, final project document
Requirements, Support to Capture, Automated Support, quickly and accurately, Practitioner View, accurately capture requirements, accurately capture, Agile, Development, Agile Development, Support, View
multi-agent systems, data mining, data volume, networks connectivity, past years, distributed data mining, major research topics, distributed data, Cloud computing, topics in information, major research, information systems
Islamic Law, Text Mining, Developing Adaptive Islamic, Shari'a Law, Islamic Finance, Mining the Holy, Adaptive Islamic Law, Law Business Processes, eningineer current business, reverse eningineer current, Islamic Law Business, current conventional practices
data mining techniques, data mining, mining, collect the related, information that demonstrate, related information, mining in healthcare, Importance of data, health, health data, data, demonstrate the importance
Social Textmining, technological innovations, Revolution, Industrial Revolution, Customer Satisfaction, institutional and policy, Customer Satisfaction Analysis, Industrial, Public, policy innovation increases, Public Institutions, Textmining
accurately identify electrical, Learning Model, data-driven approaches, recent years, attention in recent, Text Mining, Weakly-Supervised Learning Model, Fault Diagnosis, attracted much attention, automatically and accurately, accurately identify, approaches has attracted
Automatic Authorship, Arabic Documents Authorship, Authorship Attribution, research area concerned, Ancient Arabic Documents, Evaluation of Automatic, Performances Evaluation, Ancient Arabic, automatic classification, Automatic Authorship Attribution, Ancient Arabic Philosophers, text documents based
Information, Social Media, Social Media Posts, Volunteered, Geographic Information, Data, Media, Social, Volunteered Geographic, Volunteered Geographic Information, Geographic, Transforming Social Media
system captures, rationale, existing documents, extraction from existing, Exploring techniques, decisions made, designers' and developers', software system, developers' intent, captures the designers', software system captures, rationale extraction
research we exploited, laws of motion, investigated a virtual, forces and Newton, Speech Data Mining, Representational Flexibility Development, Newton laws, Tracking Representational Flexibility, exploited and investigated, flexibility learning environment, learning environment, virtual reality
graph, mining, Text Graphs Graphs, wide range, Text Graphs, range of domains, including text, Scalable Similarity Evaluation, query text, Text, web mining, including text mining
look-up architecture, text mining, text mining applications, distributed look-up architecture, distributed look-up, text analysis algorithms, compute local, compute local characteristics, global optimization methods, computed locally based, study text analysis, study text
Chinese Railway, Chinese Railway Accident, deeply are important, Accident Reports, past accident records, Accident Reports Learning, prevent future accidents, Reports Learning, Railway Accident Reports, records to understand, Extraction and Analysis, Risk Factors
Text Mining, outcome than desired, Mining for Standardized, Quality, remain on time, Standardized Quality Criteria, Mining, Natural-Language IT-Requirements, Quality Criteria, precise specification, budget constraints, Standardized Quality
Sentiment Analysis, obtain sentiment information, YouTube video comments, Classifier Sentiment, Classifier Sentiment analysis, Naïve Bayes, Vector Machine, processing textual data, Support Vector Machine, sentiment information contained, Support Vector, textual data automatically
Reactions to Natural, Text Mining, Social Media, Social Media Content, Analyze Social Media, Understanding Reactions, Approach to Analyze, Content Social media, Media Content Social, Analyze Social, Media Content, Text Mining Approach
Feature, Abstracts, text position, overview of respective, Idea Identification, respective research topics, research topics, Feature for Idea, Text Abstracts, meant to provide, condensed overview, Position as Feature
Smart Cities tackles, Social Media, Media Feeds, Arabic Social Media, Smart Cities Research, population growth combined, Smart Cities, urban population growth, Social Media Feeds, rapid urban population, Smart City initiative, resources' scarcity
indexing Extracting knowledge, computation and accelerate, Extracting, Arabic document indexing, large amounts, reduce its computation, taking its full, indexing Extracting, accelerate processing, document indexing Extracting, Extracting knowledge, knowledge from text
research-into consumer products, Consumer Product Recognition, Consumer Product, significant proportion, User Generated, proportion of web, Large Product Catalog, Large Product, Product Recognition, User Generated Postings, Recognition within User, Postings and Normalization
Turkish, Turkish documents, weighted occurrence frequencies, bag of words, frequencies of individual, weighted occurrence, Turkish Wikipedia, existing text classification, represented as weighted, individual terms, BOW, Exploiting Turkish Wikipedia
Approach Exploring, recent years, textual data produced, huge amount, produced by microblogging, Exploring potentially, Deep Learning Approach, Approach Exploring potentially, amount of textual, Deep Learning, microblog texts, Learning Approach Exploring
world wide web, Web Usage Mining, Web Content Mining, Web Structure, huge amount, wide web, Mining, everyday huge, Web, Web Structure Mining, Web Mining, everyday huge amount
