Grammar Books, English Grammar Books, named English, order to systematically, adopted to study, English learning, English Grammar, Century English, Century English grammar, named English Grammar, important materials, English, books named English, Gutenberg Project, Text Mining, books named, unstructured data, Grammar, Books, English words
civil aviation, analysis model based, accident symptoms, contained in voluntary, Model Descriptive, symptoms is contained, Aviation Unsafe Information, Aviation Unsafe, Unsafe Information Text, Information Text, aviation safety, Information Text Analysis, Text Analysis Based, Based on Improved, Unsafe Information, voluntary reports, civil aviation safety, Descriptive information, Model Descriptive information, Analysis Based
popular community-based, Tango, Overflow, Overflow Question, Meta Features Stack, Deleted, Stack Overflow, Stack, website that caters, Deleted Stack Overflow, Deleted Stack, Overflow Question Prediction, Deleted questions, Features Stack Overflow, Meta Features, questions, caters to technical, software developers, Features Stack, Stack Overflow Question
Thai text, text topic modeling, digital social, proposes Thai text, Thai Facebook posts, topic modeling, Facebook young adult, topic modeling system, Thai text posts, discovering group interests, largest digital social, popular social network, network in Thailand, Thai text topic, adult users Facebook, young adult users, social network, popular social, group interests, digital social network
Performance Text Exploration, Performance Text, increasing amount, Reliability, unstructured text data, Text, Warranty, performance unstructured text, performance unstructured, data, Performance, Exploration, opportunity to learn, golden opportunity, reliability professionals, Exploration for Modern, Text Exploration, maintainability models, text data, unstructured text
requirements elicitation activities, Student Learning Applications, Requirements, Baleendah, Text Mining approach, Student Learning, Requirements Specification, Specification in Student, Software Requirements, applications for students, Learning Applications, Elicitation Software Requirements, development of learning, similarity, Text Mining, Baleendah Based, Software Requirements Specification, Case Description, Case Diagrams, students of SMKN
Big Data paradigm, Financial Protection, Natural Language, Financial domain, Text Analytics, Big Data, provide some insights, application domain, attempts to provide, Financial, Natural Language Processing, mining and Natural, NLP, Processing, Financial Protection Bureau, text mining, Language Processing, Consumer Financial Protection, research attempts, Consumer Financial
Detection Tool, Debt, Self-Admitted Technical Debt, detect SATD comments, long-term software, SATD Detector, Debt Detection, SATD, Debt Detection Tool, Self-Admitted Technical, software projects, long-term software quality, technical debt metaphor, propose SATD Detector, Technical Debt Detection, detect SATD, Technical Debt, achieve short-term goals, Technical, SATD comments
Based on Patient, Effectiveness Based, Effectiveness, Patient, disease, curing a disease, ingredient intended, Drug, data, Patient Condition, K-Nearest Neighbor, drug depends, drug review, establishing the diagnosis, Drug Effectiveness Based, Text Mining, disease or symptom, Drug Effectiveness, Mining, Text
activities today, pedagogical activities, text mining method, wide-spread popularity, technology-enhanced learning platforms, data mining, pedagogical activities today, activities today involve, online technology-enhanced learning, involve learners, Internet and wide-spread, today involve learners, online technology-enhanced, data mining approach, technology-enhanced learning, synchronous chat, today involve, online discussions, mining approach, learning platforms
Large-Scale Social Restrictions, conduct text mining, Social Restrictions, enacting Large-Scale, Scale Social Restrictions, Social Restrictions forced, Large-Scale Social, Online Lectures, enacting Large-Scale Social, Restrictions forced, Scale Social, Pandemic Strategy, lectures online, Online, Text Mining, Sentiment Analysis, conduct lectures online, virus in Indonesia, Indonesia by enacting, universities in Indonesia
venue where patient, increase of adopting, Massive Biomedical, patient histories, Literature Repositories, histories are analyzed, Biomedical Literature, conduct clinical research, Massive Biomedical Literature, promising venue, Knowledge Discovery, Electronic Health, adopting Electronic, biomedical literature introduced, Biomedical Literature Repositories, Electronic Health Records, Linking Knowledge Discovery, adopting Electronic Health, Health Records, analyzed to conduct
Text Analysis, features visual text, large collection, Visual Text Analysis, Corpus-Based Language Learning, Interactive Visual, Language Learning, patterns and structures, Learning, Corpus-Based Language, automatically analyzed, Visual Text, recent years, structures using interactive, Interactive, natural language processing, supports corpus-based language, Text, Language, Interactive Visual Text
Recommender system, systems Recommender, web personalization, Web usage, interface of user, Web usage mining, mining, recommender, usage mining, reliable interface, recommender systems Recommender, encourages efficient exploring, system, systems Recommender system, website or app, text mining, user, ontology development, personalization for ontology, mining and text
recommender agent systems, rapid growth, recommender agents, Contextual Knowledge, consumers with personalized, electronic transactions, electronic transactions conducted, Mining Contextual, Internet, Recommender Systems, Context-Aware Recommender Systems, personalized product recommendations, transactions conducted, proposed to provide, text mining, number of electronic, personalized product, provide consumers, Mining Contextual Knowledge, Recommender
based text analytic, approach Social, dissemination during crisis, Social media, sources of information, enhanced LDA, information dissemination, oriented Sentiment classification, sentiments, oriented sentiment analysis, analytic approach Social, Aspect oriented Sentiment, text analytic approach, LDA based, Sentiment classification, crisis and pandemics, approach Social media, LDA based text, important sources, enhanced LDA based
health problem, public health problem, Meridian, text ming Hypertension, major public health, kidney complications, Traditional Chinese Medicine, ming Hypertension, public health, morbidity and mortality, major public, cerebrovascular and kidney, hypertension, health problem due, TCM, hypertension based, acupuncture therapy, Traditional Chinese, Chinese Medicine, problem due
Politics-based Roman Urdu, social media, Pakistan, Dataset, Roman, Opinion Mining, today world, data, Roman Urdu, exponential rate, Urdu Dataset, Politics-based Roman, Roman Urdu Dataset, text, Inflation, Mining, data volume, Urdu, volume is immense, Opinion
Parasites affect millions, Similarities, report, gene-proteins, discovering hidden, Similarities for Parasites, paper we report, paper, MEDLINE, discovering hidden patterns, Parasites, MEDLINE database, abstracts from MEDLINE, Discovery, database, hidden patterns, symptoms and gene-proteins, study for discovering, symptoms, patterns in commonly
Thinking Support Method, Mining for Inspiration, Creative Thinking Support, cyberspace by crawling, Creative, Support Method, collect text, Creative Thinking, collect text data, crawling and scraping, Development of Creative, Method through Text, keywords from cyberspace, multiple keywords, Thinking, Method, Text Mining, Thinking Support, Text, text data
Literature, Healthcare, Transformation, institutional provided, personal and institutional, Analytics' Web, Clarivate Analytics', human lives, Digital Transformation, Healthcare Digital, including personal, aspect of human, institutional provided healthcare, Web of Science, Healthcare Digital transformation, Literature Review, Digital, provided healthcare, Review, Clarivate Analytics' Web
Gradient Boosted Machine, Classifying, Based on Indonesian, Based, present editors, challenges, Light Gradient Boosted, Indonesian, editors with challenges, categories, LightGBM, categories that present, present, classifications, Gradient, Boosted Machine, Classifying News Based, text, Gradient Boosted, Light Gradient
Pre-Qin Literature Based, Analysis Algorithm, Chinese characters, Literature Based, Based, Text Extraction, Literature, Algorithm Intelligent input, Intelligent Text Extraction, Pre-Qin Literature, Input, System of Pre-Qin, Analysis Algorithm Intelligent, System, Analysis System, Analysis, Input and Analysis, Based on Intelligent, Intelligent Input, Intelligent Text
study was conducted, conducted to produce, Data Envelopment, demands irrespective, study, real problem, Data Envelopment Analysis, consulting, service companies, consultant expertise, client demands irrespective, service using text, consulting service, client demands, study on support, Intermediate Distribution Frame, produce a supporting, consulting service companies, text mining-Application, service
Financial Transaction, Internet usage, tracking online, increased within recent, Online Financial Transaction, Services Identification Tool, OFT services, launderers have started, usage has heavily, Financial Transaction Services, heavily increased, money laundering activities, OFT, tracking online financial, money laundering, Transaction Services Identification, online financial services, recent years, online financial, Identifying and tracking
China Based, China, Care Policy System, Exploring the Development, Elderly Care, Integrated Elderly, Based on Text, Elderly, years through text, Integrated Elderly Care, Policy, System in China, Policy System, Care Policy, Text Mining, Development of Integrated, Mining, Elderly Care Policy, Development, Text
deep learning principles, concept maps, numerous text mining, Methods Summarization, Deep Tokenizer approach, mining jobs, Deep Learning Methods, Learning Methods Summarization, Plan Mining, text mining jobs, Learning Methods, Conceptual Plan Mining, Proposition Abstraction, Conceptual Plan, Deep Learning, improved with concept, text mining, Mining, Abstraction from Domain, Domain Text
Physical, Evaluation Index System, years highlight, Index System, incidents of collapses, Civil Buildings, Urban Old Civil, Physical Vulnerability, comprehensive evaluation index, vulnerability index system, physical vulnerability index, highlight the urgent, recent years highlight, Vulnerability Evaluation Index, Vulnerability, Physical Vulnerability Evaluation, recent years, Civil, increasing incidents, Evaluation Index
Industrial, increasingly important, Validating, Industrial Text Mining, data miners, Validating Industrial Text, Lessons Learned, miners, increasingly, industrial data miners, reports lessons learned, big data analytics, reliant on big, businesses become increasingly, Text Mining, Learned, Validating Industrial, Learned from Validating, Project, increasingly reliant
Summaries, Discharge, Construction of Discharge, Summaries Classifier, analysis, methods, paper proposes, generated, classifiers, term matrix, learning methods, morphological analysis, analysis is applied, Construction, classifiers for discharge, construction of classifiers, Discharge Summaries Classifier, Discharge Summaries, applied, Classifier This paper
Text Mining System, mining subtasks, Knowledge Existing systems, Knowledge Existing, daily decision taking, Existing systems, Enriched Text Mining, Enriched Text, text mining subtasks, Semantically Enriched Text, taking process carried, health professionals, Transform Clinical Text, Transform Clinical, decision taking process, Text Mining, decision taking, Mining System, Semantically Enriched, daily decision
based NLP, document, Naive Bayesian, important role, binary classification, feature selection plays, Naive Bayesian category, ensemble based NLP, Text feature selection, assessment in binary, NLP feature assessment, binary classification Text, based NLP feature, base, NLP, base classifiers, text mining, selection plays, document representation, Text
extract information, Text data, Text, Everyday large, Text Everyday, volume of data, effective approach, information, valuable piece, Everyday, data, Everyday large volume, Extractive Text, Text Everyday large, large volume, Text Summarization, Extractive Text Summarization, approach to extract, large, Summarization
paradigm of Industry, Improve Production Planning, Improve, Improve Production, Production Planning, Inhibition Time, Industry, Planning and Control, respond to disturbances, Data, Dynamic Production Schedule, Production Inhibition, companies must develop, PPC, Production, production schedule, Production Inhibition Time, Planning, Mining to Improve, Control
growing amount, textual information, identification of Arabic, noisy texts, research field, shared textual, amount of shared, Arabic, noisy texts based, KNN This paper, corrupted Arabic texts, Arabic noisy, important research field, Topic identification, Arabic texts, shared textual information, paper deals, important research, Arabic noisy texts, based on KNN
utilizing increasing learning, increasing growing, Twitter, Appearing social, Twitter Appearing, increasing learning, social, capacity of produced, mining, Twitter Appearing social, increasing, data, produced information, Appearing social networks, text, analyzing, increasing learning methods, social network, days, Appearing
significantly encourage, Machine Learning Techniques, Non-Classroom, Optical Character Recognition, higher education significantly, creative thinking, Machine Learning, Tesseract Optical Character, education significantly encourage, Techniques, Learning, Learning Techniques Non-classroom, web scraping techniques, encourage creative, education significantly, Techniques Non-classroom, Learning Techniques, encourage creative thinking, significantly encourage creative, higher education
machine learning, text mining techniques, Prediction, Bug Reports, learning techniques, machine learning techniques, learning, Systematic Review Bugs, Bugs, Bug, Severity Prediction, machine, Systematic Review, Text Mining, Severity, Systematic, Mining, Review, Text, techniques
research, Neighbors, feature, feature similarity, segmentation task, text segmentation task, Neighbors for text, version, similarity, Neighbor, proposed version resulted, text segmentation system, text, segmentation, feature vectors, Nearest Neighbors, task, text segmentation, text categorization, Nearest
logical relationship, Risk Prediction, controls financial risks, Mining Based, Risk Prediction Method, logical relationship based, Prediction Method Based, Financial Risk Prediction, Texting Mining, Financial Risk, Financial, Based on Texting, based on BERT, financial risk logical, risk logical relationship, unreliable word frequency, Texting Mining Based, word frequency quantification, text mining, Prediction Method
SINDI-WALKS capable, extracting inherent valuable, Technological Information Extraction, scientific literatures, workbench called SINDI-WALKS, workbench called, valuable information, capable of extracting, relation extraction engine, inherent valuable, Information Extraction, PLOT-based Technological, Technological Information, inherent valuable information, Organization and Terms, called SINDI-WALKS capable, articles and patents, called SINDI-WALKS, PLOT-based Technological Information, extracting inherent
plays an important, Customer satisfaction plays, aviation industries, Customer Reviews, Reviews Customer satisfaction, Naïve Bayes, Reviews Customer, Customer satisfaction, measure customer satisfaction, satisfaction plays, customer satisfaction level, business' success, Naïve Bayes classifier, Bayes classifier, analyzes customer reviews, Customer, important factor, Customer Reviews Customer, Airport Customer Reviews, Airport
mining techniques, text mining techniques, Mining Due, Pattern-Based Text Mining, Pattern-Based, automatic text mining, Text Mining Due, Due, exponential growth, Pattern-Based Text, Text Mining, receiving much attention, Rule Definition, attention recently, rules, Automatic Rule Definition, Automatic Rule, Mining, Text, techniques
Muslims, Hadith, Nasa'i Hadith, hadith technology, Grouping, Keyword-Based Hadith Grouping, Fuzzy C-Means, documents, studied and applied, Fuzzy C-Means Method, documented and published, daily activities, Keyword-Based Hadith, published to Muslims, Hadith Grouping, Islamic documents, applied in daily, Fuzzy, Islamic, Nasa'i Hadith tradition
probability distributions, text mining techniques, Text Classification, social networks, Machine Learning Classifiers, cloud computing platforms, platforms has enabled, massive amount, Features Probability Distribution, Machine Learning, cloud computing, computing platforms, Characterization of Features, collection and storage, storage of massive, proliferation of social, text mining, enabled the collection, data feasible, Text
Abnormal Market, Chinese financial text, Mining for Abnormal, Massive Text Mining, Chinese financial, Trend Detection, Market Trend Detection, Detection The sentiment, Massive Text, Text Mining, Market, Detection, financial, stock market trend, labeled financial text, Mining, Abnormal Market Trend, Market Trend, Text, financial text
Mining Wikipedia, Text Mining Wikipedia, Wikipedia search results, search result clustering, result page, Enhancing Wikipedia, subject domains, search result page, results, articles related, online encyclopedia, Wikipedia articles, search, Wikipedia, result page displays, Text Mining, Wikipedia search, search results makes, Enhancing Wikipedia search, search results
based algorithm, making investment, making investment decision, stock market, investment decision, Gulf Cooperation Council, decision support, text-mining based, decision support system, GCC stock market, Proposed investment decision, text-mining based algorithm, implement analyzing pro-gram, support system, rule text-mining based, analyzing pro-gram based, pro-gram based, investment decision support, proposed decision support, manual analyzed headlines
fundamental analysis, Financial Time, Series, Latent Dirichlet, Time Series Prediction, Feature Extraction, Latent Dirichlet Allocation, series predictions based, important source, Extraction in Text, Data Mining, Financial, Dirichlet Allocation, Financial Time Series, FinLDA, Text and Data, Time Series, Series Prediction, Financial Latent Dirichlet, Time
Analyzing educational comments, quality and students', students' learning, Universities collect qualitative, improve course quality, feedback, students' learning experience, approach Universities, completion in order, Analyzing educational, quantitative feedback, learning experience, analytics approach Universities, collect feedback, educational comments, order to improve, approach Universities collect, universities collect feedback, Universities collect, topics and sentiments
Cycle, Management Accounting, Mining and Intelligent, including text mining, Systems PDCA, Intelligent, Intelligent Systems, Data Mining, Environmental Management Accounting, Accounting, Management, Systems PDCA cycle, background of Data, PDCA Cycle, Intelligent Systems PDCA, Cycle of Environmental, text mining, Environmental Management, Mining, image mining
including personal demographic, Knowledge-guided Medical, examination items, Text Classification, Graph-based Dependency, multiple medical texts, Knowledge-guided Medical Text, Medical Text Classification, Medical, Dependency, including personal, Graph-based Dependency Modeling, personal demographic details, Heterogeneous Graph-based, Hierarchical Attention, Dependency Modeling, demographic details, Heterogeneous Graph-based Dependency, Medical Text, Text
neighbor, KNN, text summarization task, research, nearest neighbor, feature, feature similarity, text summarization algorithm, summarization task, vectors is computed, version, binary classification task, similarity, text summarization, nearest, text classification, text, neighbor for text, feature vectors, summarization
comparative analysis, paper similarity, research paper, paper recommender, similarity metrics, paper, published research papers, paper similarity evaluation, online published research, similarity, Random Forest algorithms, research paper similarity, recommender systems, recent developments, web technologies, paper recommender systems, Random Forest, research paper recommender, text similarity measures, online published
ordered terms sequences, text corpuses, Text Corpus, causal relations, resulted causal networks, networked causal knowledge, resulted causal, Corpus, Terms, causal knowledge discovering, causal network extracting, network extracting problem, Network, Causal, conflict causal relations, approaches cut, applied to explore, Causal Network, Text, causal knowledge
Network Equipment Fault, Text Classification, power grid outage, Distribution Network Equipment, Distribution Network, development of science, Network Equipment, Equipment Fault based, power supply, intelligent distribution, making rapid, Network, Classification, intelligent distribution network, Text Classification Method, Fault based, Deep Learning, Equipment Fault, making rapid progress, rapid progress
social networks, users, share, networks, Microblogs Emergence, Emergence of Web, Emergence, internet users, social, categories, paper microbloggers' contents, contents, RSS news feeds, Content, Microblogs, Content Mining, Web, Mining, Mining of Microblogs, internet
Revolution Mobile robots, path planning, Mobile, Path Planning Algorithm, Trends, Trends in Mobile, Revolution Mobile, Industry, field of mobile, Automated Guided Vehicles, field, Comparative Analysis, Research Trends, field of robotics, Robots, Revolution, Mobile Robots, forefront of studies, Research topics, Comparative
policy formation, Response to Indian, stakeholders, step for developing, Government, Mining Approach, Analyzing Stakeholder, formation, Policy, Indian Government, developing countries, Indian, Response, Text Mining, Stakeholder Response, Text Mining Approach, Analyzing Stakeholder Response, Mining, critical step, Text
biomedical text, modeling of biomedical, set of biomedical, relevant work, Topic modeling, biomedical hypotheses, massive growth, biomedical, disease, text mining methods, biomedical text makes, gene entities, text, review all relevant, text makes, growth of biomedical, text mining, amount of time, reasonable amount, researchers to review
Large, Content Extraction, Independent, Template, users to read, Building online, Template Independent Method, Independent Method, Online News Content, Template Independent, HTML parsing rules, Method for Large, Content Extraction Online, Extraction, online news corpus, Content, Online, Extraction Online, Large Online, HTML
Combining information, Combining information extraction, biomarker detection Information, faster than anticipated, information extraction, related, technology is advancing, analyzed, information, Information technology, data, biomarker detection, domain, detection Information technology, effective knowledge discovery, advancing faster, text mining, information related, cancer biomarker detection, unknown information related
daily life, Method with K-Means, Text Mining Method, Mining Method, online investment opportunities, internet emergence, life have evolved, sentiments, investment opportunities, numerous facets, Bitcoin, including online investment, Analysis, Crypto, Text Mining, Crypto Coin, Sentiment Analysis, facets of daily, neutral sentiments, Analysis of Crypto
product feature, Demand Research, Demand Research Based, Based, User Demand Research, real user demand, Research Based, Based on Internet, online review texts, User Demand, Internet Information, network interactions, review text, user demand information, Internet, demand information, network big data, rapid development, Research, User
yeast genetic, Constructing yeast genetic, Constructing yeast, genetic, genetic networks, developed for constructing, text mining system, biomedical, biomedical literature, text mining prediction, logistic regression, computational algorithms, Constructing, yeast genetic interaction, gene biochemical interactions, text, text mining, regression Various computational, genetic interaction network, genetic interaction
Distance Education, Education Method Based, education based, distance education based, single system education, Web mining, Distance Education System, network distance, Education, solve the problem, education mode, Method Based, Education System, Web Mining Technology, Distance, network distance education, problem of single, Intelligent Education Method, system education mode, Education Method
humanitarian assistance, Indonesia Twitter, Vector Machine, Naïve Bayes algorithm, Earthquake Disaster Situation, assistance measures, Informative Tweet Classification, Machine algorithm produces, Disaster Situation, Vector Machine algorithms, Machine algorithms based, Naïve Bayes, humanitarian assistance measures, Support Vector Machine, significant disaster situations, Situation In Indonesia, Support Vector, online media, Earthquake Disaster, Bayes algorithm
sentiment analysis, parties Social media, analysis, parties, social media, social media data, social, interest, people emotions, emotions, data, media, share their opinions, understand people emotions, national parties Social, media data, understand people, large social media, people, communication technology
Comparing White Americans, Double Screen Electronic, EHR impacts doctor-patient, Health, Americans and African, impacts doctor-patient verbal, Screen Electronic, White Americans, Verbal Communication, Comparing White, Doctor-Patient Verbal, Doctor-Patient Verbal Communication, Double Screen, Electronic Health, screen EHR impacts, African Americans, Electronic Health Records, Screen Electronic Health, Health Records, double screen EHR
CCA Arabic text, discipline has recently, Text categorisation, Arabic textual data, rule based, Text categorisation discipline, decision making, data Text categorisation, Arabic text data, Arabic text, recently attracted, textual data Text, rule based classification, attracted many scholars, Arabic text categorisation, large number, World Wide Web, Wide Web, number of documents, World Wide
Text Representation, Text Representation Method, Tibetan text, Shallow Parsing Tibetan, Parsing Tibetan text, Tibetan text mining, traditional Tibetan text, Parsing Tibetan, Tibetan Microblog, Microblog Text, Tibetan text Categorization, Shallow Parsing, Tibetan, Tibetan text representation, Microblog Text Representation, text Categorization, Representation Method, Tibetan Microblog Text, Text, Microblog
mining techniques, Online Review, text mining techniques, priorities by conducting, derive improvement priorities, derive improvement, quality of mobile, mobile banking, evaluate the service, Mobile App, conducting Importance-Performance Analysis, improvement priorities, banking apps compared, mobile banking apps, service quality, banking apps, user reviews, Importance-Performance Competitor Analysis, text mining, Korean banks
Homogeneous Classifiers Text, data mining, Categorization Represented, Text data mining, Text data, valuable information, Represented With Word, input text data, Text Categorization Represented, Text Categorization, extracting and analyzing, analyzing valuable information, data mining process, Homogeneous Classifiers, data, Classifiers Text data, English texts, analyzing valuable, Text, Word Embeddings
extract biomedical information, biomedical information, breast cancer biomedical, text mining technology, cancer biomedical information, related, biomedical, extract entities related, mining, cancer, breast, information, informtion related, biomedical informtion related, mining technology, text, breast cancer, biomedical text mining, text mining, related to breast
automatically text classification, Times server, modern society, text classification model, classification, Latent Dirichlet Allocation, classification model, classification model based, Sina and Times, paper, server to provide, provide information, Sina, model based, text classification, text, millions of users, day for millions, famous news websites, model
data for similar, Slovak, language Examining data, methods, fundamental data-mining problems, similar items, language Examining, Slovak language, Slovak language Examining, English language, language, similarity, data-mining problems, Document similarity analysis, Examining data, problems, fundamental data-mining, Document similarity, similarity analysis, Examining
maintenance text data, data of power, algorithm Power, large amount, Power companies, Power, Hamming distance, Hamming distance algorithm, distance algorithm Power, algorithm Power companies, data, accumulated a large, maintenance data, text format, text, companies have accumulated, data of transformers, power equipment, text data, Hamming
mine trends embodied, text streams Massive, rich graph structures, source of information, graph, streams, important source, properties, text streams, streams Massive, graph structures contained, Event graph, Event graph model, streams Massive text, Massive text, text, graph model, Massive, mining trends, Massive text stream
classifier based, statistical term analysis, reasonable time frame, text classification approaches, text classifier based, concept based mining, acceptable accuracy, efficiently categorizes large, time frame, large sets, reasonable time, text classifier, classifier that efficiently, text, good text classifier, categorizes large sets, good text, categorizes large, classifier, efficiently categorizes
mining techniques, features, make predictions, text mining techniques, text retrieval field, text retrieval, Bags of Words, identify common, Words Representation, vectors of features, Words, common patterns, main purpose, Mixed Graph, text mining, Graph of Terms, identify common patterns, weighted words, simple weighted words, Text
Model-based systems engineering, production systems, MBSE, competitive demand, Systems Engineering, meet the competitive, Systems, Production Engineering, Trends of Model, Engineering Domains Manufacturing, Model Based, Manufacturing and Production, Domains Manufacturing, Based Systems, Cyber Physical Systems, increasingly complex, Engineering, Based Systems Engineering, Production Engineering Domains, Model Based Systems
knowledge sharing, Thai research related, Thai medical International, Thai knowledge sharing, Thai, Sharing, Thai Routine Medical, Knowledge, routine works, Routine Medical Research, development of routine, Thai medical, Medical, Routine Medical, Routine, Thai Routine, Related Health Problems, public health practitioners, Thai people, Research
improved by analyzing, Mining and Natural, Natural Language, Investigation, Cancer Detection, Detection Clinical decision-making, Detection Clinical, Natural Language Processing, analyzing patient, analyzing patient characteristics, patient characteristics, Cancer Detection Clinical, data, Processing, Clinical, Detailed Investigation, Text Mining, Language Processing, Mining, Text
Scientific Terms, Language Text, Natural Language, Elements, specialized texts, Elements of Artificial, Intelligence The paper, algorithms developed, three-word terms categorization, terms identification, terms categorization, three-word terms identification, Terms, detailed description, terms identification procedure, Artificial Intelligence, Natural Language Text, three-word terms, linguistic purposes, Terms in Natural
Recruitment, development of Internet, information attracts, Statistical Analysis, Mining Technology, Online Recruitment, Recruitment Information Based, recruitment information attracts, Analysis of Online, Online Recruitment Information, Text Mining Technology, Information, people attention, Online, Analysis, Text Mining, rapid development, Recruitment Information, Text, Internet technology
big data environment, Basis of Treating, data mining model, Big, brought unprecedented, Biological Basis, Big Data, developing big data, Chinese medicine, Big Data Mining, Data Mining, Chinese medicine syndrome, Data, integrate Chinese medicine, brought unprecedented opportunities, big data technology, Chinese medicine researchers, opportunities and challenges, walks of life, unprecedented opportunities
Product Level, market size information, size information, Product, Estimation Model, Size Estimation Model, Mining Approach, Size Estimation, Product Level based, Size, Market Size, business decision-making, Information, estimation model based, Mining Approach Information, Text Mining, Market, Market Size Estimation, based on Text, Text Mining Approach
Application, application summarization text, Article Online media, mass media, Automated, Text Summarization Application, online newspaper, Online media, Indonesian, Automated Text, Indonesian News Article, media, Online, Newspaper online, articles, growing very rapidly, summarization text Indonesia, Article Online, Automated Text Summarization, Method For Automated
Stop Word Detection, Bengali, Bengali Stop, Word, standard Bengali stop, stop word standard, Standard Dataset, Bangla Language Processing, Stop Word, Language Processing system, Bangla Language, resourceful domain, Processing system, Bengali Stop Word, Language Processing, contributed and resourceful, stop word-related special, Stop, word standard dataset, stop word list
Selection Methods Data, machine learning, Methods Data mining, data mining research, point of machine, sets including strategies, including strategies, data sets including, Data Mining Algorithms, Data Mining, finding designs, Selection Methods, Methods Data, crossing point, Data, substantial data sets, database systems, sets including, designs in substantial, Mining
Age, Indonesian Song, process of distributing, Indonesian language songs, Indonesia, Naïve Bayes, songs, Naïve Bayes Classifier, Categorize Indonesian, technology accelerates, Song Lyrics Based, age label, Bayes Classifier Algorithm, Categorize Indonesian Song, Lyrics Based, accelerates the process, rapid development, Bayes Classifier, Indonesian Song Lyrics, Song
Identifying High, marketing department, High Value Users, Based, High, potential users, Approaches Finding, Twitter, Mining Approaches, Mining Approaches Finding, Users, specific products, department in industries, RFM model perform, Text Mining, Twitter Based, Text Mining Approaches, find, Finding, Based on Text
Scientific, terms contained, Turkish Scientific Texts, text or collection, Cyber Security, Automatic Term, Term candidate words, important to understand, Automatic Term Extraction, Extraction on Turkish, understand the terms, terms, Scientific Texts, Extraction, Texts, text, Turkish Scientific, Texts In order, Term Extraction, Turkish
Programmers using Text, Identifying Social Networks, text mining techniques, online repositories, Code Similarity Detection, insecure copied code, Code Similarity, platforms has posed, pattern detection text, detection text mining, Similarity Detection, collaborating platforms, effective code similarity, Code, Text Mining, repositories and collaborating, source code detection, source code attribution, commercial application, similarity detection algorithms
Analyze Mammogram, rate spontaneously, rate spontaneously rises, Breast Cancer, affects women, Breast, Cancer, Cancer Patients, Mammogram Screening Results, ages after puberty, Analyze Mammogram Screening, Arabia Breast, Breast Cancer Patients, Arabia Breast cancer, Mining to Analyze, spontaneously rises, Text Mining, Saudi Arabia, Saudi Arabia Breast, X-ray screening results
credit evaluation model, indexes, credit, empirical study, evaluation, credit indexes based, small micro-enterprises based, credit evaluation, micro-enterprise credit evaluation, small micro-enterprise, paper verifies, small micro-enterprise credit, based on text, small, indexes based, based, micro-enterprises based, text mining, model, evaluation model
public, text mining framework, estate, analysis Text mining, Chinese real estate, real estate, public opinion, text-based mining approach, Beijing real estate, economic analysis, opinion, real, real estate policy, analysis Text, Text mining, public opinion index, estate policy impact, policy public opinion, real estate market, Text
Text Classification, Social, current state, classification methods, determine the current, methods, social media data, User-Generated Content, Media, Social Media, Classification, User-Generated, Content, Classification of User-Generated, text processing, Systematic Review, text mining, Real-Time Text Classification, Systematic, Text
Machine Learning Algorithms, commercial potential, data is preserved, Machine, significant commercial potential, Text Classification, introduce text classification, Vector Machine, significant commercial, Machine Learning, Algorithms for Text, Support Vector Machine, Classification, Algorithms, Machine learning approaches, Unstructured texts continue, Learning Algorithms, text mining, text classification technique, Text
bibliographic libraries, Trends, IEEE Xplore API, Artificial Intelligence Trends, Research Trend, Artificial Intelligence, Trend Analysis, Intelligence, Intelligence Trends analysis, recent era, Analysis, gained popularity, Intelligence Trends, Artificial, text mining, context of text, analysis of bibliographic, Research, Analysis of Artificial, Research Trend Analysis
Study of Social, Social, low success rate, Crowdfunding Projects, Projects, low success, Crowdfunding, Projects Crowdfunding, Media, Social Media, Media Reviews Effects, success rate, Social Media Reviews, Success, increase the success, Reviews Effects, Crowdfunding Projects Crowdfunding, Media Reviews, Success of Crowdfunding, important channels
Treatment, highly contagious, contagious disease caused, number of fatalities, PubMed abstracts related, clinical trials, PubMed Abstracts, highly contagious disease, Treatment Modalities Related, disease, abstracts related, significant mutation, Modalities Related, disease caused, Identifying Treatment, significant number, contagious disease, Treatment Modalities, preserve human life, Identifying Treatment Modalities
Latent Semantic Indexing, Latent Semantic, LSI method proposed, document representation model, representation model, Vector Space, Space Model, standard LSI, Semantic Indexing, mining and information, Semantic, semantic loss representation, LSI technique, Vector Space Model, Arabic Language, information retrieval, high dimensional space, Model, common document representation, LSI
discover high quality, Mining Relevant Text, high quality, Features, effective methods, Web Information, develop effective methods, big challenge, Text Features, Retrieving Web Information, Relevant Text Features, Retrieving Web, text mining methods, Information, Features for Retrieving, discover high, challenge to develop, mining methods focuses, develop effective, Text
categorization of textual, automated categorization, inappropriate web content, text classification techniques, textual information, issues of automated, classification, Decision Tree classifiers, inappropriate, web, block inappropriate, Evaluation of text, web content, text classification, text, inappropriate web, Decision Tree, block inappropriate web, content blocking, web content blocking
Minitrack, Business Analytics, Business Analytics Mini-track, Introduction, Web Mining, Data, Introduction to Data, Mining for Business, Analytics Mini-track, Minitrack Introduction, Web, Mining, Analytics Minitrack Introduction, Analytics, Mini-track, Text, Business
