keyword analysis, text mining, paper text mining, mining word, text mining word, word analysis research, word frequency analysis, mining english grammar, english grammar gutenberg, english grammar books, word analysis, text mining english, results text mining, mining word frequency, mining english, mining word analysis
satd comments practical, detected comments management, technical debt detection, satd comments using, text mining, identify satd comments, source code comments, debt detection tool, text mining ii, satd comments pattern, comments management, detector text mining, text mining based, debt detection, detect satd comments, using text mining
text mining disciplines, condition analysis drug, text mining, used text mining, text mining nearest, classification drug, classification drug effectiveness, drug effectiveness based, mining nearest neighbor, carrying text classification, effectiveness drug, drug used text, using text mining, text classification process, nearest neighbor drug, text classification
dialogue data mining, teamwork chat dialogue, text mining, synchronous chat study, analysis teamwork dialogue, text mining method, teamwork dialogue, analyzing teamwork chat, chat dialogue students, chat study, chat study text, study text mining, teamwork chat, teamwork dialogue data, analyzing teamwork, learners online discussions
analyze public sentiment, sentiment analysis online, sentiment analysis, text mining, mining twitter, mining sentiment analysis, opinions social media, mining twitter order, text mining sentiment, sentiment topic, mining sentiment, public sentiment topic, implementation text mining, sentiment topic online, public sentiment, text mining twitter
linking knowledge discovery, biomedical literature optimize, discovery clinical notes, nlp text mining, text mining, text mining data, link biomedical literature, associations clinical notes, biomedical literature, biomedical literature introduced, biomedical literature repositories, entities associations clinical, discover knowledge clinical, knowledge discovery clinical, clinical entities associations, knowledge clinical entities
learning corpus, interactive tools corpus, analysis corpus based, text analysis corpus, analysis corpus, corpus tool tested, writing corpus tool, corpus tools, writing corpus, interactive visual text, language learning corpus, visual text analysis, corpus tool, corpus based, corpus tools currently, new corpus tool
web usage mining, semantic web helps, recommender website app, usage mining, personalization ontology, environment web personalization, semantic web, mining text mining, web personalization, web personalization ontology, personalization ontology development, ontology development recommender, usage mining text, text mining environment, created semantic web, mining environment web
context aware recommender, recommender agent systems, aware recommendations according, mining contextual knowledge, agents text mining, context aware recommendations, recommendation contexts, aware recommender, recommender agent, integrating text mining, approach recommender agent, aware recommender systems, text mining mechanism, recommendation contexts improve, mining contextual, specific recommendation contexts
aspect detection sentiment, sentiment analysis approaches, aspects sentiments sentiments, sentiment analysis, aspect oriented sentiment, latent dirichlet allocation, aspects sentiments support, sentiment classification, lda topic modelling, detection sentiment analysis, oriented sentiment classification, detection sentiment, sentiment analysis largely, data categorize aspects, sentiment classification covid, oriented sentiment analysis
acupuncture technology tcm, acupuncture, acupuncture technology, practices acupuncture, treatment acupuncture technology, practices acupuncture results, study acupuncture therapy, acupuncture therapy hypertension, treatment acupuncture important, acupuncture therapy, clinical practices acupuncture, acupuncture results provided, study acupuncture, acupuncture results, treatment acupuncture, hypertension treatment acupuncture
opinion mining english, urdu dataset today, urdu dataset, roman urdu dataset, opinion mining politics, text mining, opinion mining regarding, mining english language, social media pakistan, urdu dataset available, opinion mining branch, text mining seeks, urdu dataset prepared, opinion mining, media language pakistan, generate opinion mining
discovery similarities parasites, biomedical text mining, diagnosing parasites, groups parasites results, clustering, medline database parasites, database parasites, experts diagnosis parasites, diagnosis parasites, mortality diagnosing parasites, diagnosing parasites difficult, similarities parasites paper, clustering analysis, parasites using abstracts, clustering analysis generated, similarities parasites
words network, text mining, idea generation, probability words network, text mining inspiration, words network generated, method text mining, keywords cyberspace crawling, keywords collect text, creative thinking support, mining inspiration study, word associations, idea generation drawing, keywords cyberspace, study multiple keywords, support idea generation
review digital transformation, transformation healthcare digital, transformation healthcare, information scientists medical, healthcare digital, digital transformation, revealed digital transformation, healthcare digital transformation, digital transformation reached, healthcare domain digital, transformation healthcare interdisciplinary, digital transformation healthcare, considering digital transformation, occurring healthcare domain, domain digital transformation, digital transformation literature
news categories, news using, classifying news, based indonesian news, process news classification, classifying news based, indonesian news using, lightgbm news categories, news using lightgbm, news based indonesian, news categories megapolitan, news type classifications, news classification used, using lightgbm news, news classification, news context light
character segmentation chinese, intelligent input analysis, segmentation chinese characters, extraction analysis algorithm, chinese characters column, text extraction analysis, based intelligent text, intelligent text, intelligent text extraction, 65 character segmentation, characters column scanning, segmentation chinese, segment chinese characters, extraction analysis, character segmentation, text extraction
method consulting service, consulting service, consulting company correspondence, client companies predicted, consulting service using, support method consulting, consulting service companies, text mining, consulting, text mining data, method consulting, supporting method consulting, data taken consulting, consulting company, using text mining, text mining application
web mining, text mining, money laundering activities, money laundering assist, services identification tool, semantic indexing internet, lsi text mining, mining latent semantic, financial services web, semantic indexing, transaction services identification, money laundering, analyzes website content, web mining latent, services web mining, text mining approach
policy china, china based text, care policy china, policy documents, years text mining, text mining, elderly care policy, integrated elderly care, policy documents collected, text mining 483, policy china based, elderly care, china years text, based text mining, text mining study, policy china years
extract propositions tokenized, deep tokenizer approach, mind deep tokenizer, natural language processing, extract propositions, deep tokenizer, proposition extractor, text conceptual plan, propositions tokenized, proposition extractor approach, proposition extraction, specifically extract propositions, propositions tokenized text, tokenization proposition extraction, proposition extraction refining, conceptual plan mining
construction physical vulnerability, vulnerability evaluation index, vulnerability civil buildings, assessing physical vulnerability, buildings increasing incidents, vulnerability index comprising, physical vulnerability urban, physical vulnerability index, evaluate physical vulnerability, vulnerability evaluation, disturbance vulnerability index, physical vulnerability civil, physical vulnerability evaluation, evaluating physical vulnerability, vulnerability index, vulnerability index help
students industrial text, text mining choices, bigse lab industrial, bigse project, academic industrial, industrial data miners, mining businesses increasingly, text mining replaced, bigse project lessons, industrial text, industrial text mining, text mining businesses, industry academia learn, validating industrial text, bigse experiment academic, academic industrial collaboration
construction classifiers, discharge summaries classifier, ranking key words, summaries morphological, method construction classifiers, classifier paper proposes, summaries classifier paper, classifiers discharge summaries, classifiers, summaries morphological analysis, summaries classifier, classifiers generated, classifier, training example classifiers, classification, example classifiers
clinical tasks detection, clinical text, sense minerdoc proposed, coding sense minerdoc, text mining, clinical text knowledge, textual clinical reports, minerdoc semantically enriched, transform clinical text, tasks detection clinical, mining transform clinical, major feature minerdoc, text mining subtasks, different text mining, minerdoc semantically, textual clinical
text mining terms, classifiers entire nlp, ensemble based nlp, text mining, classifiers ensembles naive, based nlp feature, bayesian base classifiers, classification text feature, nlp features, nlp feature assessment, base classifiers ensemble, classifiers ensemble, classifiers ensembles, impact nlp features, base classifiers ensembles, classification text
help text mining, summarization effective approach, text mining, key phrase extraction, text documents extracting, text summary generated, extractive text summarization, phrase extraction summary, extraction summary generation, text summarization effective, text summarization, phrase extraction, extraction text, extraction text summary, summarization effective, phrase extraction text
estimating production inhibition, operations maintenance, estimating production, text mining, based operations maintenance, text mining tm, production planning control, capable estimating production, dynamic production schedule, data mining improve, using data mining, operations maintenance activities, mining improve production, maintenance activities produce, data mining, using text mining
texts based knn, problem topic identification, idf identify texts, topic identification, arabic texts different, texts topics results, based tf idf, identify texts topics, topic identification arabic, arabic noisy texts, similarity texts topics, compute similarity texts, interesting topic identification, arabic texts, noisy texts based, similarity texts
social analyzing texts, texts social network, twitter social network, text mining, twitter social, mining text social, social networks text, networks text mining, social network twitter, fast developing microblogging, evaluate twitter, analyzing texts social, text social networks, text mining social, online analyzing texts, evaluate twitter social
recognition ocr engine, automation non classroom, submitted certificates, students submit, courses using machine, provided student web, non classroom courses, student web interface, scraped text authentication, text mining image, submitted certificates using, certificates, automate non classroom, extracted submitted certificates, student web, certificates using
bug reports, severity reported bugs, predict severity bugs, severity bugs crucial, text mining, text mining techniques, reported bugs performance, severity bugs using, severity bugs, prediction bug reports, predicting severity bugs, software bugs, using text mining, bug reports prediction, bug reports using, severity prediction bug
segmentation feature similarity, text mining goal, text mining, text segmentation task, vectors text segmentation, nearest neighbors text, text categorization clustering, similarity feature, performance text segmentation, computing similarity feature, neighbors text segmentation, text segmentation, text segmentation feature, text segmentation provides, implement text segmentation, text categorization
mining based text, based texting mining, financial risks quantifying, financial risk logical, financial corpus, non financial corpus, model corpus financial, quantification financial, texting mining based, corpus financial field, quantification financial risk, based text mining, quantification financial events, financial risk events, financial domain data, financial risk prediction
link relation extraction, extracts semantic relations, relation extraction engine, information extraction, information extraction efficient, extracted semantic, extracts semantic, plot recognition engine, technological information extraction, manage extracted semantic, management extracted semantic, extracted semantic triples, terms extracts semantic, information extraction management, tool intuitive annotation, relation extraction
sentiment analysis, airport customer reviews, classifier analyzing sentiments, techniques sentiment analysis, sentiment analysis airport, customer reviews study, approach sentimental analysis, sentiment analysis study, reviews customer satisfaction, mining approach sentimental, text mining approach, analyzing sentiments output, classification techniques sentiment, using text mining, sentiments output study, analyzes customer reviews
automatic rule, sentiment analysis, mining machine learning, terms aspect classification, text mining, automatic text mining, text mining techniques, aspect classification sentiment, classification sentiment, rules used mining, text mining machine, text mining method, automatic rule definition, aspect classification, based text mining, classification sentiment analysis
document grouping allows, documents group fuzzy, databases document grouping, grouping technique using, grouping documents, group fuzzy techniques, grouping using fuzzy, hadith grouping, mining fuzzy means, document grouping, purpose grouping documents, method islamic documents, hadith grouping using, documents hadith development, text mining fuzzy, based hadith grouping
text classification method, text mining text, appropriate text classification, classifiers text, learning classifiers text, text mining, text classification support, based classifiers text, efficient text mining, entropy classifier recently, text classification paper, text classification characterization, mining text classification, classifiers text classification, machine learning classifiers, text classification
abnormal market trend, market trend detection, market trend, financial news research, trend detection sentiment, sentiment abnormal market, massive text mining, stock market trend, market trend widely, sentiment financial text, financial news, identify abnormal trend, financial text observed, text financial news, text mining abnormal, detection sentiment financial
mining wikipedia online, result clustering methodology, finding desired wikipedia, grouping search results, grouping search, enhancing wikipedia search, text mining wikipedia, document clustering, result clustering, mining wikipedia, search result clustering, algorithm document clustering, document clustering investigates, mining grouping search, text mining grouping, wikipedia search results
headlines news analysis, algorithm analyze news, news indicators using, analyze news headline, news indicators, investment decision sample, text mining, rule text mining, news headline implement, analyze news, text mining method, news analysis, news analysis program, text mining based, using text mining, stock markets using
financial latent dirichlet, latent dirichlet allocation, topic distributions, introduces topic model, based latent dirichlet, latent dirichlet, dirichlet allocation finlda, dirichlet allocation, topic model based, series prediction news, topic distributions common, dirichlet allocation lda, topic model, including topic distributions, text data mining, prediction news
feedback students course, comments topics sentiments, qualitative feedback students, develop student feedback, student feedback mining, analyzing student course, student feedback, educational comments topics, feedback students avail, feedback students, quantitative feedback students, student course evaluations, feedback students main, collect feedback students, analyzing educational comments, comments quantitative scores
image mining used, text mining, mining analyze, background data mining, mining intelligent, analyze knowledge discovery, text mining image, data mining intelligent, mining intelligent systems, initially data mining, including text mining, data mining expanded, data mining analyze, data mining, means data mining, knowledge discovery
medical texts heterogeneous, guided medical text, facilitate medical text, texts heterogeneous graphs, medical text, classification focused textual, multiple medical texts, patient notes dependency, patient medical texts, medical text mining, graph based dependency, medical texts dependency, attention medical texts, patients medical texts, medical text classification, based medical text
text summarization viewed, task text summarization, text summarization using, nearest neighbor similarity, neighbor text summarization, text summarization algorithm, summarization algorithm, approach text summarization, text summarization, text summarization task, summarization, nearest neighbor text, summarization algorithm represents, summarization task, summarization using feature, implement text summarization
compared similarity metrics, similarity measures offline, similarity metrics assessed, various similarity metrics, new similarity metrics, analysis text similarity, similarity evaluation datasets, similarity measures algorithms, algorithms similarity metric, similarity metrics, text similarity measures, text similarity, algorithms text similarity, similarity metrics new, similarity evaluation recommendation, paper similarity evaluation
causal network extracting, corpuses discover networked, terms text corpus, causal knowledge corpus, sentences formalize causal, discover causal network, discovering causal network, extract causal network, grammatical voice causal, text corpus, vote extract causal, extract causal, causal knowledge discovering, networked causal knowledge, formalize causal network, causal network terms
distribution network, text classification method, classification power, classification method distribution, intelligent distribution network, supply increasing classification, automatic classification power, power grid outage, classification power grid, preprocessing text classification, intelligent distribution, text classification model, distribution network helpful, technology intelligent distribution, prediction power failure, text classification
microbloggers contributions, microblogs emergence, microbloggers, category labels microbloggers, microblogs emergence web, microbloggers contents evaluated, content mining microblogs, bots provide categorical, loggers bots classification, mining microblogs emergence, bots classification results, microbloggers contributions used, classification results bots, microbloggers contents, mining microblogs, bots classification
field robotics research, mobile robots comparative, robotics research, mobile robots study, robots study papers, robots forefront studies, mobile robots 20, robots study, field mobile robots, robotics research topics, trends mobile robots, revolution mobile robots, path planning, topics path planning, mobile robots, mobile robots forefront
policy text, companies policy implementation, indian government ev, policy implementation domain, analyzing stakeholder, ev policy reactions, policy implementation, firms policy domain, government ev policy, stakeholder response indian, policy using text, stakeholders new policy, policy text mining, ev policy, ev policy text, vehicle ev policy
mining pubmed abstracts, topic parameters similarity, topic modelling, topic modeling, text mining pubmed, based topic modelling, modeling biomedical text, topic modelling learn, results learned topics, disease text mining, mining pubmed, concept profile similarity, results learn topics, learned topics, topic modeling biomedical, profile similarity learn
recognizing news, web news data, rate recognizing news, news content extraction, news corpus important, online news content, online news corpus, content extraction online, content extraction, recognizing news content, online news html, extraction online news, news corpus, news html, content recognition algorithm, news content recognition
biomarker detection information, biomarker detection gene, analyzed biomarker, biomarker detection areas, analyzed biomarker detection, information extraction, text mining cancer, extraction text mining, pubmed extracted abstracts, biomarker detection, mining cancer biomarker, extract key terms, data analyzed biomarker, identify potential biomarkers, information extraction text, combining information extraction
cryptocurrencies notable positive, sentiments cryptocurrency investors, coin twitter, cryptocurrencies notable, sentiments cryptocurrencies, sentiments cryptocurrency, neutral sentiments cryptocurrencies, sentiment analysis crypto, sentiment topics bitcoin, crypto coin twitter, comments prominent cryptocurrencies, prominent cryptocurrencies, investors various cryptocurrencies, sentiments cryptocurrencies notable, prominent cryptocurrencies bitcoin, prevailing sentiments cryptocurrency
review text, classify review text, sentiment tendency review, text mining, tendency review text, review text type, online review texts, review texts, text mining constructed, text using sentiment, product related online, related online review, based text mining, review text using, product feature evaluation, using sentiment dictionary
yeast genome identifying, text mining rapid, text mining, designing text mining, text mining prediction, network yeast genome, gene interaction network, yeast genetic interaction, genetic interaction network, text mining constructs, yeast genome, interaction network yeast, using text mining, genes biomedical text, genome identifying occurrence, biomedical text determines
web mining technology, web mining, application web mining, based web mining, mining distance education, education based web, education intelligent service, data mining distance, data mining, mining algorithm selection, based data mining, distance education solve, web mining proposed, distance education intelligent, mining algorithm, intelligent education method
twitter classifying, classifying tweets informative, data tweets related, support vector machine, tweets informative, information sourced twitter, sourced twitter classifying, tweets informative informative, tweet classification, tweets related earthquake, informative tweet classification, twitter classifying tweets, tweet classification earthquake, informative tweet, classifying tweets, disaster situations tweets
sentiment analysis, twitter data, effective sentiment analysis, classified tweets related, social media data, text mining, identify people sentiments, analysis people emotions, perform sentiment analysis, analysis social media, sentiment analysis people, data perform sentiment, tweets related parties, method classified tweets, retrieval twitter data, sentiment analysis helps
ehr impacts doctor, ehr screen sharing, electronic health records, impact electronic health, communication sentiment comparing, screen ehr sharing, ehr sharing positive, patient communication, screen ehr impacts, doctor patient communication, preference ehr sharing, ehr sharing, communication sentiment, races use sentiment, patient communication study, ehr sharing using
arabic textual data, arabic text data, classification data mining, text categorisation discipline, arabic text categorisation, classifying arabic texts, conducted text categorisation, algorithms classifying arabic, classification techniques arabic, classifying arabic, mining corpuses arabic, text categorisation, text categorisation related, techniques arabic textual, rule based classification, data text categorisation
mining tibetan microblog, proposes tibetan microblog, tibetan text representation, tibetan microblog popular, tibetan micro blog, tibetan microblog text, tibetan microblog increasing, microblog text representation, researches tibetan microblog, tibetan text mining, text features tibetan, tibetan microblog, text mining tibetan, parsing tibetan text, microblog popular tibetan, tibetan text categorization
banking apps compared, apps korean banks, mobile banking apps, importance performance competitor, apps compared banks, banking apps korean, competitor analysis, quality mobile banking, weaknesses mobile banking, mobile banking, online review mobile, compared banks bank, review mobile app, banking apps, korean banks selected, performance competitor analysis
text clustering sentiment, classifiers text, text classification evaluation, text categorization text, text mining, output text categorization, embeddings text classification, classifiers text data, text categorization using, text categorization represented, categorization text clustering, analysis text categorization, performance text categorization, text categorization, text data mining, text classification
biomedical text, biomedical text mining, extract biomedical information, text mining, text mining technology, cancer biomedical information, information breast cancer, extraction biomedical informtion, extracted biomedical information, biomedical information annotated, cancer using text, biomedical information corpus, breast cancer biomedical, using text mining, biomedical information breast, biomedical informtion
automatically text classification, latent dirichlet allocation, manual classification news, text classification proposes, based latent dirichlet, news text classification, based topic model, uses topic model, topic model modern, classification proposes news, text good classification, text classification model, classification news, topic model, classification news text, text classification
documents similarity, documents similarity results, concept document similarity, similarity search useful, similarity analysis slovak, similarity search, slovak language examining, measure documents similarity, document similarity estimation, similarity analysis, document similarity analysis, similarity estimation, similarity estimation process, document similarity, text mining process, analysis slovak language
text mining expected, mining expected text, text similarity important, text mining, mining feature, similarity texts determined, maintenance text data, method text mining, power equipment text, maintenance data power, text similarity, application maintenance text, text mining feature, expected text similarity, information text mining, maintenance text
relationships text streams, text streams paper, events relationships, streams massive text, contents text streams, event graph model, defines event graph, event graph, mining trends text, events relationships text, trends text, text streams, mining trends, text streams massive, massive text stream, trends text streams
good text classifier, text classification approaches, analyzing concept based, classifier efficiently categorizes, concept mining, concept mining good, text classifier based, concept based mining, approach text classifier, text classifier, text classifier classifier, mining good text, classifier based concept, accuracy text classification, based concept mining, text classification
purpose text mining, text mining, hoc text retrieval, text mining techniques, used text retrieval, documents probabilistic, probabilistic topic model, text retrieval field, text retrieval, weighted words, simple weighted words, weighted words proposed, documents probabilistic topic, usually weighted words, topic model, topic model graph
production engineering, model based systems, systems engineering, engineering domains manufacturing, production engineering domain, systems model, based systems engineering, systems development, systems engineering manufacturing, systems model based, engineering manufacturing production, manufacturing production engineering, systems engineering mbse, industry systems, manufacturing production systems, systems development model
use text mining, thai knowledge sharing, k4thaihealth used knowledge, research data k4thaihealth, text mining, medical text, text mining techniques, thai medical text, using thai medical, diseases knowledge extracted, k4thaihealth prototype thai, r2r thai medical, knowledge extracted r2r, thai medical, r2r thai knowledge, medical text classification
text mining natural, clinical note databases, text clinical, processing nlps cancer, processing ml nlp, text mining, processing nlp medical, nlps cancer detection, free text clinical, mining natural language, detection clinical decision, nlp medical data, natural language processing, use text mining, nlp medical, text clinical reports
terms natural language, identification categorization scientific, scientific terms, terms identification procedure, categorization scientific, algorithms developed linguistic, terms specialized texts, scientific terms natural, terms identification generalized, terms identification, terms categorization, word terms categorization, word terms identification, categorization scientific terms, texts english algorithms, english algorithms
recruitment information based, carry text clustering, recruitment information unstructured, analysis online recruitment, online recruitment information, text mining technology, text mining, analysis text mining, recruitment information text, crawler text mining, text clustering, online recruitment, recruitment information overcomes, based text mining, text clustering analysis, recruitment information
big data make, complex diseases large, developing big data, based big data, diseases large, data mining complex, big data, big data technology, chinese medicine world, diseases large number, medicine big data, big data mining, chinese medicine researchers, medicine big, chinese medicine big, use big data
estimating market size, names market sizes, names market size, estimate market sizes, string similarity product, market size estimation, market size information, similarity product names, estimate market size, measured string similarity, information market size, market sizes estimated, size fundamental marketing, intelligent market information, string similarity measuring, product names market
summarization text indonesia, summarization application indonesian, application indonesian news, news articles summarization, text summarization application, articles summarization sentence, application summarization text, summarization text, articles summarization, method automated text, summarization sentence application, text summarization, automated text summarization, summarization application, text indonesia news, term method summarize
language stop word, bangla language processing, available bengali stop, stop word detection, word detection bangla, summarization standard bengali, standard dataset bengali, processing stop word, dataset bengali stop, bengali stop word, bengali stop words, stop word related, dataset bengali, bengali stop, word detection, standard bengali stop
methods data mining, algorithms selection, issue data mining, data mining way, mining algorithms, algorithms selection methods, data mining interdisciplinary, smart techniques dataset, different data mining, algorithm selection, data mining research, systems data mining, mining algorithms selection, data mining algorithms, data mining, data smart techniques
classify lyrics indonesian, research classify song, develops categorize lyrics, classify song, categorize lyrics, classify emotion song, classify lyrics, categorize lyrics age, categorize indonesian song, algorithm categorize indonesian, indonesian language songs, need classify lyrics, classify song genre, distributing song indonesia, songs according age, bayes classifier algorithm
users online marketing, boosting algorithm, classifier bagging, boosting algorithm used, text mining, approach overall tweets, machine learning text, bagging boosting, value users twitter, bagging boosting algorithm, boosting, users twitter based, learning text mining, based text mining, text mining approaches, text mining approach
term extraction turkish, detect terms, security corpus layer, cyber security corpus, term extraction, automatic term, automatic term extraction, aimed detect terms, words phrases term, study word2vec approach, term candidate words, extraction turkish scientific, words determined statistical, security corpus, determine semantic affinity, detect terms domain
mining code similarity, programmers social network, attribution plagiarism detection, text mining code, effective code similarity, code detection method, source code detection, code detection, source code attribution, identify programmers social, code attribution plagiarism, students code project, code similarity, code similarity detection, mining code, plagiarism detection
clinical text records, medical text clustering, clinical text, knowledge discovery medical, text mining, medical text, learning algorithm medical, proper text mining, text mining algorithms, text clustering, algorithm medical text, furthermore text clustering, mining algorithms implemented, mining analyze mammogram, text clustering algorithms, text mining analyze
credit evaluation model, authenticity credit indexes, enterprise credit evaluated, enterprise credit, credit effectively evaluation, enterprise credit effectively, text mining credit, credit indexes based, credit indexes, mining credit indexes, compare credit evaluation, micro enterprise credit, credit evaluation models, credit reports small, enterprise credit evaluation, credit evaluation
public opinion index, opinion index, analysis text mining, opinion dictionary, text mining, opinion index capable, sentiment words, trend words score, opinion index constructed, opinions mass text, words score sentiment, monitoring public opinions, text mining widely, forecasts beijing housing, sentiment words calculated, score sentiment words
data text mining, terms classification performance, text mining, text mining techniques, text mining traditional, real time classification, classification user generated, normalizing social media, social media systematic, text classification user, content social media, natural language processing, mining traditional text, traditional text mining, time text classification, text classification
algorithms text classification, text mining, text classification assigns, places text classification, classifiers based performance, classification description text, existing classification methods, learning algorithms text, description text classification, text mining significant, text classification technique, introduce text classification, text classification description, categories texts accurately, text classification majority, text classification
analyzing trends, text mining gained, phrases research, phrases research trend, text mining, research trend analysis, performed phrase mining, analysis bibliographic, intelligence trends analysis, phrase mining technique, phrase mining, research trend, trends analysis bibliographic, analyzing trends esteemed, analysis bibliographic libraries, key phrases research
machines svm, social media reviews, reviews success crowdfunding, text mining, sentiment reviews, rate crowdfunding projects, vector machines svm, support vector machines, sentiment reviews success, crowdfunding projects support, svm employed evaluate, success crowdfunding projects, data mining text, factors success crowdfunding, vector machines, svm
novel coronavirus, related covid 19, regarding covid 19, text mining, covid 19 clinical, coronavirus, abstracts related covid, novel coronavirus resulted, covid 19 outbreak, covid 19 pubmed, pubmed abstracts related, related covid, information regarding covid, proposes text mining, covid 19 treatment, text mining approach
search engines arabic, semantic indexing lsi, using arabic data, enhanced search arabic, mining information retrieval, search arabic, documents search engines, search arabic language, information retrieval, using arabic, latent semantic indexing, semantic indexing, arabic language using, performance using arabic, arabic data collection, arabic data
useful features text, text mining, mining relevant, relevant text features, information retrieval, existing information retrieval, text mining methods, features text documents, based reuters corpus, mining relevant text, text features retrieving, information retrieval text, information filtering, novel information filtering, retrieval text mining, retrieval text
automated categorization textual, block inappropriate web, inappropriate web content, text mining, content blocking, evaluation text classification, block inappropriate content, text classification techniques, proposed text mining, text mining methods, evaluated text classification, web content blocking, categorization textual, classifiers analyzed techniques, categorization textual information, text classification
minitrack introduction, web mining, analytics mini, analytics mini track, mining business analytics, business analytics mini, web mining business, mining business, introduction data text, business analytics, analytics minitrack introduction, analytics minitrack, analytics, minitrack introduction data, business analytics minitrack, text web mining
automatic classifier undergraduate, classifier undergraduate final, automatic assignment reviewers, text mining, text mining techniques, automatic classifier, classification academic documents, documents classifier integrated, documents classifier, classifier undergraduate, text mining presented, classification academic, based text mining, using text mining, interdisciplinary documents classifier, automatic classification academic
factors mooc learners, mooc learners loyalty, mining mooc learners, mooc online, mooc learners, texts mooc online, texts mooc, online review text, learners online review, influencing factors mooc, online courses improve, mooc learners online, online learners loyalty, learners review texts, review texts mooc, mooc online excellent
code criminal procedure, detection thai law, criminal procedure code, law texts, thai law, thai law judge, law texts using, law pillars thai, thai codes law, legal interpretation machine, criminal code, thai law criminal, criminal code criminal, thai law texts, detection thai, law criminal code
drugs expressed online, online health, text mining, data mining approach, text mining data, coming text mining, online health data, pharmaceutical companies analysis, data mining, mining patient experiences, mining data mining, huge online health, mining approach, mining data, patient experiences web, patient experiences drugs
emotional interactions messaging, emotional content textual, text mining emotions, message emotion extraction, mining emotional data, mining emotions peculiar, processing emotional text, mining emotions, emotional data text, mining emotional, emotional text, emotion extraction, mobile message emotion, text processing emotional, emotional text mining, emotion extraction model
sports match team, opinions sports, social media data, social media mining, text mining, media mining, scale opinions sports, mining soccer, mining soccer match, sports fans essentially, match team performance, crowds social media, media mining approach, opinions sports match, soccer match analysis, media mining soccer
topic modeling, text mining, keyword extraction, projects site inspection, text based inspection, inspection construction projects, site inspection data, insights hot topics, discovering key concerns, projects based keyword, extraction topic modeling, extraction topic, keyword extraction topic, site inspection construction, based keyword extraction, text mining approach
logs mentioned techniques, information natural language, outage analysis using, service analysis data, customer error logs, use unstructured customer, analyze unstructured data, failure manual analysis, natural language, outage analysis, automation outage analysis, analyze logs, unstructured customer, unstructured customer error, natural language processing, analyze logs mentioned
multiple feature extraction, text classification, based feature selection, distance based feature, dcdistance feature selections, classification text, feature extraction techniques, feature extractions, classification text mining, use feature extraction, different feature extractions, based feature extraction, extraction text classification, feature extraction, feature extraction technique, feature extraction text
reviews worldwide tourists, tourist cognitive, perception tourists, tourist cognitive concern, extract tourist cognitive, tourist perception, bali natural attractions, tourists bali, worldwide tourists bali, tourism stakeholders, abundant tourist information, bali tourism, classification extract tourist, tourist perception textual, uncovers tourist perception, improvement bali tourism
overlap main topics, clusters topic modelling, topics clusters observed, topics clusters, latent dirichlet allocation, topic modelling, topics, main topics clusters, topic modelling using, latent dirichlet, obtain main topics, text mining case, dirichlet allocation, contents undergraduate studies, using latent dirichlet, obtain clusters topic
documents cluster, text clustering approach, compares text clustering, clustering strategy compares, documents swarm intelligence, documents cluster contains, similar documents swarm, text documents cluster, known text clustering, text clustering clusters, text clustering strategy, text clustering, text clustering methods, novel text clustering, documents swarm, bco text clustering
group weibo help, fraud group weibo, users identify fraud, weibo fraud fraud, weibo fraud, fraud group, analyze fraud group, using weibo fraud, fraud fraud groups, fraud groups, potential fraud group, fraud group define, fraud group mining, fraud groups use, group weibo, groups use weibo
mining github content, textual documents projects, requirements elicitation activity, projects content text, based mining github, requirements elicitation reusing, github content strategy, similar projects automatic, information source analysis, projects automatic analysis, documents projects content, mining github, elicitation reusing github, content text mining, content requirements elicitation, existing information tool
traffic using tweets, twitter spark real, make tweets events, tweets related traffic, tweets events, tweets events seen, road traffic event, twitter apache spark, detecting road traffic, detection using twitter, twitter spark, traffic event detection, classification tweets employed, techniques classification tweets, using twitter spark, classification tweets
text classification datasets, text classification shallow, text classification cases, seventy text classification, approaches text classification, methods text classification, text classification techniques, solve text classification, text classification identified, review text classification, problems text classification, text classification methods, text classification studies, text classification research, utilized text classification, text classification
identifies innovation, topic modelling, existing product analysis, influence existing product, product text mining, topic modeling identification, topic modeling, influences product, company innovation, influences product text, application topic modeling, identifies innovation potentials, increase company innovation, subsequent topic modelling, innovation potentials product, company innovation capacity
topic fintech, comments important topics, text mining, topic modeling algorithm, topic modeling findings, comments fintech users, topics identified comments, text mining algorithms, keywords fintech user, implement text mining, text mining latent, using text mining, identified comments fintech, text mining statistical, fintech user comments, topic fintech users
search effectiveness arabic, methods arabic, rules based stemmer, sense stemming, stemmer improve search, text mining, stemming common requirement, effectiveness arabic, stemming common, sense stemming common, effectiveness arabic language, methods arabic text, arabic text, making sense stemming, text mining set, stemming
data mining tools, tools regression, selected data mining, mining tools regression, mining tools supports, comparison dimension methodology, efficient data mining, vast data mining, tools regression methods, study data mining, regression methods recommendation, data mining, methods recommendation smes, mining tools weka, mining tools, tools regression algorithms
